year,period,is_month,region,metric,mwh
2016,Jan,yes,All Island Wind,Availability,1016003.921
2016,Jan,yes,All Island Wind,Generation,973867.846
2016,Jan,yes,All Island Wind,Dispatch Down,35753.89
2016,Jan,yes,All Island Wind,Constraints,15178.277
2016,Jan,yes,All Island Wind,Transmission Constraints,15155.179
2016,Jan,yes,All Island Wind,TSO Testing,23.098
2016,Jan,yes,All Island Wind,Curtailments,20575.61
2016,Jan,yes,All Island Wind,High Freq / Min Gen,14780.761
2016,Jan,yes,All Island Wind,ROCOF / Inertia,0.0
2016,Jan,yes,All Island Wind,SNSP Issue,5794.835
2016,Jan,yes,All Island Wind,Other Reductions,4090.197
2016,Jan,yes,Ireland Wind,Availability,816191.725
2016,Jan,yes,Ireland Wind,Generation,781763.447
2016,Jan,yes,Ireland Wind,Dispatch Down,28864.872
2016,Jan,yes,Ireland Wind,Constraints,15156.787
2016,Jan,yes,Ireland Wind,Transmission Constraints,15155.179
2016,Jan,yes,Ireland Wind,TSO Testing,1.608
2016,Jan,yes,Ireland Wind,Curtailments,13708.083
2016,Jan,yes,Ireland Wind,High Freq / Min Gen,10129.504
2016,Jan,yes,Ireland Wind,ROCOF / Inertia,0.0
2016,Jan,yes,Ireland Wind,SNSP Issue,3578.56
2016,Jan,yes,Ireland Wind,Other Reductions,3630.986
2016,Jan,yes,Northern Ireland Wind,Availability,199812.196
2016,Jan,yes,Northern Ireland Wind,Generation,192104.399
2016,Jan,yes,Northern Ireland Wind,Dispatch Down,6889.018
2016,Jan,yes,Northern Ireland Wind,Constraints,21.49
2016,Jan,yes,Northern Ireland Wind,Transmission Constraints,0.0
2016,Jan,yes,Northern Ireland Wind,TSO Testing,21.49
2016,Jan,yes,Northern Ireland Wind,Curtailments,6867.527
2016,Jan,yes,Northern Ireland Wind,High Freq / Min Gen,4651.257
2016,Jan,yes,Northern Ireland Wind,ROCOF / Inertia,0.0
2016,Jan,yes,Northern Ireland Wind,SNSP Issue,2216.275
2016,Jan,yes,Northern Ireland Wind,Other Reductions,459.211
2016,Feb,yes,All Island Wind,Availability,833622.629
2016,Feb,yes,All Island Wind,Generation,802289.482
2016,Feb,yes,All Island Wind,Dispatch Down,26021.907
2016,Feb,yes,All Island Wind,Constraints,12997.851
2016,Feb,yes,All Island Wind,Transmission Constraints,12753.533
2016,Feb,yes,All Island Wind,TSO Testing,244.318
2016,Feb,yes,All Island Wind,Curtailments,13024.064
2016,Feb,yes,All Island Wind,High Freq / Min Gen,6695.5
2016,Feb,yes,All Island Wind,ROCOF / Inertia,0.0
2016,Feb,yes,All Island Wind,SNSP Issue,6328.571
2016,Feb,yes,All Island Wind,Other Reductions,3531.665
2016,Feb,yes,Ireland Wind,Availability,666725.439
2016,Feb,yes,Ireland Wind,Generation,640037.299
2016,Feb,yes,Ireland Wind,Dispatch Down,22135.328
2016,Feb,yes,Ireland Wind,Constraints,12758.733
2016,Feb,yes,Ireland Wind,Transmission Constraints,12753.533
2016,Feb,yes,Ireland Wind,TSO Testing,5.2
2016,Feb,yes,Ireland Wind,Curtailments,9376.603
2016,Feb,yes,Ireland Wind,High Freq / Min Gen,5445.8
2016,Feb,yes,Ireland Wind,ROCOF / Inertia,0.0
2016,Feb,yes,Ireland Wind,SNSP Issue,3930.81
2016,Feb,yes,Ireland Wind,Other Reductions,2946.598
2016,Feb,yes,Northern Ireland Wind,Availability,166897.19
2016,Feb,yes,Northern Ireland Wind,Generation,162252.183
2016,Feb,yes,Northern Ireland Wind,Dispatch Down,3886.579
2016,Feb,yes,Northern Ireland Wind,Constraints,239.118
2016,Feb,yes,Northern Ireland Wind,Transmission Constraints,0.0
2016,Feb,yes,Northern Ireland Wind,TSO Testing,239.118
