group_id,region,group_name,context,station,pdf_page
NI/1,NI,Constraint Group number 1 – NW Northern,intact,Brockaghboy,9
NI/1,NI,Constraint Group number 1 – NW Northern,intact,Lisaghmore,9
NI/1,NI,Constraint Group number 1 – NW Northern,intact,Coleraine,9
NI/1,NI,Constraint Group number 1 – NW Northern,intact,Loguestown,9
NI/1,NI,Constraint Group number 1 – NW Northern,intact,Coolkeeragh,9
NI/1,NI,Constraint Group number 1 – NW Northern,intact,Rasharkin,9
NI/1,NI,Constraint Group number 1 – NW Northern,intact,Limavady,9
NI/1,NI,Constraint Group number 1 – NW Northern,intact,Garvagh,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Aghyoule,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Gort,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Drumquin,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Magherakeel,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Strabane,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Omagh,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Enniskillen,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Tremoge,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Killymallaght,9
NI/2,NI,Constraint Group number 2 – NW Southern,intact,Slieve Kirk,9
NI/3,NI,Constraint group number 3 – Oma-Dromore,intact,Aghyoule,10
NI/3,NI,Constraint group number 3 – Oma-Dromore,intact,Drumquin,10
NI/3,NI,Constraint group number 3 – Oma-Dromore,intact,Enniskillen,10
NI/5,NI,Constraint group number 5 – Kells - Rasharkin,intact,Brockaghboy,10
NI/5,NI,Constraint group number 5 – Kells - Rasharkin,intact,Garvagh,10
NI/5,NI,Constraint group number 5 – Kells - Rasharkin,intact,Coleraine,10
NI/5,NI,Constraint group number 5 – Kells - Rasharkin,intact,Loguestown,10
NI/5,NI,Constraint group number 5 – Kells - Rasharkin,intact,Limavady,10
NI/5,NI,Constraint group number 5 – Kells - Rasharkin,intact,Rasharkin,10
ROI-NW/1,ROI-NW,North West Constraint Group 1: Letterkenny A1 Busbar Flows,intact,Ardnagappary,12
ROI-NW/1,ROI-NW,North West Constraint Group 1: Letterkenny A1 Busbar Flows,intact,Binbane,12
ROI-NW/1,ROI-NW,North West Constraint Group 1: Letterkenny A1 Busbar Flows,intact,Lenalea,12
ROI-NW/1,ROI-NW,North West Constraint Group 1: Letterkenny A1 Busbar Flows,intact,Sorne Hill,12
ROI-NW/1,ROI-NW,North West Constraint Group 1: Letterkenny A1 Busbar Flows,intact,Trillick,12
