contingency,rating_mw,pairs_worsened,lines_affected,distinct_farms,distinct_wind_mw
DFR(I)(T)>DFR(I)(Z)_110L1,99.0,2116,22,128,3195.2
LOU(I)(Z)>WOO(I)(Z)_220L1,350.0,707,31,126,3156.0
CSH(I)(Z)>CLN(I)(Z)_110L1,178.0,393,10,127,3116.0
BLC(I)(Z)>GRA(I)(Z)_110L1,140.0,246,2,122,3038.0
CLO(I)(Z)>GOL(I)(T)_110L1,187.0,851,19,124,3035.6
GI(I)(Z)>LWD(I)(Z)_220L1,434.0,331,10,115,2982.1
GOR(I)(Z)>MAY(I)(Z)_220L1,350.0,1256,42,113,2923.6
DRM(I)(Z)>LET(I)(Z)_110L1,99.0,155,9,115,2831.7
CSH(I)(Z)>FLA(I)(Z)_220L1,350.0,375,31,113,2802.8
DTN(I)(Z)>BLC(I)(Z)_110L1,140.0,109,1,109,2705.2
ARK(I)(Z)>CKM(I)(Z)_220L1,434.0,467,27,108,2700.2
SLI(I)(Z)>SRA(I)(Z)_110L1,99.0,109,1,108,2696.7
COS(I)(Z)>FLA(I)(Z)_110L2,99.0,104,1,103,2652.5
GAL(I)(Z)>SAL(I)(Z)_110L1,99.0,152,13,105,2647.3
FIN(I)(Z)>MCD(I)(Z)_110L1,119.0,231,6,97,2476.0
ISH(I)(Z)>SHL(I)(Z)_220L1,593.0,123,4,99,2471.4
BVK(I)(Z)>CLA(I)(Z)_220L1,740.0,149,10,101,2451.7
PB(I)(Z)>CKM(I)(Z)_220L1,267.0,176,4,98,2450.4
SLI(I)(Z)>SRA(I)(Z)_110L2,99.0,102,1,101,2438.3
LIM(I)(Z)>MTN(I)(Z)_110L1,178.0,1063,217,92,2374.5
GRI(I)(T)>MAY(I)(Z)_110L1,105.0,135,2,97,2348.4
MR(I)(Z)>TBG(I)(Z)_110L2,178.0,98,1,97,2328.0
BAL(I)(Z)>DRY(I)(Z)_110L1,178.0,91,1,90,2289.1
COS(I)(Z)>FLA(I)(Z)_110L1,99.0,90,1,89,2261.5
LA(I)(Z)>SLB(I)(Z)_110L1,99.0,212,23,92,2225.8
BAL(I)(Z)>CDU(I)(Z)_110L1,178.0,91,2,88,2222.6
MAY(I)(Z)>SH(I)(Z)_220L1,269.0,203,20,79,2219.7
LOU(I)(Z)>TAN(N)(Z)_275L2,710.0,95,1,94,2103.0
LOU(I)(Z)>TAN(N)(Z)_275L1,710.0,95,1,94,2103.0
OST(I)(Z)>WOO(I)(Z)_380L1,1577.0,259,15,78,2064.9
CKM(I)(Z)>POT(I)(Z)_110L1,119.0,202,22,82,2052.6
FLA(I)(Z)>LOU(I)(Z)_220L1,384.0,483,53,71,1998.8
PRO(I)(Z)>TB(I)(Z)_220L1,467.0,119,3,71,1926.2
GOR(I)(Z)>LOU(I)(Z)_220L1,434.0,219,32,84,1892.5
KLP(I)(Z)>TB(I)(Z)_220L2,350.0,78,1,77,1777.7
KLP(I)(Z)>TB(I)(Z)_220L1,350.0,78,1,77,1777.7
MP_T4202_01,500.0,102,4,73,1736.9
CNB(I)(Z)>MP(I)(T)_380L1,1577.0,143,15,74,1645.5
FLA(I)(Z)>SLB(I)(Z)_110L1,99.0,112,57,53,1630.1
BK(I)(Z)>MOY(I)(Z)_110L1,178.0,478,340,74,1613.0
CLG(I)(Z)>CDU(I)(Z)_110L1,187.0,129,24,74,1607.1
KLP(I)(Z)>MP(I)(Z)_220L2,660.0,67,1,67,1601.0
KLP(I)(Z)>MP(I)(Z)_220L1,660.0,77,2,67,1601.0
ARK(I)(Z)>LOD(I)(Z)_220L1,434.0,70,8,61,1573.8
CLA(I)(Z)>KRA(I)(Z)_220L1,646.0,245,16,72,1567.1
KLN(I)(Z)>KRA(I)(Z)_220L1,512.0,87,7,49,1451.5
CKM(I)(Z)>ISH(I)(Z)_220L1,593.0,87,2,64,1451.2
BLA(I)(Z)>RE(I)(Z)_110L1,119.0,67,7,62,1401.7
KLP(I)(Z)>KNR(I)(Z)_220L2,731.0,61,1,60,1359.1
OST(I)(Z)>TYN(I)(Z)_220L1,434.0,85,9,51,1235.5
CUL(I)(Z)>KRA(I)(Z)_220L1,646.0,173,16,58,1232.7
KNR(I)(Z)>BYH(I)(Z)_220L1,434.0,324,50,41,1227.8
MCD(I)(Z)>NQS(I)(Z)_110L1,119.0,274,28,54,1222.4
MP_T4202_2,500.0,45,1,45,1189.5
CSH(I)(Z)>PRO(I)(Z)_220L1,392.0,284,21,49,1178.0
AA(I)(Z)>LIM(I)(Z)_110L1,178.0,111,23,42,1160.5
GRI(I)(Z)>GRI(I)(T)_110L1,105.0,53,1,52,1146.7
DSN_T4202,500.0,49,1,49,1079.8
ARV(I)(Z)>COS(I)(Z)_110L1,104.0,72,24,44,1079.8
CNB(I)(Z)>DSN(I)(T)_380L1,1577.0,272,35,43,1027.2
FLA(I)(Z)>SRA(I)(Z)_220L1,434.0,54,4,38,1010.6
AA(I)(Z)>ENN(I)(Z)_110L1,99.0,54,2,31,999.9
BLA(I)(Z)>POT(I)(Z)_110L1,119.0,71,5,45,979.5
CUL(I)(Z)>GI(I)(Z)_220L1,746.0,94,11,35,945.4
KLP(I)(Z)>KNR(I)(Z)_220L1,731.0,37,1,37,929.3
CDU(I)(Z)>WOO(I)(Z)_220L1,434.0,77,2,43,917.5
KLP(I)(Z)>TB(I)(Z)_110L2,99.0,35,1,35,917.4
KLP(I)(Z)>TB(I)(Z)_110L1,99.0,35,1,35,917.4
DSN_T4201,500.0,38,1,38,913.5
MP(I)(Z)>OST(I)(Z)_380L1,1283.0,48,2,35,854.7
CDU(I)(Z)>FIN(I)(Z)_220L1,434.0,63,2,39,845.9
ARV(I)(Z)>NAV(I)(Z)_110L1,178.0,52,9,39,821.1
ATH(I)(Z)>SH(I)(Z)_110L1,178.0,73,5,34,777.4
ATH(I)(Z)>LA(I)(Z)_110L1,99.0,69,3,34,775.9
KLN(I)(Z)>SH(I)(Z)_220L1,269.0,82,10,35,762.6
LET(I)(Z)>TLK(I)(Z)_110L1,105.0,97,4,35,748.7
KLN(I)(Z)>LIM(I)(Z)_110L2,80.0,32,1,32,738.2
CLU(I)(Z)>CBT(I)(Z)_110L1,187.0,118,5,24,730.4
SRA_T2102,250.0,25,3,21,709.9
AA(I)(Z)>DRU(I)(Z)_110L1,99.0,18,1,18,708.6
MP(I)(Z)>PRO(I)(Z)_220L1,537.0,46,3,27,697.1
CLE(I)(Z)>CDU(I)(Z)_220L1,434.0,54,5,33,685.6
KLN(I)(Z)>LIM(I)(Z)_110L1,99.0,30,1,30,681.2
BVK(I)(Z)>BYH(I)(Z)_220L1,434.0,93,18,23,662.9
CSH_T2101,238.0,29,3,19,655.4
CSH_T2102,250.0,19,1,19,655.4
DSN(I)(Z)>MP(I)(Z)_380L1,1283.0,26,1,26,642.2
LET(I)(Z)>STR(N)(Z)_110L1,99.0,1030,141,27,632.3
CDY(I)(Z)>ARI(I)(T)_110L1,178.0,42,7,30,623.9
COO(I)(Z)>INC(I)(Z)_110L1,136.0,68,3,30,613.0
DER(I)(Z)>KIN(I)(Z)_110L1,99.0,29,1,28,611.0
DSN(I)(Z)>KLS(I)(Z)_220L1,393.0,81,9,30,610.1
CBT(I)(Z)>MAY(I)(Z)_220L2,761.0,37,5,32,606.4
CBT(I)(Z)>INC(I)(Z)_220L1,761.0,33,1,32,606.4
INC(I)(Z)>PB(I)(Z)_220L2,351.0,36,2,32,606.4
KNY(I)(Z)>KLH(I)(Z)_110L1,190.0,160,35,15,597.8
GCA(I)(Z)>GRI(I)(T)_110L1,103.0,52,6,27,586.7
CBT(I)(Z)>MAY(I)(Z)_220L1,761.0,31,1,30,579.4
MP(I)(Z)>TBK(I)(T)_110L1,178.0,92,35,19,556.2
COL(I)(Z)>CDU(I)(Z)_110L1,143.0,33,2,30,554.8
GRO(I)(Z)>BVK(I)(Z)_110L1,195.0,350,38,19,529.9
CDY(I)(Z)>SRA(I)(Z)_110L1,178.0,68,17,22,522.6
MAY(I)(Z)>GRI(I)(Z)_110L1,99.0,20,1,20,507.7
FIN(I)(Z)>SHL(I)(Z)_220L1,536.0,42,2,25,501.0
CSH(I)(Z)>GAL(I)(Z)_110L2,99.0,17,2,12,475.1
CSH(I)(Z)>GAL(I)(Z)_110L3,99.0,12,1,12,475.1
COR(I)(Z)>ENN(N)(Z)_110L1,99.0,24,4,23,472.2
BOG(I)(Z)>TTU(I)(Z)_110L1,178.0,54,10,21,470.5
NQS(I)(Z)>RE(I)(Z)_110L1,119.0,85,12,21,460.7
ARV(I)(Z)>SKL(I)(Z)_110L1,178.0,22,1,22,454.2
GOR_T2101,250.0,175,26,20,424.4
CPS(N)(Z)>STR(N)(Z)_110L1,109.0,97,11,17,392.8
KMT(N)(Z)>STR(N)(Z)_110L1,143.0,17,1,17,392.8
GI(I)(Z)>KLS(I)(Z)_220L1,393.0,29,4,17,379.2
ARV(I)(Z)>SKL(I)(Z)_110L2,178.0,18,1,18,372.6
CLA(I)(Z)>MAC(I)(Z)_110L2,161.0,11,1,11,368.7
LET(I)(Z)>GOL(I)(T)_110L1,99.0,19,2,14,366.0
CF(I)(Z)>SRA(I)(Z)_110L1,196.0,14,1,14,358.4
HWN(I)(Z)>DFR(I)(T)_110L1,104.0,20,1,20,357.7
BLC(I)(Z)>SHL(I)(Z)_220L1,570.0,19,2,19,352.9
CBT(I)(Z)>INC(I)(Z)_220L2,761.0,19,1,18,351.4
SH(I)(Z)>IKE(I)(T)_110L1,178.0,76,24,9,337.8
KNY(I)(Z)>SAL(I)(Z)_110L1,195.0,101,29,9,337.8
CRA(I)(Z)>LWD(I)(Z)_110L1,178.0,117,13,18,336.8
LWD_T2101,250.0,252,21,18,336.8
GI(I)(Z)>ROP(I)(Z)_110L1,178.0,30,7,18,336.8
CKN(I)(Z)>GRO(I)(Z)_110L1,120.0,84,23,10,327.3
TRL(I)(Z)>OUG(I)(T)_110L1,178.0,31,6,10,327.3
LA(I)(Z)>MUL(I)(Z)_110L1,99.0,27,7,13,316.2
CLW(I)(Z)>STR(I)(T)_110L1,105.0,25,5,20,310.9
KLH(I)(Z)>THU(I)(Z)_110L1,178.0,28,7,7,303.6
CUL(I)(Z)>WAT(I)(Z)_110L1,178.0,39,3,13,300.7
TAN(N)(Z)>TMN(N)(Z)_275L2,710.0,13,1,13,300.4
TAN(N)(Z)>TMN(N)(Z)_275L1,710.0,13,1,13,300.4
BOL(I)(Z)>TBK(I)(T)_110L1,178.0,24,11,8,284.7
BK(I)(Z)>CBR(I)(Z)_110L1,195.0,784,236,9,279.8
SH_T2101,125.0,8,1,8,271.9
SH_T2102,125.0,8,1,8,271.9
BPS(N)(Z)>BYC(N)(Z)_275L1,710.0,33,6,14,269.6
BVK_T2102,250.0,8,1,8,268.1
BVK_T2101,250.0,8,1,8,268.1
DRY(I)(Z)>PLA(I)(Z)_110L1,99.0,12,1,12,266.6
DRU(I)(Z)>ENN(I)(Z)_110L1,99.0,11,1,11,266.4
ARV(I)(Z)>GWE(I)(Z)_110L1,178.0,34,8,13,253.6
CBR(I)(Z)>DLT(I)(Z)_110L1,99.0,36,7,8,250.2
CBR(I)(Z)>CLN(I)(Z)_110L1,99.0,16,2,8,250.2
CLN(I)(Z)>LA(I)(Z)_110L1,63.0,43,6,8,250.2
CSH(I)(Z)>ENN(I)(Z)_110L1,178.0,78,15,10,243.3
BEG(I)(Z)>CKM(I)(Z)_110L1,136.0,160,26,9,242.5
CLH(I)(Z)>TRL(I)(Z)_110L1,105.0,29,5,7,238.3
LOU_AT2,600.0,21,3,11,238.1
CDU(I)(Z)>HN(I)(Z)_220L1,555.0,28,2,13,232.9
CLA(I)(Z)>CKN(I)(Z)_110L1,178.0,24,3,13,230.4
CAH(I)(Z)>BAR(I)(T)_110L1,105.0,11,1,11,230.2
CPS_2,240.0,27,10,10,222.0
CPS(N)(Z)>MAG(N)(Z)_275L2,412.0,10,1,10,222.0
CPS(N)(Z)>MAG(N)(Z)_275L1,412.0,10,1,10,222.0
ARK(I)(Z)>BEG(I)(Z)_110L1,99.0,118,20,9,215.8
COS(I)(Z)>ARI(I)(T)_110L1,178.0,44,10,9,215.7
BDN(I)(Z)>DOO(I)(Z)_110L1,178.0,55,20,8,211.9
BDN(I)(Z)>CUL(I)(Z)_110L1,196.0,12,6,8,211.9
BYH_T2102,250.0,9,1,9,201.7
BYH_T2101,250.0,9,1,9,201.7
MIL(I)(Z)>RE(I)(Z)_110L2,120.0,9,1,9,200.7
CAH(I)(Z)>TIP(I)(Z)_110L1,178.0,73,17,7,191.9
CTN(I)(Z)>KLN(I)(Z)_110L1,178.0,224,37,7,191.9
CTN(I)(Z)>TIP(I)(Z)_110L1,178.0,111,19,7,191.9
CPS_1,240.0,9,1,9,189.6
KLN_T2103,250.0,14,3,6,189.4
CF(I)(Z)>SRA(I)(Z)_110L2,178.0,7,1,7,188.3
BLC(I)(Z)>KLM(I)(Z)_110L1,140.0,13,2,11,182.1
INC(I)(Z)>MIL(I)(Z)_110L1,120.0,34,5,8,179.7
LOU(I)(Z)>RRU(I)(Z)_110L1,95.0,142,33,8,177.2
CKN(I)(Z)>KER(I)(Z)_110L1,178.0,15,2,10,175.8
KNR_T2101,250.0,35,6,10,175.8
KNR(I)(Z)>TRI(I)(Z)_110L2,99.0,10,1,10,175.8
KNR(I)(Z)>TRI(I)(Z)_110L1,178.0,10,1,10,175.8
KNR_T2102,250.0,10,1,10,175.8
CHA(I)(Z)>GLE(I)(Z)_110L1,99.0,7,2,7,171.1
AUG(I)(Z)>MTN(I)(Z)_110L1,178.0,160,42,6,169.4
RRU(I)(Z)>SKL(I)(Z)_110L1,95.0,217,56,7,161.1
COR(I)(Z)>GWE(I)(Z)_110L1,178.0,10,2,7,161.1
DRO(N)(Z)>OMA(N)(Z)_110L2,82.0,7,1,7,161.1
DRO(N)(Z)>OMA(N)(Z)_110L1,82.0,7,1,7,161.1
OST_T4202,500.0,20,4,9,158.0
LOU_AT1,300.0,6,1,6,152.0
LIM(I)(Z)>RAT(I)(Z)_110L1,99.0,44,21,6,145.6
CLO(I)(Z)>CF(I)(Z)_110L1,178.0,10,2,5,138.4
GI(I)(Z)>WAT(I)(Z)_110L1,178.0,7,1,7,137.8
AGL(I)(Z)>SH(I)(Z)_110L1,104.0,22,20,3,130.9
LOU_T2104,250.0,31,13,7,122.1
MP_T2101,250.0,46,32,5,115.0
DSN(I)(Z)>MAY(I)(Z)_220L3,434.0,7,1,7,114.4
CUN(I)(Z)>SLI(I)(Z)_110L1,178.0,198,33,6,112.1
CLH(I)(Z)>TRI(I)(Z)_110L1,99.0,11,3,6,110.0
ARK(I)(Z)>BOG(I)(Z)_110L1,178.0,34,8,6,108.8
KRA(I)(Z)>RAF(I)(Z)_220L1,353.0,16,5,6,108.3
BYH(I)(Z)>GLE(I)(Z)_110L1,124.0,134,43,4,107.3
CLG(I)(Z)>FIN(I)(Z)_110L1,124.0,23,10,5,107.0
INC(I)(Z)>PB(I)(Z)_220L1,267.0,7,1,7,105.4
HEU(I)(Z)>INC(I)(Z)_110L1,140.0,7,1,7,100.5
FRS(I)(Z)>HEU(I)(Z)_110L1,140.0,2,1,2,100.2
CNB(I)(Z)>PLS(I)(T)_110L1,178.0,15,13,3,99.2
LSN(I)(Z)>THU(I)(Z)_110L1,104.0,36,12,3,98.6
KLP(I)(Z)>KNR(I)(Z)_110L1,136.0,19,4,5,94.4
BLU(I)(Z)>MUL(I)(Z)_110L1,130.0,6,1,6,94.2
CBG(I)(Z)>CBR(I)(Z)_110L1,99.0,12,3,4,90.5
BK(I)(Z)>SKY(I)(Z)_110L2,187.0,1,1,1,89.0
BK(I)(Z)>SKY(I)(Z)_110L1,192.0,1,1,1,89.0
CKM(I)(Z)>DSN(I)(Z)_220L1,434.0,12,3,8,87.9
TTU(I)(Z)>CRA(I)(Z)_110L1,178.0,30,8,6,85.3
DRM(I)(Z)>CLO(I)(Z)_110L1,103.0,6,3,2,85.0
KLP(I)(Z)>TRL(I)(Z)_110L1,99.0,15,3,5,81.5
KLP_T2102,250.0,5,1,5,81.5
KLP_T2101,250.0,5,1,5,81.5
TB_T2102,238.0,5,1,5,81.5
TB_T2101,238.0,5,1,5,81.5
AUG(I)(Z)>CFM(I)(Z)_110L2,96.0,3,1,3,81.0
AUG(I)(Z)>CFM(I)(Z)_110L1,96.0,3,1,3,81.0
DRO(N)(Z)>ENN(N)(Z)_110L2,82.0,3,1,3,79.5
DRO(N)(Z)>ENN(N)(Z)_110L1,82.0,3,1,3,79.5
GOR(I)(Z)>NAV(I)(Z)_110L3,99.0,6,2,3,79.5
GOR(I)(Z)>NAV(I)(Z)_110L1,99.0,3,1,3,79.5
GOR(I)(Z)>GRH(I)(Z)_110L1,99.0,3,1,3,79.5
FLA_T2101,125.0,4,3,3,79.5
CUS(I)(Z)>MLC(I)(Z)_110L1,136.0,34,34,1,79.2
MLC(I)(Z)>TSB(I)(Z)_110L1,135.0,12,12,1,79.2
CUS(I)(Z)>PPT(I)(Z)_110L1,136.0,9,9,1,79.2
BDA(I)(Z)>NEW(I)(Z)_110L1,122.0,1,1,1,79.2
DER(I)(Z)>TSB(I)(Z)_110L1,99.0,3,3,1,79.2
CUS(I)(Z)>PLS(I)(Z)_110L1,136.0,1,1,1,79.2
CF(I)(Z)>COR(I)(Z)_110L1,178.0,4,1,4,67.9
CSH(I)(Z)>TYN(I)(Z)_220L1,761.0,2,2,2,62.9
CF(I)(Z)>CLO(I)(Z)_110L1,178.0,2,1,2,60.0
AGL(I)(Z)>ENN(I)(Z)_110L1,99.0,17,17,1,59.5
FLA_T2102,125.0,2,1,2,57.5
GI(I)(Z)>WAT(I)(Z)_110L2,178.0,3,1,3,56.0
PB(I)(Z)>RE(I)(Z)_110L2,269.0,4,1,4,55.1
PB(I)(Z)>RE(I)(Z)_110L1,269.0,4,1,4,55.1
CHA(I)(Z)>KLN(I)(Z)_110L1,136.0,2,2,1,54.3
NW(I)(Z)>PB(I)(Z)_220L1,332.0,19,5,5,53.8
PB(I)(Z)>SHL(I)(Z)_220L1,593.0,11,4,5,53.8
MIL(I)(Z)>RE(I)(Z)_110L1,100.0,2,1,2,51.6
MAG(N)(Z)>TMN(N)(Z)_275L1,710.0,2,2,2,49.9
FIN(I)(Z)>HN(I)(Z)_220L1,593.0,4,2,2,49.9
OMA(N)(Z)>STR(N)(Z)_110L1,109.0,2,1,2,49.9
BGT(I)(Z)>GGT(I)(Z)_110L1,178.0,22,11,4,47.0
BGT(I)(Z)>CNB(I)(Z)_110L1,178.0,8,2,4,47.0
BGT(I)(Z)>KKY(I)(Z)_110L1,178.0,16,8,4,47.0
KLN(I)(Z)>CUR(I)(Z)_110L1,136.0,3,2,2,46.0
KRA_T2101,250.0,11,9,3,44.8
KBY(I)(Z)>KRA(I)(Z)_110L1,178.0,4,2,3,44.8
KBY(I)(Z)>KRA(I)(Z)_110L2,99.0,3,1,3,44.8
KRA_T2102,250.0,3,1,3,44.8
CKG(I)(Z)>CBT(I)(Z)_110L2,187.0,4,1,4,44.0
CKG(I)(Z)>CBT(I)(Z)_110L1,187.0,4,1,4,44.0
CSH(I)(Z)>SAL(I)(Z)_110L1,97.0,1,1,1,40.9
LSA(I)(T)>SKL(I)(Z)_110L1,99.0,4,4,2,38.1
CAH(I)(Z)>DOO(I)(Z)_110L1,178.0,6,6,1,36.0
KRA(I)(Z)>BAR(I)(T)_110L1,136.0,1,1,1,36.0
CUL_T2101,250.0,1,1,1,36.0
KTN(I)(Z)>WAT(I)(Z)_110L1,99.0,1,1,1,36.0
THU(I)(Z)>IKE(I)(T)_110L1,178.0,6,3,2,35.9
FIN(I)(Z)>NW(I)(Z)_220L1,332.0,4,1,4,32.8
BLC(I)(Z)>FIN(I)(Z)_220L1,570.0,12,3,4,32.8
FIN(I)(Z)>GRA(I)(Z)_110L1,119.0,8,2,4,32.8
BAN(N)(Z)>TAN(N)(Z)_110L2,82.0,1,1,1,32.4
BAN(N)(Z)>TAN(N)(Z)_110L1,82.0,1,1,1,32.4
BPS(N)(Z)>HAN(N)(Z)_275L1,710.0,4,4,1,32.4
DRU(N)(Z)>TAN(N)(Z)_110L2,79.0,1,1,1,32.4
DRU(N)(Z)>TAN(N)(Z)_110L1,79.0,2,2,1,32.4
DRU(N)(Z)>TMN(N)(Z)_110L2,109.0,1,1,1,32.4
DRU(N)(Z)>TMN(N)(Z)_110L1,109.0,1,1,1,32.4
OMA(N)(Z)>TRE(N)(Z)_110L1,186.0,1,1,1,32.4
HAN(N)(Z)>LIS(N)(Z)_110L2,80.0,1,1,1,32.4
HAN(N)(Z)>LIS(N)(Z)_110L1,82.0,1,1,1,32.4
LIS(N)(Z)>TAN(N)(Z)_110L2,80.0,1,1,1,32.4
LIS(N)(Z)>TAN(N)(Z)_110L1,82.0,1,1,1,32.4
DUN(N)(Z)>OMA(N)(Z)_110L1,186.0,1,1,1,32.4
BAN_2,30.0,1,1,1,32.4
BAN_1,30.0,3,3,1,32.4
HAN_2,240.0,1,1,1,32.4
HAN_1,240.0,2,2,1,32.4
TAN_2,240.0,1,1,1,32.4
TAN_1,240.0,4,4,1,32.4
ATE(I)(Z)>KNR(I)(Z)_110L1,178.0,1,1,1,28.5
KLP(I)(Z)>RAT(I)(Z)_110L1,136.0,64,32,2,27.5
CRA(I)(Z)>WEX(I)(Z)_110L1,99.0,30,15,2,27.0
ROP(I)(Z)>WEX(I)(Z)_110L1,178.0,24,12,2,27.0
GOR(I)(Z)>MTH(I)(Z)_110L1,99.0,27,9,3,26.5
LOU(I)(Z)>MTH(I)(Z)_110L1,99.0,150,50,3,26.5
CDU(I)(Z)>RYB(I)(Z)_110L1,103.0,3,1,3,26.5
BOL(I)(Z)>ENN(I)(Z)_110L1,178.0,8,4,2,26.4
AD(I)(Z)>GGO(I)(Z)_220L1,536.0,2,1,2,24.8
DMY(I)(Z)>MAC(I)(Z)_110L1,196.0,22,11,2,24.8
BAN(I)(Z)>DMY(I)(Z)_110L1,99.0,10,5,2,24.8
CLA(I)(Z)>DMY(I)(Z)_110L1,178.0,4,2,2,24.8
AD(I)(Z)>KRA(I)(Z)_220L1,393.0,2,1,2,24.8
CLA_T2101,250.0,2,1,2,24.8
CLA_T2102,250.0,2,1,2,24.8
RAF_T2102,250.0,2,1,2,24.8
RAF_T2101,238.0,2,1,2,24.8
LIS(I)(Z)>LSA(I)(T)_110L1,99.0,1,1,1,22.0
LIS(I)(Z)>LOU(I)(Z)_110L1,99.0,2,2,1,22.0
CLU(I)(Z)>KUD(I)(Z)_110L1,187.0,1,1,1,21.0
CBT_T2102,250.0,1,1,1,21.0
CBT_T2101,250.0,3,3,1,21.0
KRA(I)(Z)>WHO(I)(Z)_110L1,178.0,117,117,1,20.0
CNB(I)(Z)>GGT(I)(T)_110L1,178.0,8,4,2,20.0
DSN(I)(Z)>MAY(I)(Z)_220L2,350.0,6,3,2,20.0
CLA(I)(Z)>MAC(I)(Z)_110L1,161.0,1,1,1,20.0
CD(I)(Z)>MAC(I)(Z)_110L1,178.0,1,1,1,20.0
COW(I)(Z)>RAF(I)(Z)_110L1,99.0,2,2,1,20.0
KLS_T2102,125.0,2,1,2,20.0
KLS_T2101,125.0,2,1,2,20.0
MOY(I)(Z)>TAW(I)(Z)_110L2,99.0,1,1,1,19.2
MOY(I)(Z)>TAW(I)(Z)_110L1,99.0,1,1,1,19.2
BIN(I)(Z)>TIV(I)(Z)_110L1,136.0,2,2,1,18.0
