line,line_type,line_rating_mw,farm,effectiveness,effectiveness_vs_fleet,abs_effectiveness,farm_mec_mw,prorata_groups
CPK(I)(Z)>CKM(I)(Z)_110L1,Line,100.0,Dunmore Wind Farm,1.0,0.9989,0.9989,1.7,NI/1;NI/4
CPK(I)(Z)>CKM(I)(Z)_110L1,Line,100.0,Dunmore 2,1.0,0.9989,0.9989,1.8,NI/1;NI/4
CBL(I)(Z)>TRI(I)(Z)_110L1,Line,124.0,Raheen Barr Wind Farm,1.0,0.9942,0.9942,18.7,ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI/1
BK(I)(Z)>MOY(I)(Z)_110L1,Line,178.0,Killala Wind Farm (Phase 1),-1.0,-0.994,0.994,19.2,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/7;ROI-W/8;ROI/1
KRA(I)(Z)>WHO(I)(Z)_110L1,Line,178.0,Woodhouse (1),-1.0,-0.9938,0.9938,20.0,ROI/1
ATE(I)(Z)>DRO(I)(Z)_110L1,Line,120.0,Dromada (1),-1.0,-0.9911,0.9911,28.5,ROI-W/2;ROI/1
ATE(I)(Z)>KNR(I)(Z)_110L1,Line,178.0,Dromada (1),1.0,0.9911,0.9911,28.5,ROI-W/2;ROI/1
CGL(I)(Z)>GAE(I)(Z)_110L1,Line,130.0,Midas (1),-1.0,-0.9907,0.9907,29.8,ROI-W/2;ROI/1
CKN(I)(Z)>CGL(I)(Z)_110L1,Line,178.0,Midas (1),-1.0,-0.9907,0.9907,29.8,ROI-W/2;ROI/1
CAH(I)(Z)>KHL(I)(Z)_110L1,Line,178.0,Kill Hill (1) - phase 1,-1.0,-0.9888,0.9888,36.0,ROI-W/1;ROI-W/2;ROI/1
AUG(I)(Z)>KPG(I)(Z)_110L1,Line,178.0,Kelwin Power,-1.0,-0.9884,0.9884,37.05,ROI-W/2;ROI/1
CLU(I)(Z)>CBT(I)(Z)_110L1,Line,187.0,Gortahile Wind Farm,0.9938,0.9873,0.9873,21.0,ROI/1
BK(I)(Z)>CGW(I)(Z)_110L1,Line,178.0,Knocknatallig Wind Farm (formerly Buttevant Wind Farm),-1.0,-0.9839,0.9839,18.3,ROI-SW/3c;ROI-W/2;ROI/1
BK(I)(Z)>CGW(I)(Z)_110L1,Line,178.0,Castlepook (1),-1.0,-0.9839,0.9839,33.1,ROI-SW/3c;ROI-W/2;ROI/1
BYH(I)(Z)>CDL(I)(Z)_110L1,Line,195.0,Carrigdangan (formerly Barnadivane),-1.0,-0.983,0.983,54.3,ROI-W/2;ROI/1
AGL(I)(Z)>DYN(I)(Z)_110L1,Line,105.0,Derrybrien (1),-1.0,-0.9814,0.9814,59.5,ROI-W/1;ROI-W/2;ROI/1
REM(I)(Z)>TRL(I)(Z)_110L1,Line,125.0,Muingnaminnane Wind Farm,1.0,0.9814,0.9814,15.3,ROI-W/2
REM(I)(Z)>TRL(I)(Z)_110L1,Line,125.0,Knocknagoum (1),1.0,0.9814,0.9814,42.55,ROI-W/2
REM(I)(Z)>TRL(I)(Z)_110L1,Line,125.0,Knocknagoum (2),1.0,0.9814,0.9814,1.8,ROI-W/2
CDY(I)(Z)>GRV(I)(Z)_110L1,Line,132.0,Garvagh - Glebe (1a),-1.0,-0.9813,0.9813,26.0,NI/1;NI/4;NI/5;ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI/1
CDY(I)(Z)>GRV(I)(Z)_110L1,Line,132.0,Derrysallagh Wind Farm (Formerly Kilronan 2),-1.0,-0.9813,0.9813,34.0,NI/1;NI/4;NI/5;ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI/1
ENN(I)(Z)>SLC(I)(Z)_110L1,Line,195.0,Knockalassa (formerly Keelderry),-1.0,-0.9777,0.9777,26.875,ROI-W/1;ROI-W/2;ROI/1
ENN(I)(Z)>SLC(I)(Z)_110L1,Line,195.0,Boolinrudda (formerly Boolynagleragh & Glenmore),-1.0,-0.9777,0.9777,44.515,ROI-W/1;ROI-W/2;ROI/1
CUN(I)(Z)>GLR(I)(Z)_110L1,Line,178.0,Carrowleagh Wind Farm (1),-1.0,-0.9758,0.9758,34.15,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/8;ROI/1
CUN(I)(Z)>GLR(I)(Z)_110L1,Line,178.0,Carrowleagh Wind Farm Ext. (2),-1.0,-0.9758,0.9758,2.65,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/8;ROI/1
CUN(I)(Z)>GLR(I)(Z)_110L1,Line,178.0,Bunnyconnellan Wind Farm,-1.0,-0.9758,0.9758,28.0,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/8;ROI/1
CUN(I)(Z)>GLR(I)(Z)_110L1,Line,178.0,Black Lough Wind Farm,-1.0,-0.9758,0.9758,12.5,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/8;ROI/1
ARI(I)(Z)>ARI(I)(T)_110L1,Line,105.0,Arklow Bank Wind Farm (1),1.0,0.9755,0.9755,25.2,ROI/1
ARI(I)(Z)>ARI(I)(T)_110L1,Line,105.0,Raheenleagh (1),1.0,0.9755,0.9755,35.2,ROI/1
ARI(I)(Z)>ARI(I)(T)_110L1,Line,105.0,Ballycumber Wind Farm,1.0,0.9755,0.9755,18.0,ROI/1
DRM(I)(Z)>MEE(I)(Z)_110L1,Line,99.0,Meentycat (1),-1.0,-0.9735,0.9735,70.96,ROI-NW/2;ROI-NW/3;ROI-NW/4;ROI-W/2;ROI/1
DRM(I)(Z)>MEE(I)(Z)_110L1,Line,99.0,Meentycat (2),-1.0,-0.9735,0.9735,14.0,ROI-NW/2;ROI-NW/3;ROI-NW/4;ROI-W/2;ROI/1
