line,line_rating_mw,farm,effectiveness_n1,abs_effectiveness_n1,worst_contingency,farm_mec_mw,prorata_groups
AGN(I)(Z)>CBT(I)(Z)_110L1,187.0,Woodhouse (1),-4073.1028,4073.1028,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
AGN(I)(Z)>CBT(I)(Z)_110L2,187.0,Woodhouse (1),-4073.1028,4073.1028,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
CLU(I)(Z)>CBT(I)(Z)_110L1,187.0,Woodhouse (1),-4044.3047,4044.3047,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
DFR(I)(T)>DFR(I)(Z)_110L1,99.0,Killala Wind Farm (Phase 1),-995.1966,995.1966,BK(I)(Z)>MOY(I)(Z)_110L1,19.2,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/7;ROI-W/8;ROI/1
CLU(I)(Z)>CBT(I)(Z)_110L1,187.0,Killala Wind Farm (Phase 1),-972.3047,972.3047,BK(I)(Z)>MOY(I)(Z)_110L1,19.2,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/7;ROI-W/8;ROI/1
DFR(I)(T)>DFR(I)(Z)_110L1,99.0,Knocknatallig Wind Farm (formerly Buttevant Wind Farm),-426.3077,426.3077,BK(I)(Z)>CBR(I)(Z)_110L1,18.3,ROI-SW/3c;ROI-W/2;ROI/1
DFR(I)(T)>DFR(I)(Z)_110L1,99.0,Castlepook (1),-426.3077,426.3077,BK(I)(Z)>CBR(I)(Z)_110L1,33.1,ROI-SW/3c;ROI-W/2;ROI/1
DFR(I)(T)>DFR(I)(Z)_110L1,99.0,Oweninny Power (1),-426.3077,426.3077,BK(I)(Z)>CBR(I)(Z)_110L1,89.0,ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/7;ROI-W/8;ROI/1
CLU(I)(Z)>CBT(I)(Z)_110L1,187.0,Knocknatallig Wind Farm (formerly Buttevant Wind Farm),-403.4158,403.4158,BK(I)(Z)>CBR(I)(Z)_110L1,18.3,ROI-SW/3c;ROI-W/2;ROI/1
CLU(I)(Z)>CBT(I)(Z)_110L1,187.0,Castlepook (1),-403.4158,403.4158,BK(I)(Z)>CBR(I)(Z)_110L1,33.1,ROI-SW/3c;ROI-W/2;ROI/1
CLU(I)(Z)>CBT(I)(Z)_110L1,187.0,Oweninny Power (1),-403.4158,403.4158,BK(I)(Z)>CBR(I)(Z)_110L1,89.0,ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/7;ROI-W/8;ROI/1
AGN(I)(Z)>CBT(I)(Z)_110L1,187.0,Coomagearlahy (1),96.0401,96.0401,AUG(I)(Z)>MTN(I)(Z)_110L1,42.5,ROI-W/2;ROI/1
AGN(I)(Z)>CBT(I)(Z)_110L1,187.0,Coomagearlahy (2),96.0401,96.0401,AUG(I)(Z)>MTN(I)(Z)_110L1,8.5,ROI-W/2;ROI/1
AGN(I)(Z)>CBT(I)(Z)_110L1,187.0,Coomagearlahy (3),96.0401,96.0401,AUG(I)(Z)>MTN(I)(Z)_110L1,30.0,ROI-W/2;ROI/1
AGN(I)(Z)>CBT(I)(Z)_110L1,187.0,Kelwin Power,96.0401,96.0401,AUG(I)(Z)>MTN(I)(Z)_110L1,37.05,ROI-W/2;ROI/1
AGN(I)(Z)>CBT(I)(Z)_110L2,187.0,Coomagearlahy (1),96.0401,96.0401,AUG(I)(Z)>MTN(I)(Z)_110L1,42.5,ROI-W/2;ROI/1
AGN(I)(Z)>CBT(I)(Z)_110L2,187.0,Coomagearlahy (2),96.0401,96.0401,AUG(I)(Z)>MTN(I)(Z)_110L1,8.5,ROI-W/2;ROI/1
AGN(I)(Z)>CBT(I)(Z)_110L2,187.0,Coomagearlahy (3),96.0401,96.0401,AUG(I)(Z)>MTN(I)(Z)_110L1,30.0,ROI-W/2;ROI/1
AGN(I)(Z)>CBT(I)(Z)_110L2,187.0,Kelwin Power,96.0401,96.0401,AUG(I)(Z)>MTN(I)(Z)_110L1,37.05,ROI-W/2;ROI/1
ISH(I)(Z)>SHL(I)(Z)_220L1,593.0,Woodhouse (1),-95.5558,95.5558,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
BKY(I)(Z)>CBT(I)(Z)_110L1,187.0,Woodhouse (1),63.8778,63.8778,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
BKY(I)(Z)>CBT(I)(Z)_110L2,187.0,Woodhouse (1),63.8778,63.8778,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
BKY(I)(Z)>KCY(I)(Z)_110,187.0,Woodhouse (1),63.8778,63.8778,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
LSA(I)(Z)>LSA(I)(T)_110L1,120.0,Killala Wind Farm (Phase 1),-63.6161,63.6161,BK(I)(Z)>MOY(I)(Z)_110L1,19.2,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/7;ROI-W/8;ROI/1
KLM(I)(Z)>NBY(I)(Z)_110L1,119.0,Woodhouse (1),63.5933,63.5933,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
PB(I)(Z)>SHL(I)(Z)_220L1,593.0,Woodhouse (1),-63.5847,63.5847,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
CTY(I)(Z)>FTT(I)(Z)_110L1,124.0,Woodhouse (1),63.4694,63.4694,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
CLU(I)(Z)>KUD(I)(Z)_110L1,187.0,Woodhouse (1),-63.2503,63.2503,KRA(I)(Z)>WHO(I)(Z)_110L1,20.0,ROI/1
CLU(I)(Z)>CBT(I)(Z)_110L1,187.0,Gortahile Wind Farm,52.6953,52.6953,CLU(I)(Z)>KUD(I)(Z)_110L1,21.0,ROI/1
