axis,index,name
line,0,AA(I)(Z)>DRU(I)(Z)_110L1
line,1,AA(I)(Z)>ENN(I)(Z)_110L1
line,2,AA(I)(Z)>LIM(I)(Z)_110L1
line,3,AA1(I)(Z)>SNG(I)(Z)_110L1
line,4,AD(I)(Z)>GGO(I)(Z)_220L1
line,5,AD(I)(Z)>KRA(I)(Z)_220L1
line,6,AD(I)(Z)>KRA(I)(Z)_220L2
line,7,AD(I)(Z)>LPT(I)(Z)_220L1
line,8,AD(I)(Z)>RAF(I)(Z)_220L1
line,9,AD(I)(Z)>WHI(I)(Z)_110L1
line,10,ADM(I)(Z)>GCA(I)(Z)_110L1
line,11,ADM(I)(Z)>INC(I)(Z)_110L1
line,12,AGH(N)(Z)>ENN(N)(Z)_110L1
line,13,AGL(I)(Z)>DYN(I)(Z)_110L1
line,14,AGL(I)(Z)>ENN(I)(Z)_110L1
line,15,AGN(I)(Z)>CBT(I)(Z)_110L1
line,16,AGN(I)(Z)>CBT(I)(Z)_110L2
line,17,AGN(I)(Z)>KSE(I)(Z)_110L1
line,18,AGL(I)(Z)>SH(I)(Z)_110L1
line,19,AHA(I)(Z)>KLN(I)(Z)_110L1
line,20,AIR(N)(Z)>ROS(N)(Z)_110L1
line,21,AIR(N)(Z)>ROS(N)(Z)_110L2
line,22,ANR(I)(Z)>DOO(I)(Z)_110L1
line,23,ANT(N)(Z)>KEL(N)(Z)_110L1
line,24,ANT(N)(Z)>KEL(N)(Z)_110L2
line,25,ARD(I)(Z)>TIV(I)(Z)_110L1
line,26,ARI(I)(Z)>ARI(I)(T)_110L1
line,27,ARK(I)(Z)>BEG(I)(Z)_110L1
line,28,ARK(I)(Z)>BOG(I)(Z)_110L1
line,29,ARK(I)(Z)>CKM(I)(Z)_220L1
line,30,ARK(I)(Z)>LOD(I)(Z)_220L1
line,31,ARK(I)(Z)>SHE(I)(Z)_110L1
line,32,ART(I)(Z)>FIN(I)(Z)_110L1
line,33,ART(I)(Z)>MCD(I)(Z)_110L1
line,34,ARV(I)(Z)>COS(I)(Z)_110L1
line,35,ARV(I)(Z)>GWE(I)(Z)_110L1
line,36,ARV(I)(Z)>NAV(I)(Z)_110L1
line,37,ARV(I)(Z)>SKL(I)(Z)_110L1
line,38,ARV(I)(Z)>SKL(I)(Z)_110L2
line,39,ATE(I)(Z)>DRO(I)(Z)_110L1
line,40,ATE(I)(Z)>KNR(I)(Z)_110L1
line,41,ATH(I)(Z)>LA(I)(Z)_110L1
line,42,ATH(I)(Z)>SH(I)(Z)_110L1
line,43,ATN(I)(Z)>INC(I)(Z)_110L1
line,44,ATN(I)(Z)>INC(I)(Z)_110L2
line,45,ATY(I)(Z)>CLW(I)(Z)_110L1
line,46,ATY(I)(Z)>CNB(I)(Z)_110L1
line,47,ATY(I)(Z)>PLS(I)(Z)_110L1
line,48,AUG(I)(Z)>CFM(I)(Z)_110L1
line,49,AUG(I)(Z)>CFM(I)(Z)_110L2
line,50,AUG(I)(Z)>KPG(I)(Z)_110L1
line,51,AUG(I)(Z)>MTN(I)(Z)_110L1
line,52,AUG(I)(Z)>SK(I)(Z)_110L1
line,53,AUG(I)(Z)>SK(I)(Z)_110L2
line,54,BAL(I)(Z)>CDU(I)(Z)_110L1
line,55,BAL(I)(Z)>DRY(I)(Z)_110L1
line,56,BAL(I)(Z)>DEE(I)(Z)_110L1
line,57,BAN(I)(Z)>BRI(I)(Z)_110L1
line,58,BAN(I)(Z)>BRI(I)(Z)_110L2
line,59,BAN(I)(Z)>DMY(I)(Z)_110L1
line,60,BAN(I)(Z)>RAF(I)(Z)_110L1
line,61,BAN(N)(Z)>TAN(N)(Z)_110L1
line,62,BAN(N)(Z)>TAN(N)(Z)_110L2
line,63,BAR(I)(Z)>BAR(I)(T)_110L1
line,64,BCT(I)(Z)>CKM(I)(Z)_110L1
line,65,BCT(I)(Z)>COO(I)(Z)_110L1
line,66,BDA(I)(Z)>MON(I)(Z)_110L1
line,67,BDA(I)(Z)>NEW(I)(Z)_110L1
line,68,BDN(I)(Z)>CUL(I)(Z)_110L1
line,69,BDN(I)(Z)>DOO(I)(Z)_110L1
line,70,BEG(I)(Z)>CKM(I)(Z)_110L1
line,71,BGH(I)(Z)>CLA(I)(Z)_110L1
line,72,BGN(I)(Z)>MLC(I)(Z)_110L1
line,73,BGT(I)(Z)>CNB(I)(Z)_110L1
line,74,BGT(I)(Z)>GGT(I)(Z)_110L1
line,75,BGT(I)(Z)>KKY(I)(Z)_110L1
line,76,BIN(I)(Z)>CF(I)(Z)_110L1
line,77,BIN(I)(Z)>TIV(I)(Z)_110L1
line,78,BK(I)(Z)>CBR(I)(Z)_110L1
line,79,BK(I)(Z)>CGW(I)(Z)_110L1
line,80,BK(I)(Z)>MOY(I)(Z)_110L1
line,81,BK(I)(Z)>SKY(I)(Z)_110L1
line,82,BK(I)(Z)>SKY(I)(Z)_110L2
line,83,BKT(I)(Z)>CUR(I)(Z)_110L1
line,84,BKY(I)(Z)>CBT(I)(Z)_110L1
line,85,BKY(I)(Z)>CBT(I)(Z)_110L2
line,86,BKY(I)(Z)>KCY(I)(Z)_110
line,87,BLA(I)(Z)>POT(I)(Z)_110L1
line,88,BLA(I)(Z)>RE(I)(Z)_110L1
line,89,BLC(I)(Z)>FIN(I)(Z)_220L1
line,90,BLC(I)(Z)>SHL(I)(Z)_220L1
line,91,BLC(I)(Z)>GRA(I)(Z)_110L1
line,92,BLC(I)(Z)>KLM(I)(Z)_110L1
