farm,county,mec_mw,lat,lon,seai_node,model_gen_id,model_gen_desc,match_score,station_agrees,matched,model_bus,model_station,groups_via_model,groups_via_wdt_station,routes_overlap
Bellacorrick Wind Farm,Mayo,6.45,54.13188,-9.55089,Bellacorick,,tullabrack,54.5,no,no,,,,,n/a
Corrie Mt.,Leitrim,4.8,54.12974,-8.15305,Arigna,,oramore,53.3,no,no,,,,,n/a
Mount Cronalaght,Donegal,4.98,55.06299,-8.21801,Letterkenny,,cronalaght2,76.9,no,no,,,,,n/a
Golagh (1),Donegal,15.0,54.68884,-7.94564,Golagh 110 kV,,booltiagh,66.7,no,no,,,,,n/a
Drumlough Hill Wind Farm,Donegal,4.8,55.20423,-7.43853,Trillick,,grove hill,58.3,no,no,,,,ROI-NW/1;ROI-NW/3;ROI-NW/4;ROI-NW/5;ROI-NW/6;ROI-W/2,n/a
Kilronan,Roscommon,5.0,54.0806,-8.14681,Arigna,,seegronan,58.8,no,no,,,,,n/a
Cark,Donegal,15.0,54.89689,-7.89681,Letterkenny,CAR,cark,100.0,yes,yes,LET_I_Z_110,Letterkenny,ROI/1,,n/a
Spion Kop Wind Farm,Leitrim,1.2,54.13457,-8.13828,Arigna,,knock south,50.0,no,no,,,,,n/a
Crockahenny,Donegal,5.0,55.14621,-7.27113,Trillick,,crockandun,76.2,no,no,,,,ROI-NW/1;ROI-NW/3;ROI-NW/4;ROI-NW/5;ROI-NW/6;ROI-W/2,n/a
Knock South Wind Farm (Inverin),Galway,2.64,53.26524,-9.36817,Screeb,,knocksouth,74.1,no,no,,,,,n/a
Knock South Wind Farm (2),Galway,0.69,53.26504,-9.36902,Screeb,INW1_1,knock south,100.0,no,yes,KNY_I_Z_110,Knockranny,ROI/1,,n/a
Currabwee Wind Farm,Cork,4.62,51.68146,-9.12122,Dunmanway,,curryfree,66.7,no,no,,,,ROI-SE/2;ROI-SW/1;ROI-SW/5;ROI-SW/8;ROI-W/2,n/a
Milane Hill Wind Farm,Cork,5.94,51.68954,-9.21252,Dunmanway,,kill hill,70.0,no,no,,,,ROI-SE/2;ROI-SW/1;ROI-SW/5;ROI-SW/8;ROI-W/2,n/a
Anarget Wind Farm (1),Donegal,1.98,54.75216,-8.16834,Cathaleens Fall,,leanamore,62.5,no,no,,,,,n/a
Beenageeha Wind Farm,Kerry,3.96,52.33341,-9.56454,Tralee,,tievenameenta,60.9,no,no,,,,ROI-SW/1;ROI-W/2,n/a
Largan Hill,Roscommon,5.94,53.94809,-8.56746,Tonroe,,carnhill,77.8,no,no,,,,,n/a
Tursillagh Wind Farm,Kerry,15.0,52.31364,-9.59672,Tralee,TUR,tursillagh,100.0,yes,yes,TRL_I_Z_110,Tralee,ROI-W/2;ROI/1,ROI-SW/1;ROI-W/2,yes
