line,line_type,rating_mw,n_farms_effective,wind_mw_effective,max_effectiveness
KNY(I)(Z)>UGL(I)(Z)_110L1,Line,195.0,129,3201.2,0.9472
KNY(I)(Z)>SAL(I)(Z)_110L1,Line,195.0,128,3141.7,0.7146
GAL(I)(Z)>SAL(I)(Z)_110L1,Line,99.0,128,3141.7,0.6784
LWD_T2101,Transformer,250.0,114,2822.7,0.5396
KNR(I)(Z)>BYH(I)(Z)_220L1,Line,434.0,106,2705.9,0.4714
MP_T4202_01,Transformer,500.0,109,2476.8,0.2226
LOU(I)(Z)>WOO(I)(Z)_220L1,Line,350.0,108,2441.4,0.2797
KLP(I)(Z)>KNR(I)(Z)_220L2,Line,731.0,96,2421.3,0.2547
MP(I)(Z)>OST(I)(Z)_380L1,Line,1283.0,90,2342.8,0.1225
GOR(I)(Z)>MAY(I)(Z)_220L1,Line,350.0,105,2331.8,0.239
CNB(I)(Z)>MP(I)(T)_380L1,Line,1577.0,100,2303.4,0.3334
CNB(I)(Z)>DSN(I)(T)_380L1,Line,1577.0,100,2275.4,0.3313
MP_T4202_2,Transformer,500.0,102,2262.9,0.1827
CSH(I)(Z)>FLA(I)(Z)_220L1,Line,350.0,81,2210.9,0.2647
KLP(I)(Z)>MP(I)(Z)_220L1,Line,660.0,93,2150.4,0.2492
KLP(I)(Z)>MP(I)(Z)_220L2,Line,660.0,93,2150.4,0.2492
ARK(I)(Z)>CKM(I)(Z)_220L1,Line,434.0,85,2089.4,0.3215
OST(I)(Z)>WOO(I)(Z)_380L1,Line,1577.0,88,2028.4,0.1389
CSH(I)(Z)>PRO(I)(Z)_220L1,Line,392.0,72,1954.3,0.1668
KLN(I)(Z)>SH(I)(Z)_220L1,Line,269.0,70,1928.7,0.161
BVK(I)(Z)>BYH(I)(Z)_220L1,Line,434.0,61,1764.8,0.4463
DSN_T4202,Transformer,500.0,79,1671.9,0.1461
MAY(I)(Z)>SH(I)(Z)_220L1,Line,269.0,62,1603.7,0.1129
AA(I)(Z)>LIM(I)(Z)_110L1,Line,178.0,51,1580.8,0.3523
PRO(I)(Z)>TB(I)(Z)_220L1,Line,467.0,56,1540.0,0.1223
ARK(I)(Z)>LOD(I)(Z)_220L1,Line,434.0,71,1521.4,0.2718
CSH_T2102,Transformer,250.0,61,1499.7,0.193
CSH_T2101,Transformer,238.0,61,1499.7,0.193
CUL(I)(Z)>KRA(I)(Z)_220L1,Line,646.0,66,1455.2,0.2173
DSN_T4201,Transformer,500.0,67,1443.9,0.1245
BEG(I)(Z)>CKM(I)(Z)_110L1,Line,136.0,66,1424.5,0.5136
CUL(I)(Z)>GI(I)(Z)_220L1,Line,746.0,63,1416.3,0.1941
LA(I)(Z)>SLB(I)(Z)_110L1,Line,99.0,46,1408.0,0.5248
GOR(I)(Z)>LOU(I)(Z)_220L1,Line,434.0,67,1386.5,0.2489
OST(I)(Z)>TYN(I)(Z)_220L1,Line,434.0,57,1366.9,0.1664
OST_T4202,Transformer,500.0,57,1366.9,0.1664
CSH(I)(Z)>TYN(I)(Z)_220L1,Line,761.0,57,1366.9,0.1664
GI(I)(Z)>LWD(I)(Z)_220L1,Line,434.0,56,1362.3,0.2678
PB(I)(Z)>CKM(I)(Z)_220L1,Line,267.0,64,1287.3,0.1545
BVK(I)(Z)>CLA(I)(Z)_220L1,Line,740.0,53,1262.6,0.362
CLA(I)(Z)>KRA(I)(Z)_220L1,Line,646.0,53,1262.6,0.2636
GI(I)(Z)>KLS(I)(Z)_220L1,Line,393.0,58,1202.6,0.1511
DSN(I)(Z)>KLS(I)(Z)_220L1,Line,393.0,57,1106.9,0.1305
CSH(I)(Z)>ENN(I)(Z)_110L1,Line,178.0,34,1068.9,0.2573
FLA(I)(Z)>SLB(I)(Z)_110L1,Line,99.0,40,1052.0,0.4571
FLA(I)(Z)>LOU(I)(Z)_220L1,Line,384.0,46,1049.2,0.1432
CKM(I)(Z)>ISH(I)(Z)_220L1,Line,593.0,53,1036.8,0.1391
KLN(I)(Z)>KRA(I)(Z)_220L1,Line,512.0,33,935.3,0.2029
CHA(I)(Z)>KLN(I)(Z)_110L1,Line,136.0,28,812.8,0.1863
ISH(I)(Z)>SHL(I)(Z)_220L1,Line,593.0,43,787.5,0.1649
CLN(I)(Z)>LA(I)(Z)_110L1,Line,63.0,24,769.2,0.1697
CSH(I)(Z)>CLN(I)(Z)_110L1,Line,178.0,21,758.3,0.3365
KLP(I)(Z)>KNR(I)(Z)_220L1,Line,731.0,27,659.5,0.1698
CDU(I)(Z)>WOO(I)(Z)_220L1,Line,434.0,33,635.2,0.1727
CLE(I)(Z)>WOO(I)(Z)_220L1,Line,434.0,33,635.2,0.1727
CLE(I)(Z)>CDU(I)(Z)_220L1,Line,434.0,33,635.2,0.1727
KNY(I)(Z)>KLH(I)(Z)_110L1,Line,190.0,18,628.9,0.7364
KLH(I)(Z)>THU(I)(Z)_110L1,Line,178.0,18,628.9,0.6032
CSH_T2104,Transformer,175.0,16,592.9,0.0914
KLN(I)(Z)>LIM(I)(Z)_110L1,Line,99.0,24,592.5,0.3085
FIN(I)(Z)>NW(I)(Z)_220L1,Line,332.0,31,585.3,0.1794
CBT(I)(Z)>INC(I)(Z)_220L1,Line,761.0,31,585.3,0.2491
NW(I)(Z)>PB(I)(Z)_220L1,Line,332.0,31,585.3,0.1794
