gen_id,description,fuel,bus,prorata_groups,pmax_mw,mean_mw,capacity_factor
EWIC,EWIC,interconnector,WOO_I_Z_380,ROI/1,530.0,139.579,0.2634
GLK,Greenlink,interconnector,LWN_I_Z_220,ROI/1,514.0,376.147,0.7318
M,Moyle,interconnector,BYC_N_Z_275,NI/4,452.0,175.789,0.3889
DV1,Dromdeeveen Windfarm,wind,GLE_I_Z_110,"ROI-W/2,ROI-SW/3a,ROI-SW/3b,ROI-SW/3c,ROI/1,ROI/1",22.854,5.717,0.2501
SB1,Sliabh Bawn Windfarm,wind,SLB_I_Z_110,"ROI-NW/4,ROI-W/1,ROI-W/2,ROI/1",49.094,12.28,0.2501
KD1,Knockalassa Windfarm,wind,SLC_I_Z_110,"ROI-W/1,ROI-W/2,ROI/1",22.854,5.717,0.2501
RD1,Boolinrudda Windfarm,wind,SLC_I_Z_110,"ROI-W/1,ROI-W/2,ROI/1",38.091,9.528,0.2501
OY1,Oweninny Wind Farm,wind,SKY_I_Z_110,"ROI-NW/4,ROI-W/1,ROI-W/2,ROI-W/6,ROI-W/7,ROI-W/8,ROI/1",75.335,18.844,0.2501
OY2,Oweninny 2 Windfarm,wind,SKY_I_Z_110,"ROI-NW/4,ROI-W/1,ROI-W/2,ROI-W/6,ROI-W/7,ROI-W/8,ROI/1",70.256,17.573,0.2501
KW1,Knockawarriga 1 Windfarm,wind,TRI_I_Z_110,"ROI-W/2,ROI/1",19.045,4.764,0.2501
TN2,Tournafulla Generatot Unit,wind,TRI_I_Z_110,"ROI-W/2,ROI/1",14.559,3.642,0.2501
MYM,Molly Mountain Wind Farm,wind,AGH_N_Z_110,"NI/2,NI/3,NI/4",12.697,3.176,0.2501
SL2,Slieve Rushen Windfarm,wind,AGH_N_Z_110,"NI/2,NI/3,NI/4",45.709,11.433,0.2501
CBY,Corby Knowe Windfarm,wind,ANT_N_Z_110,NI/4,4.571,1.143,0.2501
ABK,ESB Arklow Bank,wind,ARK_I_Z_110,ROI/1,21.669,5.42,0.2501
RL1,Raheenleagh,wind,ARK_I_Z_110,ROI/1,29.795,7.453,0.2501
YR1,Ballycumber Windfarm,wind,ARK_I_Z_110,ROI/1,15.236,3.811,0.2501
AH1,Athea Wind Farm,wind,ATE_I_Z_110,"ROI-W/2,ROI-W/2,ROI/1",29.076,7.273,0.2501
XT1,Beenanaspuck and Tobertoreen Windfarm,wind,ATE_I_Z_110,"ROI-W/2,ROI-W/2,ROI/1",20.315,5.081,0.2501
BW1,Ballywater Windfarm,wind,BWR_I_Z_110,ROI/1,35.551,8.892,0.2501
RHY,Rathsherry Wind Farm,wind,BMA_N_Z_110,NI/4,17.903,4.478,0.2501
EGH,Elginny Hill Wind Farm,wind,BMA_N_Z_110,NI/4,19.469,4.87,0.2501
BF1,Barranafaddock Windfarm,wind,BAR_I_T_110,"ROI-W/2,ROI/1",27.425,6.86,0.2501
SS1,Sheskin Windfarm,wind,BK_I_Z_110,ROI/1,14.22,3.557,0.2501
MC1,Airoshin Generator Unit,wind,BIN_I_Z_110,"ROI-NW/1,ROI-NW/3,ROI-NW/4,ROI-W/2,ROI/1",10.073,2.52,0.2501
YV2,Clogheravaddy WF 2,wind,BIN_I_Z_110,"ROI-NW/1,ROI-NW/3,ROI-NW/4,ROI-W/2,ROI/1",9.142,2.287,0.2501
BG1,Boggeragh Windfarm Generator Unit,wind,BGH_I_Z_110,"ROI-W/2,ROI/1",48.248,12.068,0.2501
BG2,Boggeragh 2 Windfarm,wind,BGH_I_Z_110,"ROI-W/2,ROI/1",55.612,13.91,0.2501
ES1,Esk Windfarm,wind,BGH_I_Z_110,"ROI-W/2,ROI/1",19.638,4.912,0.2501
CD1,Carraigcannon Windfarm,wind,BGH_I_Z_110,"ROI-W/2,ROI/1",16.929,4.235,0.2501
QA1,Moanvane Windfarm,wind,BGN_I_Z_110,ROI/1,47.74,11.941,0.2501
BT1,Booltiagh Windfarm,wind,BOL_I_Z_110,"ROI-W/1,ROI-W/2,ROI/1",16.929,4.235,0.2501
BT2,Booltiagh 2 Wind Farm,wind,BOL_I_Z_110,"ROI-W/1,ROI-W/2,ROI/1",10.157,2.541,0.2501
LY1,Lissycasey Windfarm,wind,BOL_I_Z_110,"ROI-W/1,ROI-W/2,ROI/1",11.343,2.837,0.2501
SF1,Sorrell Island 1 Windfarm,wind,BOL_I_Z_110,"ROI-W/1,ROI-W/2,ROI/1",20.315,5.081,0.2501
SF2,Sorrell Island 2 Windfarm,wind,BOL_I_Z_110,"ROI-W/1,ROI-W/2,ROI/1",7.237,1.81,0.2501
BJ1,Boolynagleragh Windfarm,wind,BOL_I_Z_110,"ROI-W/1,ROI-W/2,ROI/1",31.302,7.83,0.2501
BKY,Brockaghboy,wind,BRO_N_Z_110,"NI/1,NI/4,NI/5",40.207,10.057,0.2501
GE1,Gortahile Windfarm Ltd Generator Unit,wind,CLW_I_Z_110,ROI/1,16.929,4.235,0.2501
CNH,Carn Hill Wind Farm,wind,CAR_N_Z_110,NI/4,11.681,2.922,0.2501
XA1,Carrigdangan Windfarm,wind,CDN_I_Z_110,"ROI-W/2,ROI/1",45.963,11.497,0.2501
MX1,Raheen Barr Wind Farm,wind,CBR_I_Z_110,"ROI-NW/4,ROI-W/1,ROI-W/2,ROI-W/6,ROI/1",15.829,3.959,0.2501
AS1,Acres Windfarm,wind,CF_I_Z_110,"ROI-NW/3,ROI-NW/4,ROI-W/2,ROI/1",14.813,3.705,0.2501
CP1,Cappawhite,wind,CTN_I_Z_110,"ROI-W/1,ROI-W/2,ROI-W/4,ROI/1",44.016,11.01,0.2501
CP3,Cappawhite B Windfarm,wind,CTN_I_Z_110,"ROI-W/1,ROI-W/2,ROI-W/4,ROI/1",11.962,2.992,0.2501
GM1,Garracummer Wind Farm Ltd,wind,CTN_I_Z_110,"ROI-W/1,ROI-W/2,ROI-W/4,ROI/1",32.165,8.046,0.2501
GU1,Glenough Windfarm,wind,CTN_I_Z_110,"ROI-W/1,ROI-W/2,ROI-W/4,ROI/1",27.51,6.881,0.2501
GY1,Glencarbry Windfarm,wind,CTN_I_Z_110,"ROI-W/1,ROI-W/2,ROI-W/4,ROI/1",27.933,6.987,0.2501
KQ1,Knocknatallig Windfarm,wind,CHA_I_Z_110,"ROI-W/2,ROI-SW/3c,ROI/1",15.49,3.875,0.2501
PO1,Castlepook Windfarm,wind,CHA_I_Z_110,"ROI-W/2,ROI-SW/3c,ROI/1",28.018,7.008,0.2501
CJ1,Pallas Generator Unit,wind,CLH_I_Z_110,"ROI-W/2,ROI/1",32.038,8.014,0.2501
CJ2,Clahane 2 Windfarm,wind,CLH_I_Z_110,"ROI-W/2,ROI/1",11.85,2.964,0.2501
CL1,Cloghboola Wind Farm,wind,CBL_I_Z_110,ROI-W/2,38.937,9.739,0.2501
DA1,Glanaruddery 1 Windfarm,wind,CBL_I_Z_110,ROI-W/2,16.929,4.235,0.2501
DA2,Glanaruddery 2 Windfarm,wind,CBL_I_Z_110,ROI-W/2,10.157,2.541,0.2501
KI1,Cloghanaleskirt Windfarm,wind,CBL_I_Z_110,ROI-W/2,9.734,2.435,0.2501
OA1,Croaghonagh Windfarm,wind,CLO_I_Z_110,ROI/1,76.181,19.055,0.2501
GAR,Garves Wind Farm,wind,CPS_N_Z_110,"NI/1,NI/4",12.697,3.176,0.2501
GRU,Gruig Wind Farm,wind,CPS_N_Z_110,"NI/1,NI/4",21.161,5.293,0.2501
DMR,Dunmore Wind Farm,wind,CPS_N_Z_110,"NI/1,NI/4",17.776,4.446,0.2501
DBG,Dunbeg Wind Farm,wind,CPS_N_Z_110,"NI/1,NI/4",35.551,8.892,0.2501
MBY,Monnaboy Wind Farm,wind,CPS_N_Z_110,"NI/1,NI/4",10.157,2.541,0.2501
CG1,Coomagearlahy Generator Unit,wind,CGL_I_Z_110,"ROI-W/2,ROI/1",35.974,8.998,0.2501
