Windfarm_Name,DSO_TSO,Connection_Ref,County,Present_Status,Installed_Capacity__MW_,MEC__MW_,Gate,F110kV_Node_Name,Target_Connection,Date_of_Connection,Year_of_Connection,Nat_Grid_E__substation_,Nat_Grid_N__substation_,Type
Bellacorrick Wind Farm,DSO,DG955,Mayo,Connected,,6.45,Pre-Gate,Bellacorick,01/10/1992,01/10/1992,1992,98670,321420,Wind
Corrie Mt.,DSO,DG961,Leitrim,Connected,,4.8,Pre-Gate,Arigna,,01/03/1997,1997,190043,320081,Wind
Mount Cronalaght,DSO,DG974,Donegal,Connected,,4.98,Pre-Gate,Letterkenny,01/07/1997,01/07/1997,1997,186118,423981,Wind
Golagh (1),TSO,P25,Donegal,Connected,15,15,Pre-Gate,Golagh 110 kV,,01/07/1997,1997,203554,382308,Wind
Drumlough Hill Wind Farm,DSO,DG920,Donegal,Connected,,4.8,Pre-Gate,Trillick,01/08/1997,01/08/1997,1997,235797,439828,Wind
Kilronan,DSO,DG970,Roscommon,Connected,,5,Pre-Gate,Arigna,,01/12/1997,1997,190440,314610,Wind
Cark,DSO,DG42a,Donegal,Connected,,15,Pre-Gate,Letterkenny,01/12/1997,01/12/1997,1997,206669,405473,Wind
Spion Kop Wind Farm,DSO,DG978,Leitrim,Connected,,1.2,Pre-Gate,Arigna,01/12/1997,01/12/1997,1997,191010,320616,Wind
Crockahenny,DSO,DG962,Donegal,Connected,,5,Pre-Gate,Trillick,01/04/1998,01/04/1998,1998,246523,433467,Wind
Knock South Wind Farm (Inverin),DSO,DG923,Galway,Connected,,2.64,Pre-Gate,Screeb,,01/01/1999,1999,108757,224721,Wind
Knock South Wind Farm (2),DSO,DG923x,Galway,Connected,,0.69,Pre-Gate,Screeb,,15/02/1999,1999,108700,224700,Wind
Currabwee Wind Farm,DSO,DG964,Cork,Connected,,4.62,Pre-Gate,Dunmanway,,01/11/1999,1999,122500,48200,Wind
Milane Hill Wind Farm,DSO,DG973,Cork,Connected,,5.94,Pre-Gate,Dunmanway,01/09/2000,01/09/2000,2000,116200,49200,Wind
Anarget Wind Farm (1),DSO,ZG937,Donegal,Connected,,1.98,Pre-Gate,Cathaleens Fall,01/09/2000,01/09/2000,2000,189209,389369,Wind
Beenageeha Wind Farm,DSO,DG954,Kerry,Connected,,3.96,Pre-Gate,Tralee,01/10/2000,01/10/2000,2000,93400,121300,Wind
Largan Hill,DSO,DG971,Roscommon,Connected,,5.94,Pre-Gate,Tonroe,01/11/2000,01/11/2000,2000,162790,300000,Wind
Tursillagh Wind Farm,DSO,DG941,Kerry,Connected,,15,Pre-Gate,Tralee,01/11/2000,01/11/2000,2000,91158,119149,Wind
Beale Hill (1),DSO,DG409,Kerry,Connected,,1.65,Pre-Gate,Trien,07/11/2000,07/11/2000,2000,89272,147090,Wind
Culliagh Wind Farm (Meenbog),DSO,DG963,Donegal,Connected,,11.88,Pre-Gate,Letterkenny,05/12/2000,05/12/2000,2000,207466,402601,Wind
CORNEEN Wind Farm,DSO,DG960,Cavan,Connected,,3,Pre-Gate,Gortawee,,01/08/2001,2001,223740,320550,Wind
Black Banks (1),DSO,DG921X,Leitrim,Connected,,3.4,Pre-Gate,Corderry,01/09/2001,01/09/2001,2001,187300,321700,Wind
Carnsore Wind Farm,DSO,DG919,Wexford,Connected,,11.9,Pre-Gate,Wexford,30/08/2002,30/08/2002,2002,312107,104166,Wind
Kingsmountain (1),TSO,P38A,Sligo,Connected,25,23.75,Pre-Gate,Cunghill 110 kV,,01/05/2003,2003,148479,328662,Wind
Meenadreen Wind Farm,DSO,DG924,Donegal,Connected,,3.4,Pre-Gate,Cathaleens Fall,,07/05/2003,2003,202569,379492,Wind
Burtonport Harbour Single Turbine,DSO,DG957,Donegal,Connected,,0.66,Pre-Gate,Binbane,,25/07/2003,2003,171864,414882,Wind
Beale Hill (2),DSO,DG925,Kerry,Connected,,2.55,Pre-Gate,Trien,01/08/2003,01/08/2003,2003,89284,147014,Wind
Arklow Bank Wind Farm (1),DSO,DG934,Offshore,Connected,,25.2,Pre-Gate,Arklow,01/11/2003,01/11/2003,2003,329000,172900,Wind
Raheen Barr Wind Farm,DSO,DG927,Mayo,Connected,,18.7,Pre-Gate,Castlebar,,01/11/2003,2003,112230,295880,Wind
Curraghgraigue Wind Farm,DSO,DG936,Tipperary,Connected,,2.55,Pre-Gate,NENAGH,01/01/2004,01/01/2004,2004,192954,171618,Wind
Meenanilta Wind Farm (1),DSO,DG928a,Donegal,Connected,,2.55,Pre-Gate,Letterkenny,,29/03/2004,2004,210971,400184,Wind
Cuillalea Wind Farm,DSO,DG931,Mayo,Connected,,3.4,Pre-Gate,Castlebar,01/04/2004,01/04/2004,2004,129450,289300,Wind
Mounvaun (Mienvee) Wind Farm,DSO,DG932,Tipperary,Connected,,0.66,Pre-Gate,Ardnacrusha,17/05/2004,17/05/2004,2004,190290,155350,Wind
Sonnagh Old Phase 1,DSO,DG933,Galway,Connected,,7.65,Pre-Gate,Somerset,,27/05/2004,2004,157350,209070,Wind
Meenanilta Wind Farm (2),DSO,DG928,Donegal,Connected,,2.45,Pre-Gate,Letterkenny,13/09/2004,13/09/2004,2004,211761,400238,Wind
Tursillagh (2) Wind Farm,DSO,DG941a,Kerry,Connected,,6.8,Pre-Gate,Tralee,,16/09/2004,2004,90523,119283,Wind
Meentycat (1),TSO,P38BDF,Donegal,Connected,72.4,70.96,Pre-Gate,Meentycat 110 kV,,01/10/2004,2004,208891,402425,Wind
Gartnaneane (1) Wind Farm,DSO,DG938,Cavan,Connected,,10.5,Pre-Gate,Meath Hill,13/11/2004,13/11/2004,2004,270500,299970,Wind
Gartnaneane II Wind Farm,DSO,DG905,Cavan,Connected,,4.5,Pre-Gate,Meath Hill,13/11/2004,13/11/2004,2004,267840,293775,Wind
Anarget Wind Farm (2),DSO,DG937,Donegal,Connected,,0.02,Pre-Gate,Cathaleens Fall,01/01/2004,01/12/2004,2004,189006,389331,Wind
Moanmore Wind Farm,DSO,DG940,Clare,Connected,,12.6,Pre-Gate,Tullabrack,21/12/2004,21/12/2004,2004,99380,158740,Wind
Coomatallin Wind Farm,DSO,DG939,Cork,Connected,,5.95,Pre-Gate,Dunmanway,01/01/2005,01/01/2005,2005,124435,45485,Wind
Mount Eagle Wind Farm,DSO,DG918,Kerry,Connected,,5.1,Pre-Gate,Tralee,01/03/2005,01/03/2005,2005,109688,110803,Wind
Greenoge Wind Farm,DSO,DG942,Carlow,Connected,,4.99,Pre-Gate,Crane,01/04/2005,01/04/2005,2005,286435,156958,Wind
Ballywater (1),TSO,TG13,Wexford,Connected,31.5,31.5,Pre-Gate,Ballywater 110 kV,,01/05/2005,2005,318720,144330,Wind
Cronelea Upper Wind Farm,DSO,DG944,Wicklow,Connected,,2.55,Pre-Gate,Carlow,01/07/2005,01/07/2005,2005,297400,170500,Wind
Booltiagh (1),TSO,TG07,Clare,Connected,19.5,19.45,Pre-Gate,Booltiagh 110 kV,,01/08/2005,2005,115969,170581,Wind
Black Banks (2),DSO,DG921,Leitrim,Connected,,6.8,Pre-Gate,Corderry,08/09/2005,08/09/2005,2005,187300,321700,Wind
Altagowlan Wind Farm,DSO,DG945,Roscommon,Connected,,7.65,Pre-Gate,Corderry,,23/09/2005,2005,190620,319290,Wind
Moneenatieve Wind Farm (1),DSO,DG946,Leitrim,Connected,,3.96,Pre-Gate,Corderry,23/09/2005,23/09/2005,2005,189679,321564,Wind
Derrybrien (1),TSO,P33,Galway,Connected,59.5,59.5,Pre-Gate,Derrybrien 110 kV,,01/10/2005,2005,159321,204930,Wind
Gneeves Wind Farm,DSO,DG947,Cork,Connected,,9.35,Pre-Gate,Knockearagh,,04/10/2005,2005,123120,85110,Wind
Dundalk IT Wind Turbine,DSO,DG86,Louth,Connected,,0.5,Non GPA,Dundalk,01/10/2006,01/01/2006,2006,305592,305006,Wind
