farm,county,node_110kv,dso_tso,mec_mw,status,year,lat,lon
Bellacorrick Wind Farm,Mayo,Bellacorick,DSO,6.45,Connected,1992,54.13188,-9.55089
Corrie Mt.,Leitrim,Arigna,DSO,4.8,Connected,1997,54.12974,-8.15305
Mount Cronalaght,Donegal,Letterkenny,DSO,4.98,Connected,1997,55.06299,-8.21801
Golagh (1),Donegal,Golagh 110 kV,TSO,15.0,Connected,1997,54.68884,-7.94564
Drumlough Hill Wind Farm,Donegal,Trillick,DSO,4.8,Connected,1997,55.20423,-7.43853
Kilronan,Roscommon,Arigna,DSO,5.0,Connected,1997,54.0806,-8.14681
Cark,Donegal,Letterkenny,DSO,15.0,Connected,1997,54.89689,-7.89681
Spion Kop Wind Farm,Leitrim,Arigna,DSO,1.2,Connected,1997,54.13457,-8.13828
Crockahenny,Donegal,Trillick,DSO,5.0,Connected,1998,55.14621,-7.27113
Knock South Wind Farm (Inverin),Galway,Screeb,DSO,2.64,Connected,1999,53.26524,-9.36817
Knock South Wind Farm (2),Galway,Screeb,DSO,0.69,Connected,1999,53.26504,-9.36902
Currabwee Wind Farm,Cork,Dunmanway,DSO,4.62,Connected,1999,51.68146,-9.12122
Milane Hill Wind Farm,Cork,Dunmanway,DSO,5.94,Connected,2000,51.68954,-9.21252
Anarget Wind Farm (1),Donegal,Cathaleens Fall,DSO,1.98,Connected,2000,54.75216,-8.16834
Beenageeha Wind Farm,Kerry,Tralee,DSO,3.96,Connected,2000,52.33341,-9.56454
Largan Hill,Roscommon,Tonroe,DSO,5.94,Connected,2000,53.94809,-8.56746
Tursillagh Wind Farm,Kerry,Tralee,DSO,15.0,Connected,2000,52.31364,-9.59672
Beale Hill (1),Kerry,Trien,DSO,1.65,Connected,2000,52.56425,-9.63362
Culliagh Wind Farm (Meenbog),Donegal,Letterkenny,DSO,11.88,Connected,2000,54.87108,-7.88446
CORNEEN Wind Farm,Cavan,Gortawee,DSO,3.0,Connected,2001,54.13351,-7.63757
Black Banks (1),Leitrim,Corderry,DSO,3.4,Connected,2001,54.14423,-8.19508
Carnsore Wind Farm,Wexford,Wexford,DSO,11.9,Connected,2002,52.1784,-6.36185
Kingsmountain (1),Sligo,Cunghill 110 kV,TSO,23.75,Connected,2003,54.20434,-8.79027
Meenadreen Wind Farm,Donegal,Cathaleens Fall,DSO,3.4,Connected,2003,54.66355,-7.96094
Burtonport Harbour Single Turbine,Donegal,Binbane,DSO,0.66,Connected,2003,54.98066,-8.44019
Beale Hill (2),Kerry,Trien,DSO,2.55,Connected,2003,52.56357,-9.63342
