time_utc,fleet_mw,capacity_factor
2026-09-05T00:00,1458.6,0.3389
2026-09-05T01:00,1329.1,0.3088
2026-09-05T02:00,1105.9,0.2569
2026-09-05T03:00,1130.7,0.2627
2026-09-05T04:00,894.5,0.2078
2026-09-05T05:00,664.2,0.1543
2026-09-05T06:00,493.8,0.1147
2026-09-05T07:00,344.6,0.0801
2026-09-05T08:00,267.3,0.0621
2026-09-05T09:00,218.3,0.0507
2026-09-05T10:00,255.5,0.0594
2026-09-05T11:00,374.7,0.0871
2026-09-05T12:00,658.0,0.1529
2026-09-05T13:00,1184.9,0.2753
2026-09-05T14:00,1598.3,0.3713
2026-09-05T15:00,1824.2,0.4238
2026-09-05T16:00,2008.4,0.4666
2026-09-05T17:00,2123.0,0.4932
2026-09-05T18:00,2219.7,0.5157
2026-09-05T19:00,2275.1,0.5286
2026-09-05T20:00,2456.9,0.5708
2026-09-05T21:00,2536.3,0.5893
2026-09-05T22:00,2655.5,0.617
2026-09-05T23:00,2765.8,0.6426
2026-09-06T00:00,2991.9,0.6951
2026-09-06T01:00,3200.0,0.7435
2026-09-06T02:00,3550.9,0.825
2026-09-06T03:00,3842.8,0.8928
2026-09-06T04:00,3788.3,0.8801
2026-09-06T05:00,3825.4,0.8888
2026-09-06T06:00,4023.4,0.9348
2026-09-06T07:00,4120.1,0.9572
2026-09-06T08:00,4201.1,0.976
2026-09-06T09:00,4226.9,0.982
2026-09-06T10:00,4268.1,0.9916
2026-09-06T11:00,4213.3,0.9789
2026-09-06T12:00,4208.1,0.9777
2026-09-06T13:00,3963.2,0.9208
2026-09-06T14:00,3919.4,0.9106
2026-09-06T15:00,3641.4,0.846
2026-09-06T16:00,3449.3,0.8014
2026-09-06T17:00,2855.5,0.6634
2026-09-06T18:00,2292.6,0.5326
2026-09-06T19:00,1902.8,0.4421
2026-09-06T20:00,1695.5,0.3939
2026-09-06T21:00,1526.6,0.3547
2026-09-06T22:00,1474.8,0.3426
2026-09-06T23:00,1655.9,0.3847
2026-09-07T00:00,1619.3,0.3762
2026-09-07T01:00,1735.1,0.4031
2026-09-07T02:00,1826.7,0.4244
2026-09-07T03:00,1626.7,0.3779
2026-09-07T04:00,1656.7,0.3849
2026-09-07T05:00,1647.9,0.3829
2026-09-07T06:00,1833.9,0.4261
2026-09-07T07:00,2113.9,0.4911
2026-09-07T08:00,2337.8,0.5431
2026-09-07T09:00,2698.8,0.627
2026-09-07T10:00,3200.9,0.7437
2026-09-07T11:00,3183.6,0.7396
2026-09-07T12:00,3172.0,0.7369
2026-09-07T13:00,2796.0,0.6496
2026-09-07T14:00,2444.3,0.5679
2026-09-07T15:00,2763.8,0.6421
2026-09-07T16:00,2601.0,0.6043
2026-09-07T17:00,2271.6,0.5278
2026-09-07T18:00,2862.6,0.6651
2026-09-07T19:00,2732.9,0.6349
2026-09-07T20:00,2391.2,0.5556
2026-09-07T21:00,2219.7,0.5157
2026-09-07T22:00,2001.2,0.4649
2026-09-07T23:00,2112.0,0.4907
2026-09-08T00:00,2215.7,0.5148
2026-09-08T01:00,2340.9,0.5439
2026-09-08T02:00,2384.7,0.554
2026-09-08T03:00,2445.7,0.5682
2026-09-08T04:00,2439.0,0.5667
2026-09-08T05:00,2482.0,0.5766
2026-09-08T06:00,2500.3,0.5809
2026-09-08T07:00,2391.3,0.5556
2026-09-08T08:00,2403.5,0.5584
2026-09-08T09:00,2437.0,0.5662
2026-09-08T10:00,2772.2,0.6441
2026-09-08T11:00,3009.9,0.6993
2026-09-08T12:00,3261.1,0.7576
2026-09-08T13:00,3609.6,0.8386
2026-09-08T14:00,3591.5,0.8344
2026-09-08T15:00,3679.4,0.8548
2026-09-08T16:00,3530.6,0.8203
2026-09-08T17:00,3144.9,0.7307
2026-09-08T18:00,2467.1,0.5732
2026-09-08T19:00,2122.5,0.4931
2026-09-08T20:00,1953.5,0.4539
2026-09-08T21:00,1806.4,0.4197
2026-09-08T22:00,1579.2,0.3669
2026-09-08T23:00,1384.6,0.3217
2026-09-09T00:00,1210.1,0.2811
2026-09-09T01:00,1070.1,0.2486
2026-09-09T02:00,1002.6,0.2329
2026-09-09T03:00,924.8,0.2148
2026-09-09T04:00,831.0,0.1931
2026-09-09T05:00,727.1,0.1689
2026-09-09T06:00,559.2,0.1299
2026-09-09T07:00,363.0,0.0843
2026-09-09T08:00,197.9,0.046
2026-09-09T09:00,115.9,0.0269
2026-09-09T10:00,97.7,0.0227
2026-09-09T11:00,149.0,0.0346
2026-09-09T12:00,251.5,0.0584
2026-09-09T13:00,379.0,0.0881
2026-09-09T14:00,539.6,0.1254
2026-09-09T15:00,663.4,0.1541
2026-09-09T16:00,649.0,0.1508
2026-09-09T17:00,589.7,0.137
2026-09-09T18:00,606.5,0.1409
