method,group_id,n_true_members,best_f1
1 threshold >= 0.30 (overlapping),ROI-W/2,95,0.1622
1 threshold >= 0.30 (overlapping),ROI-NW/4,21,0.4444
1 threshold >= 0.30 (overlapping),ROI-W/6,9,0.8
1 threshold >= 0.30 (overlapping),ROI-NW/3,18,0.5
1 threshold >= 0.30 (overlapping),ROI-W/8,8,0.8571
1 threshold >= 0.30 (overlapping),ROI-W/1,44,0.3019
1 threshold >= 0.30 (overlapping),ROI-NW/2,2,1.0
1 threshold >= 0.30 (overlapping),ROI-SW/3b,3,1.0
1 threshold >= 0.30 (overlapping),ROI-SW/3c,5,0.75
1 threshold >= 0.30 (overlapping),ROI-SW/3a,3,1.0
1 threshold >= 0.30 (overlapping),NI/4,4,0.6667
1 threshold >= 0.30 (overlapping),NI/1,4,0.6667
1 threshold >= 0.30 (overlapping),ROI-NE/1,5,0.8889
1 threshold >= 0.30 (overlapping),ROI-W/5,3,1.0
1 threshold >= 0.30 (overlapping),NI/5,2,1.0
1 threshold >= 0.30 (overlapping),ROI-SW/2,2,1.0
1 threshold >= 0.30 (overlapping),ROI-W/4,6,0.9231
1 threshold >= 0.30 (overlapping),ROI-W/3,4,0.6667
1 threshold >= 0.30 (overlapping),ROI-W/7,2,0.6667
1 threshold >= 0.30 (overlapping),ROI-NW/1,2,1.0
2 fuzzy c-means 1.0/k (overlapping),ROI-W/2,95,0.766
2 fuzzy c-means 1.0/k (overlapping),ROI-NW/4,21,0.4557
2 fuzzy c-means 1.0/k (overlapping),ROI-W/6,9,0.2388
2 fuzzy c-means 1.0/k (overlapping),ROI-NW/3,18,0.4211
2 fuzzy c-means 1.0/k (overlapping),ROI-W/8,8,0.2424
2 fuzzy c-means 1.0/k (overlapping),ROI-W/1,44,0.5366
2 fuzzy c-means 1.0/k (overlapping),ROI-NW/2,2,0.0667
2 fuzzy c-means 1.0/k (overlapping),ROI-SW/3b,3,0.1
2 fuzzy c-means 1.0/k (overlapping),ROI-SW/3c,5,0.1515
2 fuzzy c-means 1.0/k (overlapping),ROI-SW/3a,3,0.1
2 fuzzy c-means 1.0/k (overlapping),NI/4,4,0.125
2 fuzzy c-means 1.0/k (overlapping),NI/1,4,0.125
2 fuzzy c-means 1.0/k (overlapping),ROI-NE/1,5,0.1587
2 fuzzy c-means 1.0/k (overlapping),ROI-W/5,3,0.1
2 fuzzy c-means 1.0/k (overlapping),NI/5,2,0.0667
2 fuzzy c-means 1.0/k (overlapping),ROI-SW/2,2,0.0678
2 fuzzy c-means 1.0/k (overlapping),ROI-W/4,6,0.1905
2 fuzzy c-means 1.0/k (overlapping),ROI-W/3,4,0.1311
2 fuzzy c-means 1.0/k (overlapping),ROI-W/7,2,0.0667
2 fuzzy c-means 1.0/k (overlapping),ROI-NW/1,2,0.1176
3 spectral (disjoint),ROI-W/2,95,0.1553
3 spectral (disjoint),ROI-NW/4,21,0.4444
3 spectral (disjoint),ROI-W/6,9,0.8
3 spectral (disjoint),ROI-NW/3,18,0.5
3 spectral (disjoint),ROI-W/8,8,0.8571
3 spectral (disjoint),ROI-W/1,44,0.2745
3 spectral (disjoint),ROI-NW/2,2,0.3636
3 spectral (disjoint),ROI-SW/3b,3,0.8571
3 spectral (disjoint),ROI-SW/3c,5,0.6667
3 spectral (disjoint),ROI-SW/3a,3,0.8571
3 spectral (disjoint),NI/4,4,0.4444
3 spectral (disjoint),NI/1,4,0.4444
3 spectral (disjoint),ROI-NE/1,5,0.7143
3 spectral (disjoint),ROI-W/5,3,0.75
3 spectral (disjoint),NI/5,2,0.5714
3 spectral (disjoint),ROI-SW/2,2,0.4444
3 spectral (disjoint),ROI-W/4,6,0.9231
3 spectral (disjoint),ROI-W/3,4,0.8889
3 spectral (disjoint),ROI-W/7,2,0.4
3 spectral (disjoint),ROI-NW/1,2,0.8
