farm,node,kv,ref,batch,mec_mw,signed,constraint_groups_at_node,n_groups_at_node,connected_mw_at_node
Drumnahough Wind Farm,Lenalea,110,TG511,ECP-2.3,72.0,Jun 2024,ROI-NW/1;ROI-NW/3;ROI-NW/4;ROI-NW/5;ROI-NW/6;ROI-W/2,6,0.0
Carrigdangan Wind Farm - Phase 2,Dunmanway,110,TG044,ECP-1,13.7,Jan 2020,ROI-SE/2;ROI-SW/1;ROI-SW/5;ROI-SW/8;ROI-W/2,5,104.4
Carrownagowan Wind Farm,Ardnacrusha,110,TG545,ECP-2.3,91.2,Feb 2024,ROI-SW/1;ROI-W/1;ROI-W/2,3,8.3
Moanvane Wind Farm,Mount Lucas,110,TG428,ECP-2.1,56.4,Aug 2021,ROI-SE/3,1,0.0
Oriel Wind Farm (Split),Oriel,220,TG86,Gate 3,210.0,Mar 2015,,0,0.0
Castlebanny Wind Farm,Kilvinoge,110,TG541,ECP-2.3,138.6,Jun 2024,,0,0.0
Ballinagree Wind Farm,Clashavoon,110,TG671,ECP-2.5,112.0,Sep 2025,,0,0.0
Yellow River Wind Farm,Derryiron,110,TG406,ECP-2.1,101.0,Jan 2022,,0,0.0
Coole Wind Farm,Mullingar,110,TG431,ECP-2.1,88.0,Oct 2021,,0,0.0
Barnesmore WF - Repowering,Golagh,110,TG452,ECP-2.2,63.0,Dec 2023,,0,15.0
Drehid Wind Farm,Mulgeeth,110,TG429,ECP-2.1,60.0,Oct 2021,,0,0.0
Dernacart Windfarm,Bracklone,110,TG615,ECP-2.4,57.6,Oct 2024,,0,0.0
Aught Wind Farm,U/A,110,TG463,ECP-2.4,57.4,Jun 2025,,0,0.0
White Hill Wind Farm,Kellymount,110,TG589,ECP-2.4,50.4,Nov 2024,,0,0.0
Cushaling Wind Farm,Philipstown,110,TG427,ECP-2.1,50.0,Oct 2021,,0,0.0
Oweninny 3 (Formerly Oweninny 5),Bellacorick,110,TG71,Gate 3,50.0,May 2019,,0,9.0
Shrownowen Windfarm,Pollagh,110,TG534,ECP-2.3,50.0,Apr 2024,,0,0.0
Pinewoods Wind Farm,Garrintaggart,110,TG430,ECP-2.1,49.5,Sep 2021,,0,0.0
Firlough Wind Farm,Firlough,110,TG371,ECP-1,48.3,Aug 2020,,0,0.0
Knockranny Wind Farm,Knockranny,110,TG401,ECP-2.1,47.3,Jan 2022,,0,33.6
Mully Graffy Wind Farm (Formerly Kilgorman),Tievebrack,110,TG369,ECP-1,29.9,May 2020,,0,0.0
Firlough Wind Farm Extension,Firlough,110,TG422,ECP-2.1,27.3,Feb 2022,,0,0.0
Ardderroo Wind Farm Extension,Knockranny,110,TG443,ECP-2.1,18.0,Feb 2022,,0,33.6
Coole Wind Farm Extension,Mullingar,110,TG465,ECP-2.2,9.5,Mar 2023,,0,0.0
