farm,county,mec_mw,model_bus,prorata_groups,available_mwh,curtailed_mwh,curtailed_pct
Seecon (1),Galway,105.0,UGL_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/3;ROI/1,197765.0,30127.9,15.23
Knockacummer (1) (Temp)(Glentanemacelligot1),Cork,100.0,,,188213.7,28503.2,15.14
Oweninny Power (1),Mayo,89.0,SKY_I_Z_110,ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/7;ROI-W/8;ROI/1,170025.8,26293.7,15.46
Grousemount WF,Kerry,114.2,CTG_I_Z_110,ROI-W/2;ROI/1,169871.3,26093.4,15.36
Mulreavy (Mulreavy (1)),Donegal,89.85,,,152816.9,23817.8,15.59
Mountlucas (1),Offaly,79.2,MLC_I_Z_110,ROI/1,143996.0,22367.4,15.53
Meentycat (1),Donegal,70.96,MEE_I_Z_110,ROI-NW/2;ROI-NW/3;ROI-NW/4;ROI-W/2;ROI/1,132595.2,20523.5,15.48
Ugool (1),Galway,64.0,UGL_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/3;ROI/1,120542.5,18363.7,15.23
Sliabh Bawn (1),Roscommon,58.0,SLB_I_Z_110,ROI-NW/4;ROI-W/1;ROI-W/2;ROI/1,114044.2,17493.2,15.34
Boggeragh (2),Cork,65.7,BGH_I_Z_110,ROI-W/2;ROI/1,107807.5,16375.2,15.19
Bindoo (1a),Cavan,48.0,RRU_I_Z_110,ROI-NE/1;ROI/1,105142.4,15544.4,14.78
Derrybrien (1),Galway,59.5,DYN_I_Z_110,ROI-W/1;ROI-W/2;ROI/1,96169.9,15028.4,15.63
Boolinrudda (formerly Boolynagleragh & Glenmore),Clare,44.52,SLC_I_Z_110,ROI-W/1;ROI-W/2;ROI/1,95157.8,14394.0,15.13
Cordal (2),Kerry,54.0,CDL_I_Z_110,ROI-W/2;ROI/1,93518.3,14257.4,15.25
Carrigdangan (formerly Barnadivane),Cork,54.3,CDN_I_Z_110,ROI-W/2;ROI/1,96632.4,14251.7,14.75
Boggeragh (1),Cork,57.0,BGH_I_Z_110,ROI-W/2;ROI/1,93531.7,14206.8,15.19
Cappawhite A Wind Farm (Gate 3),Tipperary,49.08,CTN_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/4;ROI/1,88183.6,13819.5,15.67
Leitir Guingaid Wind Farm,Galway,40.9,SAL_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/3;ROI/1,89719.9,13386.1,14.92
Magheramore and Cloontooa Wind Farm,Mayo,40.8,,,84697.2,12644.9,14.93
Cloghboola (1),Kerry,46.0,CBL_I_Z_110,ROI-W/2,79796.1,12049.6,15.1
Kelwin Power,Kerry,37.05,KPG_I_Z_110,ROI-W/2;ROI/1,78465.0,11809.0,15.05
Knocknagoum (1),Kerry,42.55,REM_I_Z_110,ROI-W/2,73811.4,11145.9,15.1
Bruckana,Tipperary,39.6,LSN_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/5;ROI/1,71660.3,11002.3,15.35
Cleanrath Wind Farm,Cork,42.64,CTG_I_Z_110,ROI-W/2;ROI/1,70322.6,10608.4,15.09
Pallas Wind Farm,Kerry,37.8,CLH_I_Z_110,ROI-W/2;ROI/1,69758.7,10607.4,15.21
Boolynagleragh (1),Clare,36.98,BOL_I_Z_110,ROI-W/1;ROI-W/2;ROI/1,66880.0,10572.5,15.81
Coomacheo (1),Cork,41.22,GRO_I_Z_110,ROI-W/2;ROI/1,67840.7,10512.3,15.5
Garracummer Wind Farm,Tipperary,36.9,CTN_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/4;ROI/1,66299.4,10390.0,15.67
Kill Hill (1) - phase 1,Tipperary,36.0,KHL_I_Z_110,ROI-W/1;ROI-W/2;ROI/1,65169.9,10051.7,15.42
Ballywater (1),Wexford,31.5,BWR_I_Z_110,ROI/1,68812.2,9938.9,14.44
Knockalough (1),Galway,33.6,KLH_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/3;ROI/1,65120.7,9929.0,15.25
Carrowleagh Wind Farm (1),Mayo,34.15,GLR_I_Z_110,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/8;ROI/1,66490.2,9873.4,14.85
Athea (1a),Limerick,34.35,ATE_I_Z_110,ROI-W/2;ROI/1,65269.5,9814.5,15.04
Raheenleagh (1),Wicklow,35.2,ARK_I_Z_110,ROI/1,63840.1,9704.9,15.2
Lisheen (1),Tipperary,36.0,LSN_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/5;ROI/1,63145.6,9602.8,15.21
Cordal (1),Kerry,35.85,CDL_I_Z_110,ROI-W/2;ROI/1,62085.8,9465.3,15.25
Glenough Wind Farm,Tipperary,33.0,CTN_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/4;ROI/1,60360.0,9364.9,15.51
Scartaglen Wind Farm,Kerry,35.45,CDL_I_Z_110,ROI-W/2;ROI/1,61393.0,9359.7,15.25
Glencarbry Wind Farm,Tipperary,33.0,CTN_I_Z_110,ROI-W/1;ROI-W/2;ROI-W/4;ROI/1,58671.3,9290.4,15.83
Monaincha Bog Wind Farm (Gate 3),Tipperary,32.55,IKE_I_T_110,ROI-W/1;ROI-W/2;ROI/1,59539.7,9195.0,15.44
Coomagearlahy (1),Kerry,42.5,CGL_I_Z_110,ROI-W/2;ROI/1,57354.2,8881.8,15.49
Sorne Hill Wind Farm,Donegal,31.5,LET_I_Z_110,ROI/1,55894.0,8399.3,15.03
Castlepook (1),Cork,33.1,CHA_I_Z_110,ROI-SW/3c;ROI-W/2;ROI/1,55692.6,8382.8,15.05
Dromada (1),Limerick,28.5,DRO_I_Z_110,ROI-W/2;ROI/1,53158.4,8106.9,15.25
Derrysallagh Wind Farm (Formerly Kilronan 2),Roscommon,34.0,GRV_I_Z_110,NI/1;NI/4;NI/5;ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI/1,51615.8,8087.4,15.67
Mountain Lodge (2),Cavan,24.8,RRU_I_Z_110,ROI-NE/1;ROI/1,54323.6,8031.3,14.78
Bunnyconnellan Wind Farm,Mayo,28.0,GLR_I_Z_110,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/8;ROI/1,49935.6,7595.9,15.21
Barranafaddock Wind Farm,Waterford,32.4,BAR_I_T_110,ROI-W/2;ROI/1,48226.5,7558.1,15.67
Taurbeg Wind Farm,Cork,26.0,GLE_I_Z_110,ROI-SW/3a;ROI-SW/3b;ROI-SW/3c;ROI-W/2;ROI/1,48935.6,7410.8,15.14
