group_id,n_farms,available_mwh,curtailed_mwh,curtailed_pct
ROI/1,120,5519461.9,841111.1,15.24
ROI-W/2,95,4635589.9,709148.0,15.3
ROI-W/1,44,2298968.0,353480.3,15.38
ROI-NW/4,21,933983.2,143725.6,15.39
ROI-NW/3,18,616228.1,94637.2,15.36
ROI-W/3,4,473148.1,71806.7,15.18
ROI-W/6,9,455077.7,69370.1,15.24
ROI-W/8,8,421392.6,64068.6,15.2
ROI-W/4,6,280589.9,43970.8,15.67
ROI-NE/1,5,226976.1,33556.5,14.78
ROI-W/7,2,206409.5,31802.4,15.41
ROI-SW/3c,5,183861.6,27850.5,15.15
ROI-W/5,3,175148.9,26740.2,15.27
ROI-NW/2,2,158755.5,24572.7,15.48
NI/1,4,97452.3,15297.5,15.7
NI/4,4,97452.3,15297.5,15.7
ROI-SW/3a,3,99130.9,15004.7,15.14
ROI-SW/3b,3,99130.9,15004.7,15.14
NI/5,2,90179.5,14181.8,15.73
ROI-SW/2,2,49707.6,7722.5,15.54
ROI-NW/1,2,35691.1,5392.2,15.11
