feature,group_id,n_farms,observed,excess,p
A base case,NI/1,4,0.3082,0.3113,0.008
A base case,NI/4,4,0.3082,0.307,0.01
A base case,ROI-NE/1,5,0.8637,0.8568,0.0
A base case,ROI-NW/3,18,0.2031,0.1979,0.0
A base case,ROI-NW/4,21,0.1489,0.1439,0.0
A base case,ROI-SW/3c,5,0.3389,0.3362,0.0
A base case,ROI-W/1,44,0.0318,0.0272,0.006
A base case,ROI-W/2,95,0.003,-0.0013,0.6347
A base case,ROI-W/3,4,0.6065,0.603,0.0
A base case,ROI-W/4,6,1.0,0.9935,0.0
A base case,ROI-W/6,9,0.3592,0.3538,0.0
A base case,ROI-W/8,8,0.4876,0.4821,0.0
B worst case over N-1,NI/1,4,0.9993,0.1661,0.0299
B worst case over N-1,NI/4,4,0.9993,0.1761,0.0299
B worst case over N-1,ROI-NE/1,5,0.9999,0.1319,0.0
B worst case over N-1,ROI-NW/3,18,0.7926,-0.0386,0.5988
B worst case over N-1,ROI-NW/4,21,0.6674,-0.1651,0.8463
B worst case over N-1,ROI-SW/3c,5,-0.0849,-0.91,0.976
B worst case over N-1,ROI-W/1,44,0.8357,0.0021,0.4631
B worst case over N-1,ROI-W/2,95,0.8152,-0.019,0.7166
B worst case over N-1,ROI-W/3,4,0.9995,0.1768,0.002
B worst case over N-1,ROI-W/4,6,1.0,0.166,0.0
B worst case over N-1,ROI-W/6,9,0.2935,-0.5563,0.98
B worst case over N-1,ROI-W/8,8,0.2235,-0.6175,0.976
C base + top 20 contingencies,NI/1,4,0.3145,0.3024,0.014
C base + top 20 contingencies,NI/4,4,0.3145,0.3037,0.004
C base + top 20 contingencies,ROI-NE/1,5,0.8684,0.859,0.0
C base + top 20 contingencies,ROI-NW/3,18,0.2122,0.2012,0.0
C base + top 20 contingencies,ROI-NW/4,21,0.1588,0.1467,0.0
C base + top 20 contingencies,ROI-SW/3c,5,0.3464,0.3358,0.0
C base + top 20 contingencies,ROI-W/1,44,0.0444,0.033,0.0
C base + top 20 contingencies,ROI-W/2,95,0.0077,-0.0037,0.8383
C base + top 20 contingencies,ROI-W/3,4,0.6146,0.6014,0.0
C base + top 20 contingencies,ROI-W/4,6,1.0,0.9904,0.0
C base + top 20 contingencies,ROI-W/6,9,0.364,0.3533,0.0
C base + top 20 contingencies,ROI-W/8,8,0.4916,0.4759,0.0
