bus,n_farms,capacity_mw,mean_mw,peak_mw,capacity_factor,prorata_groups
ARK_I_Z_110,3,78.4,15.29,78.4,0.1951,ROI/1
ATE_I_Z_110,2,57.5,15.11,57.5,0.2628,ROI-W/2;ROI/1
BAR_I_T_110,1,32.4,5.86,32.4,0.1809,ROI-W/2;ROI/1
BGH_I_Z_110,6,166.05,35.84,166.6,0.2158,ROI-W/2;ROI/1
BIN_I_Z_110,2,20.0,3.86,20.0,0.193,ROI-NW/1;ROI-NW/3;ROI-NW/4;ROI-W/2;ROI/1
BOL_I_Z_110,4,81.83,22.02,81.83,0.2692,ROI-W/1;ROI-W/2;ROI/1
BWR_I_Z_110,2,42.0,9.46,42.0,0.2252,ROI/1
CBL_I_Z_110,4,90.55,20.58,90.55,0.2273,ROI-W/2
CBR_I_Z_110,1,18.7,3.6,18.7,0.1927,ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI/1
CDL_I_Z_110,5,147.6,34.98,147.6,0.237,ROI-W/2;ROI/1
CDN_I_Z_110,1,54.3,11.62,54.3,0.2139,ROI-W/2;ROI/1
CDY_I_Z_110,4,32.8,4.94,32.8,0.1507,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI/1
CF_I_Z_110,1,17.5,3.61,17.5,0.2064,ROI-NW/3;ROI-NW/4;ROI-W/2;ROI/1
CGL_I_Z_110,3,81.0,12.78,81.0,0.1578,ROI-W/2;ROI/1
CHA_I_Z_110,2,51.4,11.39,51.4,0.2217,ROI-SW/3c;ROI-W/2;ROI/1
CLH_I_Z_110,2,51.6,12.76,51.6,0.2472,ROI-W/2;ROI/1
CLW_I_Z_110,1,21.0,4.57,21.0,0.2175,ROI/1
CPS_N_Z_110,2,3.5,0.77,3.5,0.2198,NI/1;NI/4
CTG_I_Z_110,2,156.84,27.49,156.84,0.1753,ROI-W/2;ROI/1
CTN_I_Z_110,6,155.9,35.55,155.9,0.228,ROI-W/1;ROI-W/2;ROI-W/4;ROI/1
CUN_I_Z_110,2,34.8,7.81,34.8,0.2243,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/8;ROI/1
DDK_I_Z_110,1,16.1,4.07,16.1,0.253,ROI/1
DMY_I_Z_110,2,24.8,4.85,24.8,0.1958,ROI-W/2;ROI/1
DRO_I_Z_110,1,28.5,7.65,28.5,0.2684,ROI-W/2;ROI/1
DYN_I_Z_110,1,59.5,11.03,59.5,0.1855,ROI-W/1;ROI-W/2;ROI/1
GAE_I_Z_110,1,29.8,5.67,29.8,0.1903,ROI-W/2;ROI/1
GLE_I_Z_110,3,53.0,14.13,53.0,0.2667,ROI-SW/3a;ROI-SW/3b;ROI-SW/3c;ROI-W/2;ROI/1
GLR_I_Z_110,4,77.3,15.41,77.3,0.1993,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/8;ROI/1
GRO_I_Z_110,2,59.23,13.14,59.23,0.2219,ROI-W/2;ROI/1
GRV_I_Z_110,2,60.0,9.62,60.0,0.1604,NI/1;NI/4;NI/5;ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI/1
IKE_I_T_110,2,35.95,8.4,35.95,0.2337,ROI-W/1;ROI-W/2;ROI/1
KHL_I_Z_110,1,36.0,8.18,36.0,0.2273,ROI-W/1;ROI-W/2;ROI/1
KLH_I_Z_110,1,33.6,7.16,33.6,0.2131,ROI-W/1;ROI-W/2;ROI-W/3;ROI/1
KNY_I_Z_110,1,0.69,0.18,0.69,0.2557,ROI/1
KPG_I_Z_110,1,37.05,11.13,37.05,0.3004,ROI-W/2;ROI/1
LET_I_Z_110,4,67.9,14.48,67.9,0.2133,ROI/1
LSN_I_Z_110,3,98.6,21.29,98.6,0.2159,ROI-W/1;ROI-W/2;ROI-W/5;ROI/1
LWD_I_Z_110,7,80.41,15.92,80.41,0.198,ROI/1
MEE_I_Z_110,2,84.96,18.15,84.96,0.2137,ROI-NW/2;ROI-NW/3;ROI-NW/4;ROI-W/2;ROI/1
MLC_I_Z_110,1,79.2,15.88,79.2,0.2005,ROI/1
MP_I_Z_110,1,17.25,4.91,17.25,0.2847,ROI-W/1;ROI-W/2;ROI/1
MTH_I_Z_110,3,26.5,6.03,26.5,0.2275,ROI/1
RAT_I_Z_110,2,27.5,7.18,27.5,0.2609,ROI-SW/2;ROI-W/1;ROI-W/2;ROI/1
REM_I_Z_110,3,59.65,13.23,59.65,0.2218,ROI-W/2
RRU_I_Z_110,4,81.62,19.42,81.62,0.2379,ROI-NE/1;ROI/1
SAL_I_Z_110,1,40.9,10.63,40.9,0.26,ROI-W/1;ROI-W/2;ROI-W/3;ROI/1
SKL_I_Z_110,1,22.0,5.23,22.0,0.2379,ROI-NE/1;ROI/1
SKY_I_Z_110,1,89.0,19.52,89.0,0.2194,ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/7;ROI-W/8;ROI/1
SLB_I_Z_110,1,58.0,13.12,58.0,0.2262,ROI-NW/4;ROI-W/1;ROI-W/2;ROI/1
SLC_I_Z_110,2,71.39,18.64,71.39,0.2611,ROI-W/1;ROI-W/2;ROI/1
TAW_I_Z_110,1,19.2,3.82,19.2,0.1991,ROI-NW/3;ROI-NW/4;ROI-W/1;ROI-W/2;ROI-W/6;ROI-W/7;ROI-W/8;ROI/1
TBK_I_T_110,2,26.4,7.86,26.4,0.2979,ROI-W/1;ROI-W/2;ROI/1
TIV_I_Z_110,1,17.96,4.95,17.96,0.2755,ROI/1
TRI_I_Z_110,3,47.2,12.74,47.2,0.2698,ROI-W/2;ROI/1
TRL_I_Z_110,2,21.8,4.04,21.8,0.1855,ROI-W/2;ROI/1
UGL_I_Z_110,2,169.0,33.13,169.0,0.196,ROI-W/1;ROI-W/2;ROI-W/3;ROI/1
WEX_I_Z_110,2,27.0,6.4,27.0,0.2369,ROI/1
WHO_I_Z_110,1,20.0,3.72,20.0,0.1858,ROI/1
