county,area_km2,dist_km,dist_km_per_1000km2,minor_line_km,cable_km,frac_km_with_voltage,n_poles,poles_per_km2,n_transformers,n_substations
County Monaghan,1294.2,1876.1,1449.6,1873.3,2.9,0.918,26029,20.11,71,14
County Sligo,1835.6,2316.3,1261.9,2303.1,13.2,0.34,26778,14.59,89,18
County Dublin,928.0,1045.7,1126.8,946.2,99.5,0.892,15589,16.8,1897,242
County Mayo,5594.2,4406.8,787.7,4394.7,12.0,0.278,54250,9.7,124,30
County Roscommon,2547.2,1924.4,755.5,1920.3,3.9,0.32,20943,8.22,47,12
County Leitrim,1587.9,1194.9,752.5,1194.4,0.6,0.274,14244,8.97,12,8
County Kilkenny,2071.0,1395.9,674.0,1385.2,10.5,0.469,20267,9.79,102,26
County Cavan,1931.1,1192.5,617.5,1185.1,7.3,0.409,14587,7.55,38,16
County Donegal,4856.9,2995.0,616.6,2974.3,20.7,0.488,38380,7.9,97,48
County Louth,826.3,490.4,593.5,482.3,8.1,0.831,6995,8.47,122,19
County Limerick,2754.6,1515.7,550.2,1405.4,110.3,0.963,18237,6.62,201,69
County Meath,2342.1,1280.9,546.9,1249.2,31.7,0.637,17928,7.65,233,33
County Cork,7501.9,3709.6,494.5,3445.8,260.4,0.752,46189,6.16,582,157
County Kildare,1694.0,819.6,483.8,797.2,22.4,0.444,10412,6.15,159,33
County Galway,6166.2,2646.6,429.2,2614.1,32.3,0.451,33894,5.5,416,39
County Tipperary,4303.7,1662.4,386.3,1599.4,62.8,0.563,20754,4.82,93,27
County Laois,1718.8,649.7,378.0,637.5,12.2,0.508,8324,4.84,34,8
County Wexford,2376.1,867.9,365.3,856.0,11.9,0.68,11715,4.93,81,38
County Offaly,2000.3,693.9,346.9,677.6,16.3,0.45,9668,4.83,60,21
County Carlow,896.3,310.9,346.8,303.4,7.2,0.542,3594,4.01,44,7
County Wicklow,2023.6,668.9,330.6,642.3,26.7,0.859,7486,3.7,95,24
County Waterford,1861.0,611.1,328.4,592.7,18.4,0.931,7439,4.0,49,21
County Clare,3448.6,985.5,285.8,946.5,39.0,0.744,12842,3.72,88,25
County Longford,1091.2,287.8,263.7,283.1,4.7,0.472,3165,2.9,22,8
County Kerry,4806.7,1189.4,247.5,1106.6,82.5,0.886,15176,3.16,177,31
County Westmeath,1838.2,386.7,210.4,377.3,9.4,0.367,5846,3.18,49,13
