osm,name,names,keys,power,operator,voltage_kv,max_kv,lat,lon
way/1304154160,024001,024001,024001,substation,ESB Networks,10;0.4;0.23,10.0,52.2296767,-8.6700724
way/1197528275,025752Y,025752Y,025752Y,substation,ESB Networks,10,10.0,52.3536022,-8.6789625
way/1029072347,068010,068010,068010,substation,ESB Networks,10,10.0,53.3473683,-6.2321237
way/31330615,110kV Kilbarry Electrical Substation,110kV Kilbarry Electrical Substation,KILBARRY,substation,EirGrid,110;38;10,110.0,51.9224604,-8.4769397
way/477221992,33kV Substation,33kV Substation,,substation,NIE Networks,33,33.0,54.6115949,-5.8843964
way/697853336,33kV Substation,33kV Substation,,substation,NIE Networks,33,33.0,55.0697482,-6.9421869
way/697859652,33kV Substation,33kV Substation,,substation,NIE Networks,33,33.0,55.0742605,-6.9438471
way/706481334,33kV Substation,33kV Substation,,substation,NIE Networks,33,33.0,54.6813104,-6.2444993
way/745500456,33kV Substation,33kV Substation,,substation,NIE Networks,33,33.0,55.0044286,-6.4444647
way/1001929567,33kV Substation,33kV Substation,,substation,NIE Networks,33,33.0,54.9826464,-6.4279392
way/605964396,38kV Substation,38kV Substation,,substation,ESB Networks,38;10,38.0,53.3135605,-6.4496452
way/1235964257,AEROBORD FCTY 10 KVSUB,AEROBORD FCTY 10 KVSUB,AEROBORD FCTY 10 KVSUB,substation,ESB Networks,10;0.4;0.23,10.0,52.5954601,-8.9773649
way/210976327,Abbeyfeale 38 kV Substation,Abbeyfeale 38 kV Substation,ABBEYFEALE,substation,ESB Networks,38;20;10,38.0,52.3927326,-9.302756
way/386840644,Abbeylands 38kV Substation,Abbeylands 38kV Substation,ABBEYLANDS,substation,ESB Networks,38,38.0,53.6632835,-6.6949236
way/161176632,Academy Street 38kV Substation,Academy Street 38kV Substation,ACADEMY STREET,substation,ESB Networks,38,38.0,53.6470577,-6.677739
way/624965794,Achill 38 kV Substation,Achill 38 kV Substation,ACHILL,substation,ESB Networks,38,38.0,53.9410582,-9.8934229
relation/9607854,Acres Wind Farm,Acres Wind Farm,ACRES WIND FARM,plant,Element Power,,,54.5294229,-8.1869468
way/438027242,Adamstown 110kV Substation,Adamstown 110kV Substation,ADAMSTOWN,substation,EirGrid,110;20,110.0,53.3403233,-6.4790891
way/1041523185,Adria 33 kV Substation,Adria 33 kV Substation,ADRIA,substation,NIE Networks,33,33.0,54.8173279,-7.4669838
way/200362903,Agannygal 110kV Substation,Agannygal 110kV Substation,AGANNYGAL,substation,EirGrid,110,110.0,53.0367354,-8.5499195
way/437322322,Aghada 110kV Substation,Aghada 110kV Substation,AGHADA,substation,EirGrid,110;20;6.6,110.0,51.8342452,-8.2297389
way/104388599,Aghada 220kV Substation,Aghada 220kV Substation,AGHADA,substation,EirGrid,220,220.0,51.8356384,-8.227215
way/1413017181,Aghada BESS 2,Aghada BESS 2,AGHADA BESS 2,plant,ESB Generation and Wholesale Markets,,,51.8324792,-8.2298695
way/1131251772,Aghada Battery Plant,Aghada Battery Plant | Aghada BESS,AGHADA BATTERY | AGHADA BESS,plant,ESB Generation and Wholesale Markets,,,51.8367829,-8.2290066
way/71762783,Aghada Power Station,Aghada Power Station | Long Point,AGHADA | LONG POINT,plant,ESB Generation and Wholesale Markets,,,51.8338841,-8.2332664
way/177569090,Aghagad 38 kV Substation,Aghagad 38 kV Substation,AGHAGAD,substation,ESB Networks,38,38.0,54.3657688,-8.5142209
way/1030577324,Aghagallon 33 kV Substation,Aghagallon 33 kV Substation,AGHAGALLON,substation,NIE Networks,33,33.0,54.5025474,-6.341028
way/519099966,Aghamore 38kV Substation,Aghamore 38kV Substation,AGHAMORE,substation,ESB Networks,38,38.0,53.6736567,-7.975825
way/494785976,Aghyoule 110kV Substation,Aghyoule 110kV Substation,AGHYOULE,substation,NIE Networks,110,110.0,54.1627134,-7.5851248
way/208150180,Ahane 110kV Substation,Ahane 110kV Substation,AHANE,substation,EirGrid,110;20;10,110.0,52.6617276,-8.5076209
way/1040550164,Ahoghill Central 33kV Substation,Ahoghill Central 33kV Substation,AHOGHILL CENTRAL,substation,NIE Networks,33,33.0,54.8496455,-6.3458438
relation/15313054,Airoshin Wind Farm,Airoshin Wind Farm,AIROSHIN WIND FARM,plant,Energia,,,54.6928318,-8.4863531
way/477221983,Airport Road 33 kV Substation,Airport Road 33 kV Substation,AIRPORT ROAD,substation,NIE Networks,33,33.0,54.6038767,-5.8984552
way/697470447,Airton 110kV Substation,Airton 110kV Substation,AIRTON,substation,EirGrid,110;20,110.0,53.2968693,-6.3674201
relation/15019326,Altagowlan Wind Farm,Altagowlan Wind Farm,ALTAGOWLAN WIND FARM,plant,,,,54.1212843,-8.1455753
relation/9299070,Altahullion Phase II,Altahullion Phase II,ALTAHULLION PHASE II,plant,,,,54.9597694,-7.0250663
relation/9298972,Altahullion Wind Farm,Altahullion Wind Farm,ALTAHULLION WIND FARM,plant,,,,54.9650875,-7.033143
relation/14374258,Altamuskin Wind Farm,Altamuskin Wind Farm,ALTAMUSKIN WIND FARM,plant,Energia,,,54.5180618,-7.1137531
way/1276579594,Altaveedan Wind Farm,Altaveedan Wind Farm,ALTAVEEDAN WIND FARM,plant,,,,55.0777342,-6.2619067
relation/12864419,Altaveedan Wind Farm,Altaveedan Wind Farm,ALTAVEEDAN WIND FARM,plant,NTR PLC,,,55.0776738,-6.2619868
relation/14350634,An Cnoc Wind Farm,An Cnoc Wind Farm,AN CNOC WIND FARM,plant,Greencoat Renewables,,,52.6468428,-7.5291364
way/203486264,An Spidéal 38kV Substation,An Spidéal 38kV Substation,AN SPID AL,substation,ESB Networks,38;10,38.0,53.2496753,-9.3033716
way/209837326,Analog 38-kV substation,Analog 38-kV substation,ANALOG 38 KV,substation,ESB Networks,38;10,38.0,52.6258827,-8.6577504
node/13451579296,Anderson & McAuley BT1 Substation,Anderson & McAuley BT1 Substation,ANDERSON AND MCAULEY BT1,substation,,11,11.0,54.5988206,-5.9314916
way/462226928,Annabella 38kV Substation,Annabella 38kV Substation,ANNABELLA,substation,ESB Networks,38,38.0,52.1408766,-8.6532621
way/235794888,Anner 110kV Substation,Anner 110kV Substation,ANNER,substation,EirGrid,110,110.0,52.3719788,-7.6492028
way/807628908,Annsborough Central 33kV Substation,Annsborough Central 33kV Substation | 10000605,ANNSBOROUGH CENTRAL | 10000605,substation,NIE Networks,33,33.0,54.2669972,-5.9262744
way/246804766,Antrim 110kV Substation,Antrim 110kV Substation,ANTRIM,substation,NIE Networks,110,110.0,54.7277414,-6.2208116
way/399033367,Antrim 33kV Substation,Antrim 33kV Substation,ANTRIM,substation,NIE Networks,33,33.0,54.7156266,-6.208857
way/1040565206,Ardboe Central,Ardboe Central,ARDBOE CENTRAL,substation,NIE Networks,33,33.0,54.6147922,-6.5385422
