name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,geocode_method
10,38.0,,,1.0295,PQ,,0,F_M,F_M,1.0,11.0,11.0,IE,-7.9126,
11,38.0,,,1.02999,PQ,,0,FMN LOOP,FMN LOOP,1.0,11.0,11.0,IE,-7.7189,
12,38.0,,,1.03904,PQ,,0,BEDFORD ROW,BEDFORD ROW,1.0,11.0,11.0,IE,-7.5059,
13,38.0,,,1.03044,PQ,,0,M_R,M_R,1.0,11.0,11.0,IE,-8.2136,
14,38.0,,,1.02458,PQ,,0,F_I,F_I,1.0,11.0,11.0,IE,-7.502,
15,38.0,,,1.02534,PQ,,0,I_M,I_M,1.0,11.0,11.0,IE,-7.329,
1021,110.0,-8.6163685,52.7049873,1.03004,PQ,,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,4.1586,exact
1041,110.0,-8.227215,51.8356384,1.01103,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,14.6099,exact
1042,220.0,-8.227215,51.8356384,1.0,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,18.0255,exact
1052,220.0,-8.2298695,51.8324792,1.0,PQ,,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,18.0255,prefix
1061,110.0,-8.0755119,54.0945702,1.05564,PQ,,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,-4.4872,exact
1062,220.0,-8.2298695,51.8324792,1.0,PQ,,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,18.0255,coupled
1071,110.0,-8.5499195,53.0367354,1.04139,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,1.5194,exact
1072,220.0,-8.227215,51.8356384,1.00001,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,18.0084,coupled
1081,110.0,-8.5076209,52.6617276,1.02865,PQ,,0,AHANE,AHANE,1.0,8.0,8.0,IE,5.0071,exact
1091,110.0,-6.4790891,53.3403233,1.02051,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-6.9464,exact
1101,110.0,-7.6492028,52.3719788,1.0002,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,4.8374,exact
1121,110.0,-6.147732,52.8151839,1.01992,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,-0.9849,exact
