name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
10-LD,10,AC,23.45,-1.95,10,F_M,False
11-LD,11,AC,21.03,-1.94,11,FMN LOOP,False
12-LD,12,AC,15.2,0.34,12,BEDFORD ROW,False
13-LD,13,AC,23.5,-0.8,13,M_R,False
14-LD,14,AC,18.0,1.42,14,F_I,False
15-LD,15,AC,18.1,0.1,15,I_M,False
1101-I,1101,AC,14.0,6.9,1101,ANNER,False
4341-I,4341,AC,0.3,0.1,4341,OLDCOURT,False
10204-LD,10204,AC,23.17,1.42,10204,ARDNACRUSHA,False
10205-LD,10205,AC,10.0,1.0,10205,ARDNACRUSHA,False
10602-LD,10602,AC,1.2,-0.56,10602,ARIGNA,False
10801-LD,10801,AC,1.44,-0.57,10801,AHANE,False
10902-I,10902,AC,9.5,3.12,10902,ADAMSTOWN,False
10902-LD,10902,AC,3.0,0.5,10902,ADAMSTOWN,False
11201-LD,11201,AC,2.36,-0.02,11201,ARKLOW,False
11204-LD,11204,AC,20.0,-10.48,11204,BIO_ARKLOW,False
11404-LD,11404,AC,25.72,-4.93,11404,ATHLONE,False
12001-LD,12001,AC,3.69,-0.71,12001,ARTANE,False
12201-LD,12201,AC,6.28,0.56,12201,ATHY,False
12702-LD,12702,AC,5.0,-1.41,12702,BALTRASNA,False
12804-LD,12804,AC,5.2,-3.47,12804,HY_BALLYLICK,False
13001-LD,13001,AC,4.44,-0.94,13001,BALLYBEG,False
13204-LD,13204,AC,7.06,-0.09,13204,BLAKE,False
13404-LD,13404,AC,7.04,-0.67,13404,HY_BINBANE,False
13501-I,13501,AC,5.26,0.82,13501,BARODA,False
13601-I,13601,AC,5.99,1.67,13601,BALLYDINE,False
13604-LD,13604,AC,3.45,0.43,13604,BALLYDINE,False
13702-I,13702,AC,14.91,1.64,13702,BARNAGEERAGH,False
13802-LD,13802,AC,19.96,3.85,13802,BARNAHELY,False
13804-LD,13804,AC,6.65,1.28,13804,BARNAHELY,False
13812-LD,13812,AC,3.69,0.71,13812,BARNAHELY,False
14004-LD,14004,AC,1.93,-0.4,14004,BELLACORICK,False
14102-I,14102,AC,56.94,2.55,14102,AIRTON,False
14204-LD,14204,AC,20.13,6.3,14204,BLACKROCK,False
14304-LD,14304,AC,8.05,1.75,14304,BALLYRAGGET,False
14401-LD,14401,AC,3.42,0.16,14401,BANDON,False
14404-LD,14404,AC,15.04,-0.35,14404,HY_BANDON,False
14502-I,14502,AC,71.0,9.5,14502,CLOGHRAN,False
14604-LD,14604,AC,14.27,-2.52,14604,BARRYMORE,False
14804-LD,14804,AC,14.83,-0.21,14804,BUTLERSTOWN,False
15001-I,15001,AC,3.95,0.98,15001,BRINNY,False
15202-I,15202,AC,127.74,8.09,15202,CLONEE,False
15402-LD,15402,AC,3.0,-0.01,15402,BANOGE,False
15602-I,15602,AC,30.0,0.0,15602,COOLDERRIG,False
15704-LD,15704,AC,3.0,0.7,15704,ARDNAGAPPARY,False
15801-LD,15801,AC,3.87,1.22,15801,CABRA,False
16202-LD,16202,AC,4.75,0.0,16202,COOLROE,False
16604-LD,16604,AC,9.0,0.0,16604,CASTLEBAR,False
16901-LD,16901,AC,4.19,-0.9,16901,CENTRAL PARK,False
17004-LD,17004,AC,6.0,1.0,17004,HY_CATH FALL,False
17204-LD,17204,AC,9.52,-0.11,17204,CAHIR,False
17404-LD,17404,AC,22.37,1.4,17404,CARRICKMINES,False
17802-I,17802,AC,50.8,24.52,17802,CASTLEFARM,False
18001-LD,18001,AC,7.29,0.5,18001,COOKSTOWN,False
18004-LD,18004,AC,16.0,4.28,18004,COOKSTOWN,False
18101-I,18101,AC,117.29,12.91,18101,DARNDALE,False
