name,bus0,bus1,x,r,s_nom,tap_ratio,phase_shift,sub_network,s_nom_source,psse_ckt
T2561-10-2,2561,10,29.815018199999997,0.81971802,9999.0,1.00609,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T3781-10-1,3781,10,29.1950802,0.66273372,9999.0,0.98944,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T2561-11-1,2561,11,29.815018199999997,0.81971802,9999.0,1.00609,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T3781-11-2,3781,11,29.1950802,0.66273372,9999.0,0.98944,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T3861-13-2,3861,13,32.087790899999995,1.1488851,9999.0,1.01012,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T4651-13-2,4651,13,30.576942,0.809919,9999.0,0.99501,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T2551-14-2,2551,14,30.1209876,0.6569343,9999.0,0.99501,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T3081-14-1,3081,14,27.766223099999998,1.0988901,9999.0,0.99676,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T3081-15-3,3081,15,27.766223099999998,1.0988901,9999.0,0.99676,0.0,0,no rating in the file and none inferable; kept the file's 9999,3
T3871-15-1,3871,15,22.197779999999998,1.0988901,9999.0,0.99676,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1021-10204-1,1021,10204,36.696329999999996,0.6999299999999999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1021-10205-2,1021,10205,34.9965,0.6999299999999999,9999.0,0.99104,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1021-10271-1,1021,10271,33.266673,0.8259173999999999,9999.0,1.01,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1021-10272-2,1021,10272,37.516248,0.8259173999999999,9999.0,1.01,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1021-10273-3,1021,10273,31.706829,0.9999,9999.0,1.01,0.0,0,no rating in the file and none inferable; kept the file's 9999,3
T1021-10274-4,1021,10274,32.446754999999996,1.409859,9999.0,0.99897,0.0,0,no rating in the file and none inferable; kept the file's 9999,4
T1041-10401-1,1041,10401,63.9936,1.409859,9999.0,0.99926,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1042-10471-1,1042,10471,4.69953,0.05999399999999999,9999.0,0.99739,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1052-10472-1,1052,10472,12.268773,0.19998,9999.0,1.005,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1052-10473-1,1052,10473,12.29877,0.19998,9999.0,1.005,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1061-10602-1,1061,10602,69.993,0.0,9999.0,1.00129,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1061-10604-1,1061,10604,33.79662,0.7139285999999999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1062-10474-1,1062,10474,12.39876,0.19998,9999.0,1.005,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1081-10801-1,1081,10801,39.996,0.0,9999.0,0.9971,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1091-10901-1,1091,10901,109.989,2.1997799999999996,9999.0,1.008,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1091-10901-2,1091,10901,109.989,2.1997799999999996,9999.0,1.008,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1121-11201-1,1121,11201,109.989,2.1997799999999996,9999.0,1.008,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1121-11201-2,1121,11201,109.989,2.1997799999999996,9999.0,1.008,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1121-11204-1,1121,11204,33.79662,0.6999299999999999,9999.0,0.993,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1121-11204-2,1121,11204,33.79662,0.6999299999999999,9999.0,0.993,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1131-11302-1,1131,11302,0.1896,0.00384,120.0,1.0,0.0,0,RATE1,1
T1141-11404-1,1141,11404,33.59664,1.3998599999999999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1141-11404-2,1141,11404,33.59664,1.3998599999999999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1201-12001-1,1201,12001,49.995,0.0,9999.0,0.99826,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1201-12001-2,1201,12001,49.995,0.0,9999.0,1.008,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1211-12101-1,1211,12101,0.099,0.0033000000000000004,110.0,1.0,0.0,0,RATE1,1
T1221-12201-1,1221,12201,109.989,2.49975,9999.0,1.0,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1221-12201-2,1221,12201,109.989,2.49975,9999.0,1.0,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1231-12302-1,1231,12302,0.1764,0.0049,70.0,0.99927,0.0,0,RATE1,1
T1251-12502-1,1251,12502,0.13649999999999998,0.0007,35.0,0.99925,0.0,0,RATE1,1
T1251-12504-1,1251,12504,33.79662,0.7139285999999999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1251-12514-1,1251,12514,38.59614,1.3998599999999999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1271-12702-1,1271,12702,109.989,1.9998,9999.0,1.0,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1271-12702-2,1271,12702,109.989,1.9998,9999.0,1.0,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1281-12804-1,1281,12804,33.79662,0.9999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1301-13001-1,1301,13001,49.59504,0.0,9999.0,1.008,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1301-13001-2,1301,13001,49.59504,0.0,9999.0,0.99215,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1311-13114-1,1311,13114,35.496449999999996,0.6999299999999999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1311-68272-2,1311,68272,8.999099999999999,0.19998,9999.0,0.99,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1321-13204-1,1321,13204,39.996,0.0,9999.0,0.993,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1331-13302-1,1331,13302,39.996,0.0,9999.0,1.0,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1331-13302-2,1331,13302,39.996,0.0,9999.0,1.0,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1331-13303-1,1331,13303,10.998899999999999,0.9999,9999.0,1.0,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1341-13404-1,1341,13404,35.996399999999994,0.0,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1341-13404-2,1341,13404,35.996399999999994,0.0,9999.0,0.99187,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1351-13501-1,1351,13501,14.898509999999998,0.469953,9999.0,0.9992,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1351-13501-2,1351,13501,14.898509999999998,0.469953,9999.0,0.9992,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1361-13601-1,1361,13601,104.08958999999999,0.0,9999.0,1.008,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1361-13601-3,1361,13601,104.08958999999999,0.0,9999.0,1.008,0.0,0,no rating in the file and none inferable; kept the file's 9999,3
T1361-13604-1,1361,13604,30.586941,0.0,9999.0,1.01077,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1371-13702-1,1371,13702,3.9996,0.17998199999999998,9999.0,1.0,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1371-13702-2,1371,13702,3.9996,0.17998199999999998,9999.0,1.0,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1381-13802-1,1381,13802,61.39386,0.0,9999.0,1.0016,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1381-13802-2,1381,13802,61.39386,0.0,9999.0,1.0016,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1381-13804-1,1381,13804,39.996,0.0,9999.0,0.993,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1381-13804-2,1381,13804,39.996,0.0,9999.0,0.993,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1401-14002-2,1401,14002,104.08958999999999,0.0,9999.0,0.966,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1401-14004-1,1401,14004,51.9948,2.7077291999999997,9999.0,0.99621,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1401-14004-2,1401,14004,39.996,1.429857,9999.0,0.993,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1411-14102-1,1411,14102,22.89771,0.59994,9999.0,1.0025,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1411-14102-2,1411,14102,22.89771,0.59994,9999.0,1.0025,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
T1411-14102-3,1411,14102,22.89771,0.59994,9999.0,1.0025,0.0,0,no rating in the file and none inferable; kept the file's 9999,3
T1421-14204-1,1421,14204,35.496449999999996,0.6999299999999999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,1
T1421-14204-2,1421,14204,35.496449999999996,0.6999299999999999,9999.0,0.99213,0.0,0,no rating in the file and none inferable; kept the file's 9999,2
