name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
10470-1,10422,PV,456.69,0.4861065493004007,456.0,-74.173,1.0,gas,90.0,10470.0,AGH_CCGT,True
27474-1,2742,PV,464.5,0.5059203444564048,350.0,-36.192,1.0,gas,90.0,27474.0,GI CCGT,True
28571-1,2852,PV,444.0,0.24797297297297297,444.0,-51.061,1.0,unknown,60.0,28571.0,WHITEGATE,True
29673-2,2972,PV,400.0,0.485,400.0,-170.0,1.0,biomass,40.0,29673.0,BS_HUNTSTOWN,True
31271-1,3122,PV,406.9,0.4005898255099533,199.0,-100.0,1.0,unknown,60.0,31271.0,DUBLIN_BAY_P,True
39471-1,3934,PV,234.0,0.2564102564102564,234.0,-84.008,1.0,unknown,60.0,39471.0,MNYPG1,True
39472-2,3954,PV,234.0,0.2564102564102564,234.0,-84.008,1.0,unknown,60.0,39472.0,MNYPG2-P,True
39473-3,3944,PV,234.0,0.2564102564102564,234.0,-84.008,1.0,unknown,60.0,39473.0,MNYPG3,True
51771-CT,5172,PV,262.0,0.5916030534351145,262.0,-91.0,1.0,unknown,60.0,51771.0,TYNAGH,True
52071-1,5202,Slack,73.0,-1.0,14.759,-7.059,1.0,unknown,60.0,52071.0,TURLG1,True
52072-2,5202,PV,73.0,-1.0,14.95,-6.744,1.0,unknown,60.0,52072.0,TURLG2,True
52073-3,5202,PV,73.0,-1.0,14.759,-7.059,1.0,unknown,60.0,52073.0,TURLG3,True
52074-4,5202,PV,73.0,-1.0,14.95,-6.744,1.0,unknown,60.0,52074.0,TURLG4,True
52476-1,5241,PV,52.3,0.022944550669216062,48.0,-7.0,1.0,unknown,60.0,52476.0,TAW_PEAK,True
52477-1,5251,PV,52.3,0.022944550669216062,48.0,-7.0,1.0,unknown,60.0,52477.0,TAW_PEAK,True
70516-D,70510,PV,97.0,0.6701030927835051,97.0,-14.607,1.0,unknown,60.0,70516.0,BAFD_GD,True
75515-ST,75510,PV,165.0,0.6060606060606061,165.0,-46.843,1.0,unknown,60.0,75515.0,GEN_COOL,True
75516-GT,75520,PV,254.0,0.6299212598425197,194.0,-3.635,1.0,unknown,60.0,75516.0,GEN_COOL,True
86221 import,86221,Slack,500.0,0.0,,0.0,1.0,import,150.0,,,
86221 export,86221,PV,500.0,0.0,,0.0,-1.0,export,-0.0,,,
GB_EWIC import,GB_EWIC,Slack,530.0,0.0,,0.0,1.0,import,150.0,,,
GB_EWIC export,GB_EWIC,PV,530.0,0.0,,0.0,-1.0,export,-0.0,,,
GB_GREENLINK import,GB_GREENLINK,Slack,530.0,0.0,,0.0,1.0,import,150.0,,,
GB_GREENLINK export,GB_GREENLINK,PV,530.0,0.0,,0.0,-1.0,export,-0.0,,,
