bus,bus_name,v_nom,parent,parent_name,x_to_parent,runner_up,runner_up_name,x_to_runner_up,attachments,margin
13204,BLAKE,38.0,1321,BLAKE,0.4,,,,1,
13271,BLAKE,38.0,1321,BLAKE,0.4001,,,,1,
52602,TRIEN 20 B,20.0,5261,TRIEN,1.8639999999999999,,,,1,
52604,TRIEN,38.0,5261,TRIEN,0.38,,,,1,
52605,ABBEYFEALEX,38.0,5261,TRIEN,0.8376,,,,1,
52612,TOURNAFULLA,20.0,5261,TRIEN,2.1054999999999997,,,,1,
52615,TOURNAFULLA1,38.0,5261,TRIEN,0.9055,,,,1,
52622,CURRAGHDERRI,20.0,5261,TRIEN,2.58039,,,,1,
52625,CURRAGHDERRI,38.0,5261,TRIEN,1.0964,,,,1,
52654,SMEARLA,38.0,5261,TRIEN,0.417,,,,1,
52664,BALLYBUNION,38.0,5261,TRIEN,0.9193,,,,1,
52671,W_BEALEHI,0.69,5261,TRIEN,4.893999999999999,,,,1,
52672,W_BEALEHI,0.69,5261,TRIEN,4.658,,,,1,
52673,W_TOURNAFU,0.69,5261,TRIEN,2.8495,,,,1,
52674,CURRAGHDERRI,38.0,5261,TRIEN,1.0211999999999999,,,,1,
52677,W_BEALE_HILL,0.69,5261,TRIEN,3.727,,,,1,
52694,ABBEYFEALE,38.0,5261,TRIEN,0.6407,,,,1,
68219,W_CURRAGHD_P,0.69,5261,TRIEN,3.77839,,,,1,
68233,W_GORTNACLOG,38.0,5261,TRIEN,1.0091999999999999,,,,1,
52802,MOUNT EAGLE,20.0,5281,TRALEE,1.272,,,,1,
52804,TRALEE,38.0,5281,TRALEE,0.338,,,,1,
52812,BEENAGEEHA,20.0,5281,TRALEE,2.738,,,,1,
52813,TURSILLA,20.0,5281,TRALEE,0.938,,,,1,
52814,MOUNT EAGLE,20.0,5281,TRALEE,1.538,,,,1,
52815,MOUNT EAGLE,20.0,5281,TRALEE,2.738,,,,1,
52816,TURSILLA,20.0,5281,TRALEE,1.538,,,,1,
52817,LEE STRAND,20.0,5281,TRALEE,1.1380000000000001,,,,1,
52871,W_TURSILLA,0.69,5281,TRALEE,1.2670000000000001,,,,1,
52872,W_TURSILLA,0.69,5281,TRALEE,2.237,,,,1,
52873,W_BEENAGEE,0.69,5281,TRALEE,4.0009999999999994,,,,1,
52875,W_MOUNTEA,0.69,5281,TRALEE,2.4690000000000003,,,,1,
52876,W_MOUNTEA,0.69,5281,TRALEE,5.532,,,,1,
52878,W_BALLINCOLL,0.4,5281,TRALEE,1.739,,,,1,
29671,HUNT_ST,10.5,2962,HUNTSTOWN,0.12529999999999997,,,,1,
29672,HUNT_CT,16.0,2962,HUNTSTOWN,0.07299999999999998,,,,1,
star:2962-29672-29671-1,star point,,2962,HUNTSTOWN,0.009149999999999991,,,,1,
19472,EDENDERRY_PO,11.5,1941,CUSHALING,0.14929,,,,1,
19473,EDENDERRY_PO,11.5,1941,CUSHALING,0.13200000000000003,,,,1,
star:1941-19473-19472-1,star point,,1941,CUSHALING,0.0025500000000000245,,,,1,
21801,DUNLEER,10.0,2181,DRYBRIDGE,2.7114,,,,1,
21802,SLANE,20.0,2181,DRYBRIDGE,2.537,,,,1,
21804,DRYBRIDGE,38.0,2181,DRYBRIDGE,0.355,,,,1,
21811,WHITERIVER,10.0,2181,DRYBRIDGE,2.7115,,,,1,
21812,DUNMORE,20.0,2181,DRYBRIDGE,2.9269,,,,1,
21814,RATHMULLEN,38.0,2181,DRYBRIDGE,0.3992,,,,1,
21821,SLANE,10.0,2181,DRYBRIDGE,1.597,,,,1,
21822,DULEEK,20.0,2181,DRYBRIDGE,1.5136,,,,1,
21824,SLANE,38.0,2181,DRYBRIDGE,1.537,,,,1,
