name,bus0,bus1,x,r,b,s_nom,length,carrier,sub_network,s_nom_source,psse_ckt
11-42404-1,11,42404,0.0565326,0.051984,0.0001433518005540166,100.0,1.0,AC,0,RATE1,1
12-25404-1,12,25404,0.11479800000000001,0.07710960000000001,0.00028185595567867033,9999.0,1.4,AC,0,no rating in the file and none inferable; kept the file's 9999,1
12-25404-3,12,25404,0.1250504,0.0857736,0.0003012465373961218,9999.0,1.52,AC,0,no rating in the file and none inferable; kept the file's 9999,3
12-46504-1,12,46504,0.30526159999999997,0.3078608,0.00022783933518005542,9999.0,5.14,AC,0,no rating in the file and none inferable; kept the file's 9999,1
12-46504-2,12,46504,0.24591320000000003,0.2797028,0.00017728531855955678,9999.0,3.96,AC,0,no rating in the file and none inferable; kept the file's 9999,2
1021-2121-1,1021,2121,7.634010999999999,3.31661,4.9999999999999996e-05,121.0,18.15,AC,0,RATE1,1
1021-2361-1,1021,2361,13.410187999999998,5.851318,9.900826446280991e-05,121.0,32.32,AC,0,RATE1,1
1021-3541-1,1021,3541,4.476999999999999,0.8591,9.586776859504131e-05,210.0,11.7,AC,0,RATE1,1
1021-10210-1,1021,10210,0.012100000000000001,0.0,0.0,999.0,0.0,AC,0,RATE1,1
1021-10261-1,1021,10261,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
1041-5481-1,1041,5481,1.2947,0.5929000000000001,8.264462809917356e-06,121.0,3.1,AC,0,RATE1,1
1042-1052-1,1042,1052,0.048400000000000006,0.0,0.0,593.0,0.0,AC,0,RATE1,1
1042-1072-1,1042,1072,0.29039999999999994,0.048400000000000006,7.933884297520661e-05,593.0,1.4,AC,0,RATE1,1
1042-3202-1,1042,3202,10.584596000000001,1.4500640000000002,7.121900826446281e-05,468.0,25.6,AC,0,RATE1,1
1042-4722-1,1042,4722,4.407788,0.528528,0.000520206611570248,513.0,14.39,AC,0,RATE1,1
1042-10422-1,1042,10422,0.19360000000000002,0.048400000000000006,5.475206611570248e-05,574.0,0.97,AC,0,RATE1,1
1052-1062-1,1052,1062,0.048400000000000006,0.0,0.0,999.0,0.0,AC,0,RATE1,1
1052-2852-1,1052,2852,0.7260000000000001,0.09680000000000001,0.00021384297520661157,573.0,3.78,AC,0,RATE1,1
1052-3202-2,1052,3202,10.7448,1.4520000000000002,6.921487603305785e-05,468.0,25.6,AC,0,RATE1,2
1061-10619-1,1061,10619,0.09680000000000001,0.048400000000000006,8.264462809917356e-07,123.0,0.21,AC,0,RATE1,1
1071-2231-1,1071,2231,3.3396,1.5125,2.1487603305785124e-05,123.0,8.0,AC,0,RATE1,1
1071-2361-1,1071,2361,15.899399999999998,7.1874,0.00010165289256198347,91.0,38.2,AC,0,RATE1,1
1071-4941-1,1071,4941,19.0091,8.2885,0.0001394214876033058,119.0,45.88,AC,0,RATE1,1
1081-32810-1,1081,32810,1.4882999999999997,0.4719,2.8925619834710747e-05,45.0,3.77,AC,0,RATE1,1
1091-2861-1,1091,2861,0.4598,0.21779999999999997,0.00020743801652892564,181.0,2.5,AC,0,RATE1,1
1091-3091-1,1091,3091,0.572209,0.54571,0.0009778512396694213,181.0,10.7,AC,0,RATE1,1
1101-2161-1,1101,2161,0.8349,0.3751,4.958677685950413e-06,45.0,2.0,AC,0,RATE1,1
1121-1301-1,1121,1301,9.5227,1.2342000000000002,5.867768595041323e-05,159.0,21.95,AC,0,RATE1,1
1121-1541-1,1121,1541,11.519200000000001,2.5047,8.429752066115702e-05,210.0,29.01,AC,0,RATE1,1
1121-4901-2,1121,4901,0.9317,0.4235,6.611570247933885e-06,92.0,2.2,AC,0,RATE1,2
1122-1742-1,1122,1742,22.080080000000002,3.0008,0.0001681818181818182,513.0,53.61,AC,0,RATE1,1
1122-3642-1,1122,3642,16.359199999999998,2.2264,0.00010537190082644628,513.0,39.02,AC,0,RATE1,1
1131-2131-1,1131,2131,0.689942,0.147015,0.0004976859504132232,136.0,5.46,AC,0,RATE1,1
1131-11310-1,1131,11310,0.012100000000000001,0.0,0.0,210.0,0.0,AC,0,RATE1,1
1131-31911-1,1131,31911,2.517284,0.503844,5.6446280991735544e-05,210.0,6.71,AC,0,RATE1,1
1141-3501-1,1141,3501,14.883,6.534,9.586776859504131e-05,121.0,35.79,AC,0,RATE1,1
1141-4941-1,1141,4941,8.4216,1.6335,9.338842975206611e-05,190.0,21.63,AC,0,RATE1,1
1141-11461-1,1141,11461,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
1161-1781-1,1161,1781,0.242,0.121,9.090909090909091e-06,96.0,0.65,AC,0,RATE1,1
1161-3461-1,1161,3461,12.910699999999999,2.5047,9.586776859504131e-05,210.0,32.83,AC,0,RATE1,1
1161-3901-1,1161,3901,10.8174,2.0933,8.016528925619834e-05,210.0,27.5,AC,0,RATE1,1
1161-5051-3,1161,5051,0.14519999999999997,0.07259999999999998,5.041322314049587e-05,120.0,1.0,AC,0,RATE1,3
1161-5071-4,1161,5071,0.14519999999999997,0.07259999999999998,5.041322314049587e-05,120.0,1.0,AC,0,RATE1,4
1161-17810-2,1161,17810,0.2541,0.121,9.917355371900826e-06,96.0,0.67,AC,0,RATE1,2
1181-1861-1,1181,1861,17.8959,8.0586,0.0001140495867768595,123.0,43.04,AC,0,RATE1,1
1181-2821-1,1181,2821,12.0274,2.3353,8.925619834710744e-05,210.0,30.6,AC,0,RATE1,1
1181-4221-1,1181,4221,25.748799999999996,4.9852,0.00019090909090909092,210.0,65.5,AC,0,RATE1,1
1181-4961-1,1181,4961,7.284199999999999,1.4157000000000002,5.4545454545454546e-05,210.0,18.51,AC,0,RATE1,1
1181-4961-2,1181,4961,9.2323,1.7908000000000002,8.016528925619834e-05,210.0,23.56,AC,0,RATE1,2
1201-2561-1,1201,2561,1.2221,0.5687000000000001,0.0004528925619834711,136.0,9.0,AC,0,RATE1,1
1201-3781-1,1201,3781,0.6655,0.3146,0.0002462809917355372,115.0,4.9,AC,0,RATE1,1
1211-2771-1,1211,2771,0.298991,0.253374,0.0004473553719008264,220.0,4.91,AC,0,RATE1,1
1211-12111-1,1211,12111,0.012100000000000001,0.0,0.0,210.0,0.0,AC,0,RATE1,1
1212-1602-1,1212,1602,7.018,0.9602560000000001,5.161157024793388e-05,792.0,16.77,AC,0,RATE1,1
1212-3332-1,1212,3332,6.098400000000001,0.968,3.9876033057851245e-05,794.0,14.5,AC,0,RATE1,1
1221-1901-1,1221,1901,10.082567000000001,4.397260999999999,6.661157024793388e-05,121.0,24.23,AC,0,RATE1,1
1221-3551-1,1221,3551,9.1355,4.1261,5.867768595041323e-05,123.0,21.94,AC,0,RATE1,1
1231-1841-1,1231,1841,2.8380549999999998,0.9721139999999999,0.0011286776859504132,68.0,22.4,AC,0,RATE1,1
1251-2361-1,1251,2361,9.7042,1.8876,7.190082644628098e-05,210.0,24.69,AC,0,RATE1,1
1251-52219-1,1251,52219,7.1874,1.3914999999999997,5.371900826446281e-05,210.0,18.28,AC,0,RATE1,1
1271-1491-1,1271,1491,4.2229,0.8228,3.6363636363636364e-05,210.0,10.75,AC,0,RATE1,1
1271-2041-1,1271,2041,6.606600000000001,1.2826,4.958677685950413e-05,210.0,15.93,AC,0,RATE1,1
1281-2221-1,1281,2221,11.4103,5.1546,8.099173553719009e-05,68.0,27.57,AC,0,RATE1,1
1301-17411-1,1301,17411,14.023900000000001,1.7908000000000002,8.59504132231405e-05,159.0,32.3,AC,0,RATE1,1
1311-3331-1,1311,3331,1.322046,0.24405700000000002,0.0008716528925619834,220.0,9.54,AC,0,RATE1,1
1321-13219-1,1321,13219,0.2057,0.07259999999999998,1.6528925619834712e-06,159.0,0.5,AC,0,RATE1,1
1331-2041-1,1331,2041,6.8486,2.0570000000000004,0.0003107438016528926,130.0,18.93,AC,0,RATE1,1
1331-4001-1,1331,4001,23.1715,9.583200000000001,0.0002628099173553719,123.0,56.78,AC,0,RATE1,1
1341-1701-1,1341,1701,13.4915,2.6136,9.999999999999999e-05,210.0,34.3,AC,0,RATE1,1
1341-5191-1,1341,5191,9.3654,2.9282,6.528925619834711e-05,159.0,23.2,AC,0,RATE1,1
1351-4081-1,1351,4081,3.680457,1.230812,0.00024330578512396693,121.0,11.2,AC,0,RATE1,1
1351-4201-1,1351,4201,2.065712,0.7268469999999999,0.00023214876033057853,122.0,7.2,AC,0,RATE1,1
1361-2001-1,1361,2001,9.0871,3.7752,6.033057851239669e-05,217.0,21.8,AC,0,RATE1,1
1361-2161-1,1361,2161,4.4528,0.8591,3.305785123966942e-05,210.0,11.3,AC,0,RATE1,1
1371-1451-1,1371,1451,0.121,0.024200000000000003,7.768595041322315e-05,192.0,0.85,AC,0,RATE1,1
1381-4721-1,1381,4721,0.7139,0.3267,4.958677685950413e-06,92.0,1.7,AC,0,RATE1,1
1401-1661-1,1401,1661,15.536399999999999,6.449300000000001,0.00011818181818181818,217.0,37.4,AC,0,RATE1,1
1401-4041-1,1401,4041,10.6117,2.0570000000000004,7.933884297520661e-05,210.0,27.0,AC,0,RATE1,1
1401-14010-1,1401,14010,0.012100000000000001,0.0,0.0,999.0,0.0,AC,0,RATE1,1
1411-3081-1,1411,3081,1.1737,0.5687000000000001,0.0005388429752066115,136.0,6.5,AC,0,RATE1,1
1411-3081-2,1411,3081,1.1737,0.5687000000000001,0.0005388429752066115,136.0,6.5,AC,0,RATE1,2
1421-4651-1,1421,4651,0.7260000000000001,0.36300000000000004,0.0011256198347107437,151.0,7.7,AC,0,RATE1,1
1431-3261-1,1431,3261,8.6515,1.6819,6.446280991735537e-05,210.0,22.0,AC,0,RATE1,1
1441-1501-1,1441,1501,1.089,0.484,7.438016528925619e-06,91.0,2.6,AC,0,RATE1,1
1441-2225-1,1441,2225,10.781100000000002,4.8763,6.859504132231405e-05,121.0,25.9,AC,0,RATE1,1
1441-14461-1,1441,14461,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
1441-15010-2,1441,15010,1.0406,0.4719,6.611570247933885e-06,91.0,2.5,AC,0,RATE1,2
1441-47210-1,1441,47210,11.0594,4.9973,9.504132231404958e-05,121.0,26.89,AC,0,RATE1,1
1451-2041-1,1451,2041,0.33880000000000005,0.07259999999999998,0.000228099173553719,221.0,2.5,AC,0,RATE1,1
1461-14619-1,1461,14619,0.1331,0.048400000000000006,1.6528925619834712e-06,159.0,0.31,AC,0,RATE1,1
1471-1810-1,1471,1810,0.25603479,0.04281306700000001,0.00021206611570247932,229.0,0.0,AC,0,RATE1,1
1471-1810-2,1471,1810,0.25603479,0.04281306700000001,0.00021206611570247932,229.0,0.0,AC,0,RATE1,2
1472-2562-1,1472,2562,0.7260000000000001,0.19360000000000002,0.0006859504132231406,457.0,10.0,AC,0,RATE1,1
1481-2001-1,1481,2001,4.598,0.9438,0.00010743801652892562,192.0,12.32,AC,0,RATE1,1
1481-3401-1,1481,3401,1.1979000000000002,0.4598,8.264462809917356e-06,216.0,2.72,AC,0,RATE1,1
1491-2181-1,1491,2181,3.7510000000000003,0.7260000000000001,3.305785123966942e-05,210.0,9.55,AC,0,RATE1,1
1511-52610-1,1511,52610,2.355023,0.8160240000000001,0.0008174380165289257,181.0,13.62,AC,0,RATE1,1
1521-2401-1,1521,2401,1.8029,0.8591,0.0008297520661157025,124.0,10.0,AC,0,RATE1,1
1522-2042-1,1522,2042,2.1296,0.29039999999999994,1.384297520661157e-05,513.0,5.06,AC,0,RATE1,1
1522-5462-1,1522,5462,5.662800000000001,0.7744000000000001,3.65702479338843e-05,513.0,13.5,AC,0,RATE1,1
1522-15220-1,1522,15220,0.19360000000000002,0.048400000000000006,0.00017148760330578514,635.0,2.5,AC,0,RATE1,1
1522-15220-2,1522,15220,0.19360000000000002,0.048400000000000006,0.00017148760330578514,635.0,2.5,AC,0,RATE1,2
1531-3801-1,1531,3801,1.4762,0.5687000000000001,9.917355371900826e-06,121.0,3.52,AC,0,RATE1,1
1531-5481-1,1531,5481,7.5988,3.2428,4.958677685950413e-05,121.0,18.31,AC,0,RATE1,1
1541-5291-1,1541,5291,4.3802,0.847,3.7190082644628094e-05,210.0,11.15,AC,0,RATE1,1
1551-16011-1,1551,16011,4.8521,0.9800999999999999,0.00022314049586776862,210.0,13.5,AC,0,RATE1,1
1561-2861-1,1561,2861,0.2783,0.0605,0.00017107438016528923,140.0,1.87,AC,0,RATE1,1
1561-2861-2,1561,2861,0.30250000000000005,0.0605,0.00018429752066115703,140.0,2.02,AC,0,RATE1,2
1571-5191-1,1571,5191,14.568399999999999,6.5824,9.256198347107436e-05,91.0,35.0,AC,0,RATE1,1
1581-4491-1,1581,4491,0.8711999999999999,0.29039999999999994,4.3801652892561984e-05,133.0,2.66,AC,0,RATE1,1
1581-5521-1,1581,5521,0.6413,0.30250000000000005,0.00023636363636363636,115.0,4.7,AC,0,RATE1,1
1601-1611-1,1601,1611,11.646370999999998,2.2748000000000004,0.00012132231404958678,190.0,29.97,AC,0,RATE1,1
1601-2225-1,1601,2225,15.2097,2.9403,0.0001256198347107438,210.0,38.83,AC,0,RATE1,1
