name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
10271-1,1021,PV,21.0,0.23809523809523808,21.0,-7.0,1.0,hydro,1.0,10271.0,HY_ARDNG1,True
10272-2,1021,PV,22.0,0.22727272727272727,22.0,-7.0,1.0,hydro,1.0,10272.0,HY_ARDNG2,True
10273-3,1021,PV,19.0,0.2631578947368421,19.0,-7.0,1.0,hydro,1.0,10273.0,HY_ARDNG3,True
10274-4,1021,PV,24.0,0.20833333333333334,24.0,-7.0,1.0,hydro,1.0,10274.0,HY_ARDNG4,True
10470-1,10422,PV,456.69,0.4861065493004007,456.0,5.365,1.0,gas,90.0,10470.0,AGH_CCGT,True
10472-11,1052,PV,90.0,0.14444444444444443,90.0,1.192,1.0,unknown,60.0,10472.0,AGH_G11,True
10473-12,1052,PV,90.0,0.14444444444444443,90.0,1.192,1.0,unknown,60.0,10473.0,AGH_G12,True
10474-14,1062,PV,90.0,0.14444444444444443,90.0,1.192,1.0,unknown,60.0,10474.0,AGH_G14,True
12101-XX,1211,PV,100.0,0.0,0.0,-82.183,1.0,unknown,60.0,12101.0,BALLYVOUSKIL,True
13271-1,1321,PV,4.999,0.40008001600320064,4.0,-0.812,1.0,unknown,60.0,13271.0,BLAKE,True
13434-10,1341,PV,4.3,0.0,4.3,-0.873,1.0,hydro,1.0,13434.0,HY_GLENTIES,True
16873-3,1681,PV,8.0,0.25,8.0,-1.0,1.0,hydro,1.0,16873.0,HY_CDRDG3,True
17073-3,1701,PV,22.5,0.2222222222222222,22.0,-25.0,1.0,hydro,1.0,17073.0,HY_CATHG3,True
17074-4,17010,PV,23.0,0.21739130434782608,23.0,-25.0,1.0,hydro,1.0,17074.0,HY_CATHG4,True
17671-1,1761,PV,10.0,0.3,10.0,-3.0,1.0,hydro,1.0,17671.0,HY_CLIFG1,True
17672-2,1761,PV,10.0,0.3,10.0,-3.0,1.0,hydro,1.0,17672.0,HY_CLIFG2,True
19317-XX,1931,PV,6.0,0.0,0.0,0.0,1.0,unknown,60.0,19317.0,CUNG_SCOM,True
19471-1,1941,PV,122.5,0.4897959183673469,122.0,-11.2,1.0,unknown,60.0,19471.0,CUSHALING,True
20771-1,2072,PV,274.0,0.21897810218978103,274.0,-112.0,1.0,unknown,60.0,20771.0,KILSHANE,True
27361-XX,2731,PV,12.3,0.0,0.0,0.0,1.0,unknown,60.0,27361.0,GAE_SCOM,True
27474-1,2742,PV,464.5,0.5059203444564048,464.5,67.292,1.0,gas,90.0,27474.0,GI CCGT,True
28571-1,2852,PV,444.0,0.24797297297297297,444.0,-17.683,1.0,unknown,60.0,28571.0,WHITEGATE,True
29671-ST,2962,PV,123.0,0.3252032520325203,123.0,0.642,1.0,unknown,60.0,29671.0,HUNT_ST,True
29672-CT,2962,PV,229.2,0.6020942408376964,229.0,1.086,1.0,unknown,60.0,29672.0,HUNT_CT,True
29673-2,2972,PV,400.0,0.485,400.0,1.53,1.0,biomass,40.0,29673.0,BS_HUNTSTOWN,True
30671-1,3061,PV,15.0,0.26666666666666666,15.0,-4.0,1.0,hydro,1.0,30671.0,HY_INISG1,True
31271-1,3122,PV,403.9,0.4035652389205249,403.9,-35.202,1.0,unknown,60.0,31271.0,DUBLIN_BAY_P,True
32508-XX,3251,PV,10.0,0.0,0.0,0.0,1.0,wind,0.0,32508.0,W_KNOCKNAGOU,True
33361-XX,3331,PV,100.0,0.0,0.0,-93.355,1.0,unknown,60.0,33361.0,STATCOM BALL,True
38274-1,3821,PV,3.9,0.0,0.468,-0.095,1.0,unknown,60.0,38274.0,BIO_BAILLE F,True
39471-1,3934,PV,234.0,0.2564102564102564,234.0,-70.944,1.0,unknown,60.0,39471.0,MNYPG1,True
39472-2,3954,PV,234.0,0.2564102564102564,234.0,-70.944,1.0,unknown,60.0,39472.0,MNYPG2-P,True
39472-SC,3954,PV,250.0,-0.01348,0.0,-0.0,1.0,unknown,60.0,39472.0,MNYPG2-P,True
39473-3,3944,PV,234.0,0.2564102564102564,234.0,-70.944,1.0,unknown,60.0,39473.0,MNYPG3,True
42471-1,4242,PV,31.24,0.32010243277848915,31.0,-4.101,1.0,unknown,60.0,42471.0,TEG_NWALL_1-,True
42471-2,4242,PV,31.24,0.32010243277848915,31.0,-4.101,1.0,unknown,60.0,42471.0,TEG_NWALL_1-,True
42471-3,4242,PV,31.24,0.32010243277848915,31.0,-4.101,1.0,unknown,60.0,42471.0,TEG_NWALL_1-,True
42472-4,4242,PV,31.24,0.32010243277848915,31.0,0.26,1.0,unknown,60.0,42472.0,TEG_NWALL_4-,True
42472-5,4242,PV,31.24,0.32010243277848915,31.0,0.26,1.0,unknown,60.0,42472.0,TEG_NWALL_4-,True
42472-6,4242,PV,31.24,0.32010243277848915,31.0,0.26,1.0,unknown,60.0,42472.0,TEG_NWALL_4-,True
42871-1,4281,PV,8.0,0.0,0.96,-0.195,1.0,unknown,60.0,42871.0,NANGOR,True
42872-1,4281,PV,5.4,0.0,0.648,-0.132,1.0,unknown,60.0,42872.0,NANGOR,True
44471-1,4441,PV,15.0,0.3333333333333333,15.0,-4.549,1.0,hydro,1.0,44471.0,HY_POLLG1_4,True
44471-2,4441,PV,15.0,0.3333333333333333,15.0,-4.549,1.0,hydro,1.0,44471.0,HY_POLLG1_4,True
49451-1,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49451.0,TEG SHANNONB,True
49451-2,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49451.0,TEG SHANNONB,True
49452-5,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49452.0,TEG SHANNONB,True
49452-6,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49452.0,TEG SHANNONB,True
49453-3,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49453.0,TEG SHANNONB,True
49453-4,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49453.0,TEG SHANNONB,True
49454-7,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49454.0,TEG SHANNONB,True
