name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
10271-1,10271,PV,21.0,0.23809523809523808,21.0,-1.981,1.0,hydro,1.0,10271.0,HY_ARDNG1,False
10272-2,10272,PV,22.0,0.22727272727272727,22.0,-1.981,1.0,hydro,1.0,10272.0,HY_ARDNG2,False
10273-3,10273,PV,19.0,0.2631578947368421,19.0,-1.981,1.0,hydro,1.0,10273.0,HY_ARDNG3,False
10274-4,10274,PV,24.0,0.20833333333333334,24.0,-1.981,1.0,hydro,1.0,10274.0,HY_ARDNG4,False
10275-3,10275,PV,7.5,0.0,0.75,-0.152,1.0,wind,0.0,10275.0,W_KNOCKAST,False
10276-2,10276,PV,0.66,0.0,0.066,-0.013,1.0,wind,0.0,10276.0,W_MIENVEE,False
10277-1,10277,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,10277.0,PV_DROMSALLA,False
10371-1,10371,PV,115.0,0.0,11.5,5.975,1.0,unknown,60.0,10371.0,BALRUNTAGH,False
10470-1,10470,PV,456.69,0.4861065493004007,449.0,119.116,1.0,gas,90.0,10470.0,AGH_CCGT,False
10671-2,10671,PV,4.8,0.0,0.48,-0.097,1.0,wind,0.0,10671.0,W_CORRIEM,False
10672-3,10672,PV,5.0,0.0,0.5,-0.102,1.0,wind,0.0,10672.0,W_KILRONAN,False
10673-1,10673,PV,1.2,0.0,0.12,-0.024,1.0,wind,0.0,10673.0,W_SPIONKO,False
10674-5,10674,PV,4.6,0.0,0.46,-0.093,1.0,wind,0.0,10674.0,W_SELTANAV,False
10811-1,10811,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,10811.0,PV_LAGHTANE,False
10872-1,10872,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,10872.0,PV_MULKEAR(W,False
11262-1,11262,PV,800.0,0.0,80.0,0.0,1.0,wind,0.0,11262.0,W_ARKLOW OFF,False
11271-1,11271,PV,25.2,0.0,2.52,-0.512,1.0,wind,0.0,11271.0,W_ARKLOWB,False
11272-1,11272,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,11272.0,PV_TEMPLERAI,False
11273-1,11273,PV,39.99,0.0,3.999,-0.812,1.0,wind,0.0,11273.0,W_BALLYMANUS,False
11274-1,11274,PV,10.0,0.0,1.0,-0.203,1.0,solar,0.0,11274.0,PV_COOLBOY S,False
11275-1,11275,PV,22.0,0.0,2.2,1.484,1.0,solar,0.0,11275.0,PV_JOHNSTOWN,False
11371-1,11371,PV,34.35,0.0,3.435,-7.955,1.0,wind,0.0,11371.0,W_ATHEA,False
11372-1,11372,PV,23.15,0.0,2.315,-4.339,1.0,wind,0.0,11372.0,W_TOBERTOREE,False
11412-1,11412,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,11412.0,PV_SHANNAGH,False
11424-1,11424,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,11424.0,PV_ROOAUN,False
11471-1,11471,PV,0.9,0.0,0.09,-0.018,1.0,wind,0.0,11471.0,W_CLOONCON E,False
11474-1,11474,PV,5.0,0.0,0.5,-0.102,1.0,unknown,60.0,11474.0,DERRYMANY,False
11571-1,11571,PV,50.0,0.0,5.0,0.0,1.0,solar,0.0,11571.0,PV_BALLINKNO,False
12271-1,12271,PV,4.99,0.0,0.499,-0.101,1.0,solar,0.0,12271.0,PV_WOODSTOCK,False
12371-1,12371,PV,31.5,0.0,3.15,7.0,1.0,wind,0.0,12371.0,W_BALLYWATER,False
12372-2,12372,PV,10.5,0.0,1.05,3.0,1.0,wind,0.0,12372.0,W_BALLYWATER,False
12571-1,12571,PV,19.45,0.0,1.945,0.0,1.0,wind,0.0,12571.0,W_BOOLTIAGH,False
12572-1,12572,PV,12.0,0.0,1.2,-0.244,1.0,wind,0.0,12572.0,W_BOOLTIAGH_,False
12574-1,12574,PV,13.399,0.0,1.34,-0.272,1.0,wind,0.0,12574.0,W_LISSYCASEY,False
12575-1,12575,PV,15.0,0.0,1.5,-0.305,1.0,wind,0.0,12575.0,W_CROSSMORE,False
12576-1,12576,PV,10.2,0.0,1.02,-0.207,1.0,wind,0.0,12576.0,W_CROSSMORE,False
12577-1,12577,PV,4.2,0.0,0.42,-0.085,1.0,wind,0.0,12577.0,W_GORTAHEERA,False
12771-1,12771,PV,10.0,0.0,1.0,-0.203,1.0,solar,0.0,12771.0,PV_BALTRASNA,False
12772-1,12772,PV,7.14,0.0,0.714,-0.145,1.0,solar,0.0,12772.0,PV_PAINESTOW,False
12872-DW,12872,PV,8.4,0.0,0.84,-0.171,1.0,wind,0.0,12872.0,W_BALLYBANE,False
12873-1,12873,PV,19.55,0.0,1.955,-0.397,1.0,wind,0.0,12873.0,W_BALLYBANE,False
12874-1,12874,PV,8.5,0.0,0.85,-0.173,1.0,wind,0.0,12874.0,W_KEALKIL,False
13011-1,13011,PV,8.0,0.0,0.8,-0.162,1.0,solar,0.0,13011.0,PV_BALLYNAGR,False
13072-1,13072,PV,9.9,0.0,0.99,-0.201,1.0,solar,0.0,13072.0,PV_BALLINACL,False
13170-1,13170,PV,35.45,0.0,3.545,-1.034,1.0,wind,0.0,13170.0,W_SCARTAGLEN,False
13171-1,13171,PV,18.5,0.0,1.85,-0.376,1.0,wind,0.0,13171.0,W_COOLEGREAN,False
13172-1,13172,PV,3.8,0.0,0.38,-0.077,1.0,wind,0.0,13172.0,W_SCARTAGLEN,False
13371-1,13371,PV,60.0,0.0,6.0,20.0,1.0,solar,0.0,13371.0,PV_BLUNDELST,False
13471-1,13471,PV,0.66,0.0,0.066,-0.013,1.0,wind,0.0,13471.0,W_BURTONPORT,False
13472-DW,13472,PV,2.55,0.0,0.255,-0.052,1.0,wind,0.0,13472.0,W_SHANAGH_KI,False
