name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
10-LD,10,AC,85.61,2.1,10,F_M,False
11-LD,11,AC,39.1,0.26,11,FMN LOOP,False
12-LD,12,AC,56.69,0.09,12,BEDFORD ROW,False
13-LD,13,AC,60.95,-1.22,13,M_R,False
14-LD,14,AC,56.15,1.39,14,F_I,False
15-LD,15,AC,64.39,-3.97,15,I_M,False
1101-I,1101,AC,14.0,6.9,1101,ANNER,False
4341-I,4341,AC,0.3,0.1,4341,OLDCOURT,False
10204-LD,10204,AC,47.19,5.43,10204,ARDNACRUSHA,False
10205-LD,10205,AC,34.25,1.22,10205,ARDNACRUSHA,False
10602-LD,10602,AC,5.53,0.03,10602,ARIGNA,False
10801-LD,10801,AC,5.76,0.1,10801,AHANE,False
10902-I,10902,AC,9.5,3.12,10902,ADAMSTOWN,False
10902-LD,10902,AC,10.86,1.09,10902,ADAMSTOWN,False
11201-LD,11201,AC,10.71,0.78,11201,ARKLOW,False
11204-LD,11204,AC,35.85,-3.48,11204,BIO_ARKLOW,False
11404-LD,11404,AC,85.06,8.81,11404,ATHLONE,False
12001-LD,12001,AC,19.76,0.0,12001,ARTANE,False
12201-LD,12201,AC,25.22,4.93,12201,ATHY,False
12702-LD,12702,AC,17.59,-0.74,12702,BALTRASNA,False
12804-LD,12804,AC,14.72,1.19,12804,HY_BALLYLICK,False
13001-LD,13001,AC,17.71,-0.16,13001,BALLYBEG,False
13204-LD,13204,AC,29.53,1.38,13204,BLAKE,False
13302-I,13302,AC,9.5,3.12,13302,BLUNDELSTOWN,False
13404-LD,13404,AC,21.02,0.15,13404,HY_BINBANE,False
13501-I,13501,AC,5.26,0.82,13501,BARODA,False
13601-I,13601,AC,5.99,1.67,13601,BALLYDINE,False
13604-LD,13604,AC,12.06,2.06,13604,BALLYDINE,False
13702-I,13702,AC,35.78,3.94,13702,BARNAGEERAGH,False
13802-LD,13802,AC,28.98,4.63,13802,BARNAHELY,False
13804-LD,13804,AC,9.66,1.54,13804,BARNAHELY,False
13812-LD,13812,AC,5.37,0.86,13812,BARNAHELY,False
