name,kind,bus0,bus0_name,bus1,bus1_name,kv,r_pu,x_pu,length,coupler,transmission,s_nom,s_nom_source
3934-3944-1,line,3934,MNYPG1,3944,MONEYPOINT,380.0,0.0,0.0001,0.0,True,True,1847.0,"station coupler, bounded by the weaker end"
3944-3954-1,line,3944,MONEYPOINT,3954,MNYPG2,380.0,0.0,0.0001,0.0,True,True,500.0,"station coupler, bounded by the weaker end"
T3934-39471-1,transformer,3934,MNYPG1,39471,MNYPG1,380.0,0.00071,0.02857,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T3944-39473-1,transformer,3944,MONEYPOINT,39473,MNYPG3,380.0,0.00058,0.052,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T3954-39472-1,transformer,3954,MNYPG2,39472,MNYPG2-P,380.0,0.00071,0.02857,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1244-1243-12402-1-w1,transformer,star:1244-1243-12402-1,star point,1244,CELTIC,380.0,-0.001,0.0095,0.0,True,True,999.0,"station coupler, bounded by the weaker end"
T3204-3202-32081-1-w1,transformer,star:3204-3202-32081-1,star point,3204,KNOCKRAHA,380.0,-0.00075,0.0045000000000000005,0.0,True,True,999.0,"station coupler, bounded by the weaker end"
T70520-70513-1,transformer,70520,BAFD2-,70513,BAFD_GA,275.0,0.0023,0.08157,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T70520-70514-1,transformer,70520,BAFD2-,70514,BAFD_GB,275.0,0.0023,0.08157,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T70520-70515-1,transformer,70520,BAFD2-,70515,BAFD_GC,275.0,0.002,0.0712,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T75520-75516-1,transformer,75520,COOLKEER,75516,GEN_COOL,275.0,0.00178,0.05187,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T82020-82001-1,transformer,82020,KILR2-,82001,KILRG1-,275.0,0.0007,0.0488,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T82020-82002-1,transformer,82020,KILR2-,82002,KILRG2-,275.0,0.0007,0.0488,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T82020-82006-1,transformer,82020,KILR2-,82006,KIL_OCGT6,275.0,0.00057,0.02583,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T82020-82007-1,transformer,82020,KILR2-,82007,KIL_OCGT7,275.0,0.00057,0.02583,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
4462-44661-1,line,4462,POOLBEG NORT,44661,PBEG REACTOR,220.0,0.0,0.0001,0.0,True,True,2206.0,"station coupler, bounded by the weaker end"
4472-44662-1,line,4472,POOLBEG SOUT,44662,PBEG REACTOR,220.0,0.0,0.0001,0.0,True,True,3846.0,"station coupler, bounded by the weaker end"
T1042-10471-1,transformer,1042,AGHADA,10471,BS_AGHADA,220.0,0.0006,0.047,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1052-10472-1,transformer,1052,AGHADA_B,10472,AGH_G11,220.0,0.002,0.1227,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1052-10473-1,transformer,1052,AGHADA_B,10473,AGH_G12,220.0,0.002,0.123,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1062-10474-1,transformer,1062,AGH_AT14,10474,AGH_G14,220.0,0.002,0.124,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1392-13904-1,transformer,1392,CASTLELOST,13904,CASTLELOST,220.0,0.004,0.1,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1392-13914-1,transformer,1392,CASTLELOST,13914,CASTLELOST,220.0,0.004,0.1,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1522-15202-1,transformer,1522,CLONEE,15202,CLONEE,220.0,0.08,0.24,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1522-15202-2,transformer,1522,CLONEE,15202,CLONEE,220.0,0.08,0.24,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1522-15202-3,transformer,1522,CLONEE,15202,CLONEE,220.0,0.08,0.24,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T1522-15202-4,transformer,1522,CLONEE,15202,CLONEE,220.0,0.08,0.24,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2072-20701-1,transformer,2072,CRUISERATH,20701,CRUISERATH,220.0,0.002,0.0985,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2072-20701-2,transformer,2072,CRUISERATH,20701,CRUISERATH,220.0,0.002,0.0985,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2072-20701-3,transformer,2072,CRUISERATH,20701,CRUISERATH,220.0,0.002,0.0985,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2072-20701-4,transformer,2072,CRUISERATH,20701,CRUISERATH,220.0,0.002,0.0985,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2072-20771-1,transformer,2072,CRUISERATH,20771,KILSHANE,220.0,0.00054,0.0509,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2312-23171-1,transformer,2312,DERRYGREENAG,23171,DERRYGREENAG,220.0,0.0025,0.098,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2712-27101-1,transformer,2712,GLANSILLAGH,27101,KNOCKFINGLAS,220.0,0.0003,0.025,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2742-27474-1,transformer,2742,GREAT ISLAND,27474,GI CCGT,220.0,0.00071,0.02857,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2742-27479-1,transformer,2742,GREAT ISLAND,27479,W_GI_OFFSHOR,220.0,0.0008,0.0354,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2852-28571-1,transformer,2852,GLANAGOW,28571,WHITEGATE,220.0,0.000535,0.02962,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2892-28901-1,transformer,2892,GLENCLOOSAGH,28901,GLENCLOOSAGH,220.0,0.004,0.06,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T2972-29673-2,transformer,2972,HUNTSTOWN 2,29673,BS_HUNTSTOWN,220.0,0.00052,0.03326,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T3122-31202-1,transformer,3122,IRISHTOWN,31202,SW BESS,220.0,0.0093,0.285,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T3122-31271-1,transformer,3122,IRISHTOWN,31271,DUBLIN_BAY_P,220.0,0.0005,0.0375,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T3122-31273-1,transformer,3122,IRISHTOWN,31273,RINGSEND FLE,220.0,0.0024,0.1356,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T3352-33502-1,transformer,3352,KELLYSTOWN,33502,KELLYSTOWN,220.0,0.004,0.1,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T3352-33502-2,transformer,3352,KELLYSTOWN,33502,KELLYSTOWN,220.0,0.004,0.1,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T3352-33502-3,transformer,3352,KELLYSTOWN,33502,KELLYSTOWN,220.0,0.004,0.1,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T4012-40102-1,transformer,4012,MOORETOWN,40102,MOORETOWN,220.0,0.0065,0.1248,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T4012-40102-2,transformer,4012,MOORETOWN,40102,MOORETOWN,220.0,0.0065,0.1248,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T4012-40102-3,transformer,4012,MOORETOWN,40102,MOORETOWN,220.0,0.0065,0.1248,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T4012-40102-4,transformer,4012,MOORETOWN,40102,MOORETOWN,220.0,0.0065,0.1248,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T4472-44702-1,transformer,4472,POOLBEG SOUT,44702,PBEGG_BESS,220.0,0.004,0.1,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T4472-44703-1,transformer,4472,POOLBEG SOUT,44703,PBEGG_FLEX,220.0,0.004,0.1,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T4922-49271-1,transformer,4922,SOUTHBANK,49271,SOUTHBANK,220.0,0.00058,0.052,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
T5022-50274-1,transformer,5022,SHELLYBANKS,50274,PBEGG4,220.0,0.00106,0.0588,0.0,False,True,9999.0,no rating in the file and none inferable; kept the file's 9999
