name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,geocode_method
1021,110.0,-8.6163685,52.7049873,1.05,PQ,10271-1,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,7.8654,exact
1031,110.0,,,1.05,PQ,10371-1,0,BALRUNTAGH,BALRUNTAGH,1.0,7.0,7.0,IE,-4.4736,
1041,110.0,-8.227215,51.8356384,1.05145,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,13.9102,exact
1042,220.0,-8.227215,51.8356384,1.06,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,17.796,exact
1052,220.0,-8.2298695,51.8324792,1.06,PQ,,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,17.796,prefix
1061,110.0,-8.0755119,54.0945702,1.05405,PQ,10671-2,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,-0.6,exact
1062,220.0,-8.2298695,51.8324792,1.06,PQ,,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,17.796,coupled
1071,110.0,-8.5499195,53.0367354,1.05204,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,8.83,exact
1072,220.0,-8.227215,51.8356384,1.05991,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,17.7778,coupled
1081,110.0,-8.5076209,52.6617276,1.04921,PQ,10811-1,0,AHANE,AHANE,1.0,8.0,8.0,IE,8.3663,exact
1091,110.0,-6.4790891,53.3403233,1.0396,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-8.4866,exact
1101,110.0,-7.6492028,52.3719788,1.05097,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,6.6681,exact
1121,110.0,-6.147732,52.8151839,1.03889,PQ,11271-1,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,1.905,exact
1122,220.0,-6.147732,52.8151839,1.04392,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,2.7505,exact
1131,110.0,-9.3004089,52.43755,1.05,PQ,11371-1,0,ATHEA,ATHEA,1.0,5.0,5.0,IE,12.2227,exact
1141,110.0,-7.9745082,53.4230436,1.07361,PQ,11412-1,0,ATHLONE,ATHLONE,1.0,3.0,3.0,IE,7.0873,exact
1151,110.0,,,1.05033,PQ,11571-1,0,BALLINKNOCKA,BALLINKNOCKA,1.0,5.0,5.0,IE,11.4519,
1161,110.0,-9.0514195,52.6252455,1.05,PQ,,0,AUGHINISH,AUGHINISH,1.0,5.0,5.0,IE,11.6395,exact
1181,110.0,-7.4943716,53.9086252,1.04923,PQ,,0,ARVA,ARVA,1.0,7.0,7.0,IE,-4.8669,exact
1201,110.0,-6.2094672,53.382358,1.04553,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,-4.7277,exact
1211,110.0,-9.0797175,52.0059847,1.05875,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,14.0864,truncated
1212,220.0,-9.0797175,52.0059847,1.05762,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,13.4385,truncated
