bus,station,bus_count,psse_names,kv,jurisdiction,osm,osm_name,osm_voltage_kv,operator,lat,lon,method,score,runner_up,runner_up_score,voltage_check,note
1021,ARDNACRUSHA,2,ARDNACRUSHA,110,IE,way/200626863,Ardnacrusha 110kV Substation,110,EirGrid,52.7049873,-8.6163685,exact,100.0,,,agrees,2 objects share this name; only one is tagged at this station's voltage
1041,AGHADA,2,AGHADA,220;110,IE,way/104388599,Aghada 220kV Substation,220,EirGrid,51.8356384,-8.227215,exact,100.0,,,agrees,2 objects share this name and lie within 0.2 km of each other - one site mapped more than once; the highest-voltage of them is taken
1042,AGHADA,2,AGHADA,220;110,IE,way/104388599,Aghada 220kV Substation,220,EirGrid,51.8356384,-8.227215,exact,100.0,,,agrees,2 objects share this name and lie within 0.2 km of each other - one site mapped more than once; the highest-voltage of them is taken
1052,AGHADA_B,1,AGHADA_B,220,IE,way/1413017181,Aghada BESS 2,,ESB Generation and Wholesale Markets,51.8324792,-8.2298695,prefix,98.0,,,silent,'AGHADA B' is a prefix of exactly one OSM name and the voltage agrees. 2 objects share this name and lie within 0.5 km of each other - one site mapped more than once; the highest-voltage of them is taken
1061,ARIGNA,1,ARIGNA,110,IE,way/374819486,Arigna 110kV Substation,110;20,EirGrid,54.0945702,-8.0755119,exact,100.0,,,agrees,
1062,AGH_AT14,1,AGH_AT14,220,IE,way/1413017181,Aghada BESS 2,,,51.8324792,-8.2298695,coupled,95.0,AGHADA,57.14285714285714,not applied: placed from a neighbour,"bus 1062 is joined to bus 1052 (AGHADA_B) by a zero-impedance branch, so it is inside the same station"
1071,AGANNYGAL,1,AGANNYGAL,110,IE,way/200362903,Agannygal 110kV Substation,110,EirGrid,53.0367354,-8.5499195,exact,100.0,,,agrees,
1072,AGHT2102,1,AGHT2102,220,IE,way/104388599,Aghada 220kV Substation,,,51.8356384,-8.227215,coupled,95.0,OMAGH,46.15384615384615,not applied: placed from a neighbour,"bus 1072 is joined to bus 1041 (AGHADA) by the station's own transformer, so it is inside the same station"
1081,AHANE,1,AHANE,110,IE,way/208150180,Ahane 110kV Substation,110;20;10,EirGrid,52.6617276,-8.5076209,exact,100.0,,,agrees,
1091,ADAMSTOWN,1,ADAMSTOWN,110,IE,way/438027242,Adamstown 110kV Substation,110;20,EirGrid,53.3403233,-6.4790891,exact,100.0,,,agrees,
1101,ANNER,1,ANNER,110,IE,way/235794888,Anner 110kV Substation,110,EirGrid,52.3719788,-7.6492028,exact,100.0,,,agrees,
1121,ARKLOW,2,ARKLOW,220;110,IE,way/147525695,Arklow 220kV Substation,220;110;38;10,EirGrid,52.8151839,-6.147732,exact,100.0,,,agrees,
1122,ARKLOW,2,ARKLOW,220;110,IE,way/147525695,Arklow 220kV Substation,220;110;38;10,EirGrid,52.8151839,-6.147732,exact,100.0,,,agrees,
1131,ATHEA,1,ATHEA,110,IE,way/439831815,Athea Substation,110,EirGrid,52.43755,-9.3004089,exact,100.0,,,agrees,
1141,ATHLONE,1,ATHLONE,110,IE,way/1131166134,Athlone 110 kV Substation,110;38;10,EirGrid,53.4230436,-7.9745082,exact,100.0,,,agrees,
1161,AUGHINISH,1,AUGHINISH,110,IE,way/211196263,Aughinish 110kV Substation,110,EirGrid,52.6252455,-9.0514195,exact,100.0,,,agrees,
1181,ARVA,1,ARVA,110,IE,way/152415113,Arva 220kV Substation,220;110;20,EirGrid,53.9086252,-7.4943716,exact,100.0,,,agrees,
1201,ARTANE,1,ARTANE,110,IE,way/445314428,Artane 110kV Substation,110;10,EirGrid,53.382358,-6.2094672,exact,100.0,,,agrees,
1211,BALLYVOUSKIL,3,BALLYVOUSKIL,220;110,IE,way/547590959,Ballyvouskill 220kV Substation,220;110,EirGrid,52.0059847,-9.0797175,truncated,99.0,,,agrees,"PSS/E fills all twelve characters with 'BALLYVOUSKIL', a prefix of exactly one OSM name."
1212,BALLYVOUSKIL,3,BALLYVOUSKIL,220;110,IE,way/547590959,Ballyvouskill 220kV Substation,220;110,EirGrid,52.0059847,-9.0797175,truncated,99.0,,,agrees,"PSS/E fills all twelve characters with 'BALLYVOUSKIL', a prefix of exactly one OSM name."
1221,ATHY,1,ATHY,110,IE,way/143927977,Athy 110kV Substation,110;20;10,EirGrid,52.9934345,-6.9993402,exact,100.0,,,agrees,
1231,BALLYWATER,1,BALLYWATER,110,IE,way/143423158,Ballywater 110kV Substation,110,EirGrid,52.5378526,-6.2495207,exact,100.0,,,agrees,
1251,BOOLTIAGH,1,BOOLTIAGH,110,IE,way/212731351,Booltiagh 110 kV Substation,110;38;20,EirGrid,52.7756037,-9.240483,exact,100.0,,,agrees,
1271,BALTRASNA,1,BALTRASNA,110,IE,way/266052564,Baltrasna 110kV Substation,110;20,EirGrid,53.5454415,-6.4401389,exact,100.0,,,agrees,
1281,BALLYLICKEY,1,BALLYLICKEY,110,IE,way/237476488,Ballylickey 110kV Substation,110;38,EirGrid,51.7239932,-9.4296621,exact,100.0,,,agrees,
1301,BALLYBEG,1,BALLYBEG,110,IE,way/144584625,Ballybeg 110kV Substation,110;10,EirGrid,52.9909581,-6.0958665,exact,100.0,,,agrees,
1311,CORDAL,1,CORDAL,110,IE,way/819550308,Cordal 110kV Substation,110;33,EirGrid,52.2145657,-9.2855811,exact,100.0,,,agrees,
1321,BLAKE,2,BLAKE|BLAKE T,110,IE,way/265386067,Blake 110 kV Substation,110;38;10,EirGrid,53.2886399,-6.8812414,exact,100.0,,,agrees,
1331,BLUNDELSTOWN,1,BLUNDELSTOWN,110,IE,way/1125304097,Blundelstown 110 kV Substation,110,EirGrid,53.444432,-6.5335903,exact,100.0,,,agrees,
1341,BINBANE,1,BINBANE,110,IE,way/193416842,Binbane 110 kV Substation,110;38,EirGrid,54.7189369,-8.2634291,exact,100.0,,,agrees,2 objects share this name; only one is tagged at this station's voltage
1351,BARODA,1,BARODA,110,IE,way/455037784,Baroda 110kV Substation,110;38,EirGrid,53.1859251,-6.7752554,exact,100.0,,,agrees,
