station,method,osm,osm_name,osm_lat,osm_lon,eirgrid_lat,eirgrid_lon,distance_km,agrees
TANDRAGEE,exact,way/227767019,Tandragee 275kV Substation,54.3700948,-6.425216,54.057557573865,-6.588404001482856,36.33638599628058,False
STRABANE,exact,way/374848631,Strabane 110kV Substation,54.8524826,-7.4307015,54.85655472539477,-7.455469324960063,1.6487816101851802,True
CROMCASTLE,exact,way/822400580,Cromcastle 110kV Substation,53.4030295,-6.2276046,53.40023057131071,-6.216471327530737,0.8010121389687545,True
KILMORE,exact,way/697464731,Kilmore 110kV Substation,53.4013032,-6.2208175,53.40297001911609,-6.227517118425198,0.48126468229095215,True
NEWBURY,exact,way/820465119,Newbury 110kV Substation,53.3997557,-6.2162523,53.40143238390891,-6.220687010166894,0.3481357371163431,True
LONGPOINT,fuzzy,way/71762783,Aghada Power Station,51.8338841,-8.2332664,51.83410388311088,-8.237995336997962,0.3258529981407286,True
TULLABEG,prefix,way/1259120849,Tullabeg Solar Farm 110kV Substation,52.6126135,-6.3827622,52.61161010712725,-6.387116682694848,0.31446661806419857,True
ARDNACRUSHA,exact,way/200626863,Ardnacrusha 110kV Substation,52.7049873,-8.6163685,52.70592456903818,-8.613523300774938,0.21819325160117212,True
HUNTSTOWN,exact,way/374962479,Huntstown 220 kV Substation,53.4109851,-6.3249285,53.412549887871194,-6.326265822089077,0.19527223921197498,True
BANCROFT,exact,relation/17186059,Bancroft 110kV Substation,53.2948465,-6.3505969,53.29340620280953,-6.352055744254687,0.18721677536824188,True
RINGSEND,exact,way/359657275,Ringsend 110kV Substation,53.3397238,-6.2066748,53.34065552410174,-6.206477521415007,0.10442773558564042,True
WHITEBANK,exact,way/1346514561,Whitebank 110 kV substation,53.3398123,-6.1996317,53.33927817857905,-6.200897311925316,0.10289656449384182,True
KILL HILL,exact,way/521548109,Kill Hill 110kV Substation,52.5172741,-7.8209426,52.51645101351957,-7.820768895612354,0.09227481261780089,True
ROSSPILE,exact,way/1125145155,Rosspile 110 kV Substation,52.3018955,-6.7423279,52.302528057169624,-6.742968264014987,0.082723740018582,True
RYEBROOK,exact,way/235560256,Ryebrook 110kV Substation,53.3776928,-6.5224663,53.377683359595586,-6.523563815061956,0.07280797056058179,True
KNOCKUMBER,prefix,way/361725341,Knockumber (1) 110kV Substation,53.6555904,-6.7147404,53.6554009074933,-6.713798209526933,0.0655668576472065,True
GILRA,exact,way/215062045,Gilra 110kV Substation,53.9144475,-7.9859944,53.914764333534755,-7.985269093617975,0.059140943145053006,True
NORTH WALL,exact-name,way/37946568,North Wall Power Station,53.3498314,-6.211276,53.34951582993119,-6.211984931703565,0.05869877256988802,True
MACETOWN,exact,way/374960358,Macetown 110kV Substation,53.4142091,-6.4151251,53.41416933819796,-6.4142616139172315,0.05739821892277095,True
COOMATAGGART,exact,way/690725011,Coomataggart 110 kV Substation,51.8735614,-9.3145611,51.874022448143045,-9.314934289235051,0.057311552025104594,True
CLUTTERLAND,exact,way/1107158570,Clutterland 110 kV Substation,53.3179126,-6.4497145,53.31773746919553,-6.448906308382785,0.05710718456447436,True
PORTAN,exact,way/260836695,Portan Converter Station,53.4712157,-6.5675597,53.471469934422096,-6.566864837614676,0.05398398335520651,True
CORDAL,exact,way/819550308,Cordal 110kV Substation,52.2145657,-9.2855811,52.21424412141564,-9.28504676873131,0.05102830600362767,True
