circuit,extract_mw,full_mw,difference_mw
4041-5251-2,-47.497879558948284,-48.0,0.5021204410517157
4041-5241-1,-48.502120441051716,-48.00000000000006,-0.5021204410516589
1701-28712-2,23.88553708809617,23.878594218410257,0.006942869685914843
1341-5191-1,14.00797649627782,14.01224520059398,-0.004268704316160665
3591-5191-1,-11.00797649627782,-11.01224520059398,0.004268704316160665
3581-3591-1,-11.007976496277877,-11.012245200594009,0.0042687043161322435
1341-1701-1,-21.047976496277784,-21.052245200593916,0.0042687043161322435
2321-28710-1,-25.2088091706963,-25.204974460373208,-0.0038347103230904622
2321-3581-1,25.208809170696327,25.20497446037342,0.003834710322905721
1701-5041-1,-35.53656277354142,-35.53946401624205,0.002901242700630746
5041-17010-2,39.71472024785398,39.71181900517378,0.0029012426802026425
2870-17010-1,-23.88553708809617,-23.88821125348393,0.0026741653877593308
2871-28019-1,22.562265005493828,22.561831011502363,0.00043399399146437645
3581-28019-1,-22.562265005494808,-22.56183101150539,-0.00043399398941801337
1931-4981-1,59.887773702921606,59.8877737029033,1.830358087318018e-11
1931-4371-1,-59.887773702921606,-59.8877737029033,-1.830358087318018e-11
4041-4371-1,59.887773702921606,59.8877737029033,1.830358087318018e-11
4981-5041-1,20.019548396219747,20.019548396210553,9.194423000735696e-12
4981-5041-2,18.51687042943327,18.516870429424777,8.490985692333197e-12
2870-4091-1,-2.2737367544323206e-13,0.0,-2.2737367544323206e-13
1631-5041-1,0.9195893113733504,0.9195893113733788,-2.842170943040401e-14
1571-5191-1,-3.000000000000014,-3.0,-1.4210854715202004e-14
28710-51911-1,0.0,0.0,0.0
1701-1761-1,0.0,0.0,0.0
2321-4071-1,0.0,0.0,0.0
1631-2671-1,0.0,0.0,0.0
3581-5361-1,6.290000000000063,6.290000000000063,0.0
4991-5361-1,0.0,0.0,0.0
