route,circuits,km,rate1_mva,kinds
Ardnagappary - Tievebrack,1,35.0,91.0,line
Binbane - Cathaleen's Fall,1,34.3,178.0,line
Binbane - Tievebrack,1,23.2,134.0,line
Cathaleen's Fall - Cliff,1,5.5,68.0,line
Cathaleen's Fall - Clogher,2,26.07,356.0,line
Cathaleen's Fall - Srananagh 110,2,52.63,369.0,line
Clogher - Croaghonagh,1,9.61,183.0,line
Clogher - Drumkeen,1,27.0,103.0,line
Clogher - Golagh,1,0.25,177.0,line
Clogher - Mulreavy,1,7.69,136.0,line
Corderry - Garvagh,1,5.83,178.0,line
Corderry - Srananagh 110,1,12.7,178.0,line
Cunghill - Glenree,1,26.29,178.0,line
Cunghill - Sligo,1,21.1,178.0,line
Drumkeen - Letterkenny,1,8.35,99.0,line
Drumkeen - Meentycat,1,5.0,99.0,line
Glenree - Moy,1,13.96,105.0,line
Golagh - Letterkenny,1,38.4,99.0,line
Lenalea - Letterkenny,1,12.23,136.0,line
Lenalea - Tievebrack,1,33.13,136.0,line
Letterkenny - Trillick,1,34.05,105.0,line
Moy - Tawnaghmore,2,8.39,300.0,line
Sligo - Srananagh 110,2,11.19,198.0,line
Sorne Hill - Trillick,1,4.4,105.0,line
Srananagh 110 - Srananagh 220,1,0.0,250.0,transformer
