station,bus,outside_bus,outside_name,outside_kv,ckt,km,rate1_mva,element,into_region_mw
Cathaleen's Fall,1701,1981,CORRACLASSY,110.0,1,61.3,178.0,1701-1981-1,-3.5158707052013307
Corderry,2671,2661,AGHALEAGUE,110.0,1,0.1,140.0,2661-2671-1,0.0
Corderry,1631,10619,ARIGNA_T,110.0,1,13.68,178.0,1631-10619-1,2.8184791686749406
Glenree,4371,2601,FIRLOUGH,110.0,1,5.7,178.0,2601-4371-1,21.190951176519945
Letterkenny,3581,89516,STRA_PST,110.0,1,22.25,105.0,3581-89516-1,-33.55220904162151
Moy,4041,2601,FIRLOUGH,110.0,1,15.87,178.0,2601-4041-1,-21.19095117651989
Moy,4041,3691,LAGHTANVACK,110.0,1,29.13,178.0,3691-4041-1,62.71213443020163
Moy,4041,5341,TONROE,110.0,1,58.0,228.0,4041-5341-1,-28.031183253684617
Sligo,4981,2521,FLAGFORD,110.0,1,50.5,99.0,2521-4981-1,3.523725917282764
Srananagh 220,5042,2522,FLAGFORD,220.0,1,56.01,434.0,2522-5042-1,29.0249234843497
