name,v_nom,control,station_buses,folds_in
Ardnagappary,110.0,PQ,1571,
Binbane,110.0,PQ,1341,
Cathaleen's Fall,110.0,PQ,"1701,17010,17061",
Cliff,110.0,PQ,1761,
Clogher,110.0,PQ,"2870,2871,28710,28712",
Corderry,110.0,PQ,1631,
Croaghonagh,110.0,PQ,51911,
Cunghill,110.0,PQ,1931,
Drumkeen,110.0,PQ,2321,
Garvagh,110.0,PQ,2671,
Glenree,110.0,PQ,4371,
Golagh,110.0,PQ,"2801,28019",
Lenalea,110.0,PQ,3591,
Letterkenny,110.0,PQ,"3581,35861,35862",
Meentycat,110.0,PQ,4071,
Moy,110.0,PQ,"4041,40461,40462",
Mulreavy,110.0,PQ,4091,
Sligo,110.0,PQ,"4981,49861",
Sorne Hill,110.0,PQ,4991,
Srananagh 110,110.0,PQ,5041,
Srananagh 220,220.0,Slack,5042,
Tawnaghmore,110.0,PQ,"5241,5251",
Tievebrack,110.0,PQ,5191,
Trillick,110.0,PQ,5361,
