name,bus,control,p_nom,p_min_pu,p_max_pu,p_set,carrier,marginal_cost
Tawnaghmore generation,Tawnaghmore,PV,183.6,0.0,1.0,0.0,AC,0.0
Croaghonagh generation,Croaghonagh,PV,139.2,0.0,1.0,0.0,AC,0.0
Cathaleen's Fall generation,Cathaleen's Fall,PV,100.5,0.0,1.0,40.0,AC,0.0
Mulreavy generation,Mulreavy,PV,95.25,0.0,1.0,0.0,AC,0.0
Binbane generation,Binbane,PV,93.6,0.0,1.0,0.0,AC,0.0
Meentycat generation,Meentycat,PV,84.96,0.0,1.0,0.0,AC,0.0
Garvagh generation,Garvagh,PV,82.0,0.0,1.0,0.0,AC,0.0
Corderry generation,Corderry,PV,79.60300000000001,0.0,1.0,0.0,AC,0.0
Glenree generation,Glenree,PV,77.3,0.0,1.0,0.0,AC,0.0
Sorne Hill generation,Sorne Hill,PV,63.24999999999999,0.0,1.0,0.0,AC,0.0
Golagh generation,Golagh,PV,63.0,0.0,1.0,0.0,AC,0.0
Letterkenny generation,Letterkenny,PV,60.27,0.0,1.0,0.0,AC,0.0
Trillick generation,Trillick,PV,44.69,0.0,1.0,0.0,AC,0.0
Cunghill generation,Cunghill,PV,34.8,0.0,1.0,0.0,AC,0.0
Lenalea generation,Lenalea,PV,30.5,0.0,1.0,0.0,AC,0.0
Tievebrack generation,Tievebrack,PV,29.9,0.0,1.0,0.0,AC,0.0
Ardnagappary generation,Ardnagappary,PV,22.94,0.0,1.0,0.0,AC,0.0
Cliff generation,Cliff,PV,20.0,0.0,1.0,0.0,AC,0.0
Sligo generation,Sligo,PV,17.73,0.0,1.0,0.0,AC,0.0
Moy generation,Moy,PV,6.0,0.0,1.0,0.0,AC,0.0
boundary Cathaleen's Fall - CORRACLASSY 1,Cathaleen's Fall,PV,178.0,-0.019752082613490624,-0.019752082613490624,-3.5158707052013307,boundary,0.0
boundary Corderry - ARIGNA_T 1,Corderry,PV,178.0,0.015834152633005284,0.015834152633005284,2.8184791686749406,boundary,0.0
boundary Garvagh - AGHALEAGUE 1,Garvagh,PV,140.0,0.0,0.0,0.0,boundary,0.0
boundary Glenree - FIRLOUGH 1,Glenree,PV,178.0,0.11905028750853902,0.11905028750853902,21.190951176519945,boundary,0.0
boundary Letterkenny - STRA_PST 1,Letterkenny,PV,105.0,-0.319544848015443,-0.319544848015443,-33.55220904162151,boundary,0.0
boundary Moy - FIRLOUGH 1,Moy,PV,178.0,-0.1190502875085387,-0.1190502875085387,-21.19095117651989,boundary,0.0
boundary Moy - LAGHTANVACK 1,Moy,PV,178.0,0.3523153619674249,0.3523153619674249,62.71213443020163,boundary,0.0
boundary Moy - TONROE 1,Moy,PV,228.0,-0.12294378620037112,-0.12294378620037112,-28.031183253684617,boundary,0.0
boundary Sligo - FLAGFORD 1,Sligo,PV,99.0,0.03559319108366429,0.03559319108366429,3.523725917282764,boundary,0.0
boundary Srananagh 220 - FLAGFORD 1,Srananagh 220,Slack,434.0,-1.0,1.0,29.0249234843497,boundary,100.0
