station,machines,machines_in_service,capacity_mw,dispatched_mw,demand_mw,net_mw
Tawnaghmore,5,0,183.6,0.0,0.0,0.0
Croaghonagh,2,0,139.2,0.0,0.0,0.0
Mulreavy,4,0,95.25,0.0,0.0,0.0
Meentycat,3,0,84.96,0.0,0.0,0.0
Garvagh,3,0,82.0,0.0,0.0,0.0
Glenree,4,0,77.3,0.0,0.0,0.0
Binbane,14,1,75.1,4.3,18.71,-14.41
Corderry,11,0,63.253,0.0,0.0,0.0
Sorne Hill,10,0,63.24999999999999,0.0,0.0,0.0
Cathaleen's Fall,3,2,63.0,45.0,17.04,27.96
Trillick,6,0,44.69,0.0,20.07,-20.07
Letterkenny,6,0,40.27,0.0,66.08,-66.08
Cunghill,3,1,34.8,0.0,0.0,0.0
Lenalea,1,0,30.5,0.0,0.0,0.0
Ardnagappary,3,0,22.94,0.0,9.67,-9.67
Cliff,2,2,20.0,20.0,0.0,20.0
Golagh,2,0,15.0,0.0,0.0,0.0
Sligo,2,0,13.65,0.0,54.19,-54.19
Moy,1,0,6.0,0.0,26.88,-26.88
Clogher,0,0,0.0,0.0,0.0,0.0
Drumkeen,0,0,0.0,0.0,0.0,0.0
Srananagh 110,0,0,0.0,0.0,0.0,0.0
Srananagh 220,0,0,0.0,0.0,0.0,0.0
Tievebrack,0,0,0.0,0.0,0.0,0.0
