station,bus,outside_bus,outside_name,outside_kv,ckt,km,rate1_mva,element,into_region_mw
Cathaleen's Fall,1701,1981,CORRACLASSY,110.0,1,61.3,210.0,1701-1981-1,-13.377443651651696
Corderry,1631,10619,ARIGNA_T,110.0,1,13.68,210.0,1631-10619-1,2.881277757199939
Garvagh,2671,2661,AGHALEAGUE,110.0,1,0.1,140.0,2661-2671-1,4.0
Glenree,4371,2601,FIRLOUGH,110.0,1,5.7,210.0,2601-4371-1,59.49511936374665
Letterkenny,3581,89516,STRA_PST,110.0,1,22.25,123.0,3581-89516-1,-69.45920482487794
Moy,4041,2601,FIRLOUGH,110.0,1,15.87,210.0,2601-4041-1,-51.93511936374648
Moy,4041,3691,LAGHTANVACK,110.0,1,29.13,192.0,3691-4041-1,62.96401700312879
Moy,4041,5341,TONROE,110.0,1,58.0,228.0,4041-5341-1,-83.34889763939498
Sligo,4981,2521,FLAGFORD,110.0,1,50.5,121.0,2521-4981-1,10.222757447002977
Srananagh 220,5042,2522,FLAGFORD,220.0,1,56.01,513.0,2522-5042-1,43.25649390862111
