route,circuits,km,rate1_mva,kinds
Ardnagappary - Tievebrack,1,35.0,91.0,line
Binbane - Cathaleen's Fall,1,34.3,210.0,line
Binbane - Tievebrack,1,23.2,159.0,line
Cathaleen's Fall - Cliff,1,5.5,68.0,line
Cathaleen's Fall - Clogher,2,26.07,419.0,line
Cathaleen's Fall - Srananagh 110,2,52.63,401.0,line
Clogher - Croaghonagh,1,9.61,183.0,line
Clogher - Drumkeen,1,27.0,123.0,line
Clogher - Golagh,2,4.0,340.0,line
Clogher - Mulreavy,1,7.69,136.0,line
Corderry - Garvagh,1,5.83,210.0,line
Corderry - Srananagh 110,1,12.7,210.0,line
Cunghill - Glenree,1,26.29,210.0,line
Cunghill - Sligo,1,21.1,210.0,line
Drumkeen - Letterkenny,1,8.35,123.0,line
Drumkeen - Meentycat,1,5.0,121.0,line
Golagh - Letterkenny,1,38.4,121.0,line
Lenalea - Letterkenny,1,12.23,159.0,line
Lenalea - Tievebrack,1,33.13,159.0,line
Letterkenny - Trillick,1,34.05,123.0,line
Moy - Tawnaghmore,2,8.39,340.0,line
Sligo - Srananagh 110,2,11.19,246.0,line
Sorne Hill - Trillick,1,4.4,123.0,line
Srananagh 110 - Srananagh 220,1,0.0,250.0,transformer
