name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
10-LD,3781,AC,23.45,-1.95,10,F_M,True
11-LD,3781,AC,21.03,-1.94,11,FMN LOOP,True
12-LD,2541,AC,15.2,0.34,12,BEDFORD ROW,True
13-LD,4651,AC,23.5,-0.8,13,M_R,True
14-LD,3081,AC,18.0,1.42,14,F_I,True
15-LD,3871,AC,18.1,0.1,15,I_M,True
1101-I,1101,AC,14.0,6.9,1101,ANNER,False
4341-I,4341,AC,0.3,0.1,4341,OLDCOURT,False
10204-LD,1021,AC,23.17,1.42,10204,ARDNACRUSHA,True
10205-LD,1021,AC,10.0,1.0,10205,ARDNACRUSHA,True
10602-LD,1061,AC,1.2,-0.56,10602,ARIGNA,True
10801-LD,1081,AC,1.44,-0.57,10801,AHANE,True
10902-I,1091,AC,9.5,3.12,10902,ADAMSTOWN,True
10902-LD,1091,AC,3.0,0.5,10902,ADAMSTOWN,True
11201-LD,1121,AC,2.36,-0.02,11201,ARKLOW,True
11204-LD,1121,AC,20.0,-10.48,11204,BIO_ARKLOW,True
11404-LD,1141,AC,25.72,-4.93,11404,ATHLONE,True
12001-LD,1201,AC,3.69,-0.71,12001,ARTANE,True
12201-LD,1221,AC,6.28,0.56,12201,ATHY,True
12702-LD,1271,AC,5.0,-1.41,12702,BALTRASNA,True
12804-LD,1281,AC,5.2,-3.47,12804,HY_BALLYLICK,True
13001-LD,1301,AC,4.44,-0.94,13001,BALLYBEG,True
13204-LD,1321,AC,7.06,-0.09,13204,BLAKE,True
13404-LD,1341,AC,7.04,-0.67,13404,HY_BINBANE,True
13501-I,1351,AC,5.26,0.82,13501,BARODA,True
13601-I,1361,AC,5.99,1.67,13601,BALLYDINE,True
13604-LD,1361,AC,3.45,0.43,13604,BALLYDINE,True
13702-I,1371,AC,14.91,1.64,13702,BARNAGEERAGH,True
13802-LD,1381,AC,19.96,3.85,13802,BARNAHELY,True
13804-LD,1381,AC,6.65,1.28,13804,BARNAHELY,True
13812-LD,13810,AC,3.69,0.71,13812,BARNAHELY,True
14004-LD,1401,AC,1.93,-0.4,14004,BELLACORICK,True
14102-I,1411,AC,56.94,2.55,14102,AIRTON,True
14204-LD,1421,AC,20.13,6.3,14204,BLACKROCK,True
14304-LD,1431,AC,8.05,1.75,14304,BALLYRAGGET,True
14401-LD,1441,AC,3.42,0.16,14401,BANDON,True
14404-LD,1441,AC,15.04,-0.35,14404,HY_BANDON,True
14502-I,1451,AC,71.0,9.5,14502,CLOGHRAN,True
14604-LD,1461,AC,14.27,-2.52,14604,BARRYMORE,True
14804-LD,1481,AC,14.83,-0.21,14804,BUTLERSTOWN,True
15001-I,1501,AC,3.95,0.98,15001,BRINNY,True
15202-I,1522,AC,127.74,8.09,15202,CLONEE,True
15402-LD,1541,AC,3.0,-0.01,15402,BANOGE,True
15602-I,1561,AC,30.0,0.0,15602,COOLDERRIG,True
15704-LD,1571,AC,3.0,0.7,15704,ARDNAGAPPARY,True
15801-LD,1581,AC,3.87,1.22,15801,CABRA,True
16202-LD,1621,AC,4.75,0.0,16202,COOLROE,True
16604-LD,1661,AC,9.0,0.0,16604,CASTLEBAR,True
16901-LD,1691,AC,4.19,-0.9,16901,CENTRAL PARK,True
17004-LD,17010,AC,6.0,1.0,17004,HY_CATH FALL,True
17204-LD,1721,AC,9.52,-0.11,17204,CAHIR,True
17404-LD,1741,AC,22.37,1.4,17404,CARRICKMINES,True
17802-I,1781,AC,50.8,24.52,17802,CASTLEFARM,True
18001-LD,1801,AC,7.29,0.5,18001,COOKSTOWN,True
18004-LD,18010,AC,16.0,4.28,18004,COOKSTOWN,True
18101-I,1810,AC,117.29,12.91,18101,DARNDALE,True
18102-I,1811,AC,37.92,2.4,18102,CLUTTERLAND,True
18204-LD,1821,AC,11.89,-1.11,18204,CLOON,True
18304-LD,1831,AC,7.0,-2.85,18304,SCREEB,True
18402-LD,1841,AC,4.17,-0.4,18402,CRANE,True
18404-LD,1841,AC,7.54,-1.63,18404,CRANE,True
18504-LD,1851,AC,6.0,0.0,18504,CHERRYWOOD,True
18604-LD,1861,AC,9.02,-0.02,18604,CARRICK ON S,True
18701-LD,1871,AC,21.56,1.63,18701,COLLEGE PARK,True
18804-LD,1881,AC,5.74,-0.64,18804,CHARLEVILLE,True
19004-LD,1901,AC,22.29,-6.25,19004,HY_CARLOW,True
19204-LD,1921,AC,4.0,0.05,19204,COW_CROSS,True
19504-LD,1951,AC,9.66,-0.69,19504,CARROWBEG,True
19601-LD,1961,AC,14.48,1.85,19601,CASTLEVIEW,True
20201-LD,2021,AC,10.87,3.57,20201,CITY WEST,True
20402-LD,2041,AC,11.42,1.21,20402,CORDUFF,True
20701-I,2072,AC,66.93,3.0,20701,CRUISERATH,True
21004-LD,2101,AC,18.93,-0.18,21004,DUNDALK,True
21204-LD,2121,AC,9.27,0.2,21204,DRUMLINE,True
21404-LD,2141,AC,14.88,-2.27,21404,DUNGARVAN,True
21604-LD,2161,AC,10.27,0.01,21604,DOON,True
21804-LD,2181,AC,29.61,-7.02,21804,DRYBRIDGE,True
22208-LD,2225,AC,12.93,-1.78,22208,DUNMANWAY,True
22404-LD,2241,AC,4.66,-1.1,22404,DALLOW,True
22501-LD,2251,AC,7.0,2.31,22501,DARDISTOWN,True
22804-LD,22811,AC,10.91,-1.5,22804,HY_DALTON,True
23002-LD,2301,AC,3.12,-0.05,23002,DUNFIRTH,True
23601-LD,2361,AC,4.0,0.5,23601,ENNIS,True
23604-LD,2361,AC,12.59,-0.02,23604,ENNIS,True
24202-I,2421,AC,124.88,5.59,24202,CORKAGH,True
24804-LD,2481,AC,19.69,0.16,24804,FASSAROE,True
25604-LD,2571,AC,20.56,-2.18,25604,FINGLAS,True
25901-LD,2591,AC,6.09,-0.21,25901,FORTUNESTOWN,True
26802-I,2681,AC,11.42,2.83,26802,GILRA,True
27004-LD,2701,AC,27.85,9.0,27004,GLASMORE,True
27204-LD,2721,AC,24.15,-0.06,27204,GRIFFINRATH,True
27404-LD,2741,AC,6.87,0.21,27404,GREAT ISLAND,True
27604-LD,2761,AC,22.59,2.57,27604,GRANGE,True
27801-LD,2781,AC,3.91,0.0,27801,GALWAY,True
27804-LD,2781,AC,23.12,-4.25,27804,GALWAY,True
28201-I,2821,AC,22.8,7.49,28201,GORTAWEE,True
28204-LD,2821,AC,6.57,1.01,28204,GORTAWEE,True
28601-LD,2861,AC,14.99,0.11,28601,GRANGE CASTL,True
28604-LD,2861,AC,16.89,-2.14,28604,GRANGE CASTL,True
28804-LD,2881,AC,8.06,0.63,28804,GLENLARA,True
29401-LD,2941,AC,6.27,2.04,29401,HAROLDS CROS,True
29501-LD,2951,AC,6.3,0.95,29501,HEUSTON SQUA,True
30804-LD,3091,AC,20.45,2.5,30804,INCHICORE,True
31004-LD,3101,AC,10.06,3.01,31004,IKERRIN,True
32201-LD,3221,AC,4.5,0.0,32201,KILBARRY,True
32204-LD,3221,AC,21.09,-6.35,32204,KILBARRY,True
32404-LD,3241,AC,9.66,-1.38,32404,KILTEEL,True
32604-LD,3261,AC,15.23,-0.96,32604,HY_KILKENNY,True
33004-LD,3301,AC,15.7,-3.85,33004,KNOCKEARAGH,True
33201-I,3321,AC,23.66,10.99,33201,KNOCKUMBER,True
33502-I,3352,AC,114.0,37.47,33502,KELLYSTOWN,True
33801-I,3381,AC,10.19,2.44,33801,KINNEGAD,True
34001-LD,3401,AC,5.7,0.48,34001,KILLOTERAN,True
34301-I,3431,AC,29.61,4.82,34301,KILMAHUD,True
35004-LD,3501,AC,5.13,-0.09,35004,LANESBORO,True
35404-LD,3541,AC,33.84,-0.02,35404,LIMERICK,True
35604-LD,3561,AC,11.0,2.88,35604,LISDRUM,True
35804-LD,3581,AC,17.68,-2.73,35804,LETTERKENNY,True
