name,bus0,bus1,x,r,s_nom,tap_ratio,phase_shift,sub_network,s_nom_source,psse_ckt
T1742-17431-1,1742,17431,0.1015,0.0,350.0,1.0,0.0,0,RATE1,1
T3662-36671-1,3662,36671,0.024,0.0,582.0,1.0,0.0,0,RATE1,1
T54640-54630-1,54640,54630,0.024,0.0,582.0,1.0,0.0,0,RATE1,1
T79010-79015-1,79010,79015,0.026625,0.0024625,125.0,1.0,3.0,0,RATE1,1
T79015-79016-1,79015,79016,0.026625,0.0,125.0,1.0003,0.0,0,RATE1,1
T79015-79017-1,79015,79017,0.12375,0.0,125.0,1.0,0.0,0,RATE1,1
T86220-86280-1,86220,86280,0.0701,0.0,100.0,1.0,0.0,0,RATE1,1
T86220-86280-2,86220,86280,0.0701,0.0,100.0,1.0,0.0,0,RATE1,2
T89510-89515-1,89510,89515,0.026625,0.0024625,125.0,1.0,12.0,0,RATE1,1
T89515-89516-1,89515,89516,0.026625,0.0,125.0,1.0003,0.0,0,RATE1,1
T89515-89517-1,89515,89517,0.12375,0.0,125.0,1.0,0.0,0,RATE1,1
T1072-1041-10421-2-w1,star:1072-1041-10421-2,1072,0.139375,-0.0003125,125.0,1.0,-0.0,0,RATE1,2
T1072-1041-10421-2-w2,star:1072-1041-10421-2,1041,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T1122-1121-11221-1-w1,star:1122-1121-11221-1,1122,0.105525,0.0036225,63.0,1.0,-0.0,0,RATE1,1
T1122-1121-11221-1-w2,star:1122-1121-11221-1,1121,0.12487499999999997,0.012487500000000007,999.0,1.0,-0.0,0,RATE1,1
T1122-1121-11222-2-w1,star:1122-1121-11222-2,1122,0.139,0.0010625,125.0,1.015228426395939,-0.0,0,RATE1,2
T1122-1121-11222-2-w2,star:1122-1121-11222-2,1121,0.12487499999999997,0.012487499999999999,999.0,1.0,-0.0,0,RATE1,2
T1212-1211-12121-1-w1,star:1212-1211-12121-1,1212,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,1
T1212-1211-12121-1-w2,star:1212-1211-12121-1,1211,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T1212-12111-12122-2-w1,star:1212-12111-12122-2,1212,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,2
T1212-12111-12122-2-w2,star:1212-12111-12122-2,12111,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T1472-1471-14721-1-w1,star:1472-1471-14721-1,1472,0.13025,-0.000625,250.0,1.0,-0.0,0,RATE1,1
