name,bus,control,p_nom,p_min_pu,p_max_pu,carrier,marginal_cost,p_set_tytfs
boundary Cathaleen's Fall - CORRACLASSY 1,Cathaleen's Fall,PV,178.0,-0.019752082613490624,-0.019752082613490624,boundary,0.0,-3.5158707052013307
boundary Corderry - AGHALEAGUE 1,Corderry,PV,140.0,0.0,0.0,boundary,0.0,0.0
boundary Corderry - ARIGNA_T 1,Corderry,PV,178.0,0.015834152633005284,0.015834152633005284,boundary,0.0,2.8184791686749406
boundary Glenree - FIRLOUGH 1,Glenree,PV,178.0,0.11905028750853902,0.11905028750853902,boundary,0.0,21.190951176519945
boundary Letterkenny - STRA_PST 1,Letterkenny,PV,105.0,-0.319544848015443,-0.319544848015443,boundary,0.0,-33.55220904162151
boundary Moy - FIRLOUGH 1,Moy,PV,178.0,-0.1190502875085387,-0.1190502875085387,boundary,0.0,-21.19095117651989
boundary Moy - LAGHTANVACK 1,Moy,PV,178.0,0.3523153619674249,0.3523153619674249,boundary,0.0,62.71213443020163
boundary Moy - TONROE 1,Moy,PV,228.0,-0.12294378620037112,-0.12294378620037112,boundary,0.0,-28.031183253684617
boundary Sligo - FLAGFORD 1,Sligo,PV,99.0,0.03559319108366429,0.03559319108366429,boundary,0.0,3.523725917282764
boundary Srananagh 220 - FLAGFORD 1,Srananagh 220,Slack,434.0,-1.0,1.0,boundary,100.0,29.0249234843497
Moy unknown,Moy,PV,153.6,0.0,1.0,unknown,60.0,0.0
Moy wind,Moy,PV,36.0,0.0,1.0,wind,0.0,0.0
Corderry wind,Corderry,PV,161.603,0.0,1.0,wind,0.0,0.0
Clogher unknown,Clogher,PV,60.0,0.0,1.0,unknown,60.0,0.0
Clogher wind,Clogher,PV,98.25,0.0,1.0,wind,0.0,0.0
Croaghonagh wind,Croaghonagh,PV,139.2,0.0,1.0,wind,0.0,0.0
Cathaleen's Fall hydro,Cathaleen's Fall,PV,65.5,0.0,1.0,hydro,1.0,40.0
Cathaleen's Fall wind,Cathaleen's Fall,PV,55.0,0.0,1.0,wind,0.0,0.0
Binbane hydro,Binbane,PV,4.3,0.0,1.0,hydro,1.0,0.0
Binbane wind,Binbane,PV,89.3,0.0,1.0,wind,0.0,0.0
Letterkenny wind,Letterkenny,PV,90.77000000000001,0.0,1.0,wind,0.0,0.0
Drumkeen wind,Drumkeen,PV,84.96,0.0,1.0,wind,0.0,0.0
Glenree wind,Glenree,PV,77.3,0.0,1.0,wind,0.0,0.0
Sorne Hill wind,Sorne Hill,PV,63.24999999999999,0.0,1.0,wind,0.0,0.0
Sligo wind,Sligo,PV,52.529999999999994,0.0,1.0,wind,0.0,0.0
Trillick wind,Trillick,PV,44.69,0.0,1.0,wind,0.0,0.0
Tievebrack wind,Tievebrack,PV,29.9,0.0,1.0,wind,0.0,0.0
Ardnagappary wind,Ardnagappary,PV,22.94,0.0,1.0,wind,0.0,0.0
shed Ardnagappary,Ardnagappary,PQ,6.608935331060957,0.0,1.0,load shedding,10000.0,
shed Binbane,Binbane,PQ,15.516630777273551,0.0,1.0,load shedding,10000.0,
shed Cathaleen's Fall,Cathaleen's Fall,PQ,13.217870662121914,0.0,1.0,load shedding,10000.0,
shed Letterkenny,Letterkenny,PQ,38.968404644349384,0.0,1.0,load shedding,10000.0,
shed Moy,Moy,PQ,29.81757110903422,0.0,1.0,load shedding,10000.0,
shed Sligo,Sligo,PQ,43.322786785550086,0.0,1.0,load shedding,10000.0,
shed Trillick,Trillick,PQ,13.858871078846889,0.0,1.0,load shedding,10000.0,
