,snapshot,objective,stores,generators
0,2030-07-05 17:00:00,1.0,1.0,1.0
1,2030-07-05 18:00:00,1.0,1.0,1.0
2,2030-07-05 19:00:00,1.0,1.0,1.0
3,2030-07-05 20:00:00,1.0,1.0,1.0
4,2030-07-05 21:00:00,1.0,1.0,1.0
5,2030-07-05 22:00:00,1.0,1.0,1.0
6,2030-07-05 23:00:00,1.0,1.0,1.0
7,2030-07-06 00:00:00,1.0,1.0,1.0
8,2030-07-06 01:00:00,1.0,1.0,1.0
9,2030-07-06 02:00:00,1.0,1.0,1.0
10,2030-07-06 03:00:00,1.0,1.0,1.0
11,2030-07-06 04:00:00,1.0,1.0,1.0
12,2030-07-06 05:00:00,1.0,1.0,1.0
13,2030-07-06 06:00:00,1.0,1.0,1.0
14,2030-07-06 07:00:00,1.0,1.0,1.0
15,2030-07-06 08:00:00,1.0,1.0,1.0
16,2030-07-06 09:00:00,1.0,1.0,1.0
17,2030-07-06 10:00:00,1.0,1.0,1.0
18,2030-07-06 11:00:00,1.0,1.0,1.0
19,2030-07-06 12:00:00,1.0,1.0,1.0
20,2030-07-06 13:00:00,1.0,1.0,1.0
21,2030-07-06 14:00:00,1.0,1.0,1.0
22,2030-07-06 15:00:00,1.0,1.0,1.0
23,2030-07-06 16:00:00,1.0,1.0,1.0
24,2030-07-06 17:00:00,1.0,1.0,1.0
25,2030-07-06 18:00:00,1.0,1.0,1.0
26,2030-07-06 19:00:00,1.0,1.0,1.0
27,2030-07-06 20:00:00,1.0,1.0,1.0
28,2030-07-06 21:00:00,1.0,1.0,1.0
29,2030-07-06 22:00:00,1.0,1.0,1.0
30,2030-07-06 23:00:00,1.0,1.0,1.0
31,2030-07-07 00:00:00,1.0,1.0,1.0
32,2030-07-07 01:00:00,1.0,1.0,1.0
33,2030-07-07 02:00:00,1.0,1.0,1.0
34,2030-07-07 03:00:00,1.0,1.0,1.0
35,2030-07-07 04:00:00,1.0,1.0,1.0
36,2030-07-07 05:00:00,1.0,1.0,1.0
37,2030-07-07 06:00:00,1.0,1.0,1.0
38,2030-07-07 07:00:00,1.0,1.0,1.0
39,2030-07-07 08:00:00,1.0,1.0,1.0
