name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,coordinate_source,has_coordinates
1021,110.0,-8.6163685,52.7049873,1.07114,PQ,10271-1,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,0.3855,geocoded,True
1041,110.0,-8.227215,51.8356384,1.06492,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,9.1349,geocoded,True
1042,220.0,-8.227215,51.8356384,1.06,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,13.7731,geocoded,True
1052,220.0,-8.2298695,51.8324792,1.06,PQ,10472-11,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,13.7731,geocoded,True
1061,110.0,-8.0755119,54.0945702,1.11127,PQ,,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,-13.1098,geocoded,True
1062,220.0,-8.2298695,51.8324792,1.06,PQ,10474-14,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,13.7731,geocoded,True
1071,110.0,-8.5499195,53.0367354,1.08611,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,-1.084,geocoded,True
1072,220.0,-8.227215,51.8356384,1.05995,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,13.7505,geocoded,True
1081,110.0,-8.5076209,52.6617276,1.06966,PQ,,0,AHANE,AHANE,1.0,8.0,8.0,IE,1.0203,geocoded,True
1091,110.0,-6.4790891,53.3403233,1.0545,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-9.2247,geocoded,True
1101,110.0,-7.6492028,52.3719788,1.0617,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,-2.065,geocoded,True
1121,110.0,-6.147732,52.8151839,1.06824,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,-4.3123,geocoded,True
1122,220.0,-6.147732,52.8151839,1.05964,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,-2.2377,geocoded,True
1131,110.0,-9.3004089,52.43755,1.09236,PQ,,0,ATHEA,ATHEA,1.0,5.0,5.0,IE,4.7469,geocoded,True
1141,110.0,-7.9745082,53.4230436,1.11155,PQ,,0,ATHLONE,ATHLONE,1.0,3.0,3.0,IE,-5.6895,geocoded,True
1161,110.0,-9.0514195,52.6252455,1.05,PQ,,0,AUGHINISH,AUGHINISH,1.0,5.0,5.0,IE,5.2788,geocoded,True
1181,110.0,-7.4943716,53.9086252,1.0755,PQ,,0,ARVA,ARVA,1.0,7.0,7.0,IE,-14.083,geocoded,True
1201,110.0,-6.2094672,53.382358,1.0577,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,-5.4065,geocoded,True
1211,110.0,-9.0797175,52.0059847,1.05,PQ,12101-XX,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,6.7548,geocoded,True
1212,220.0,-9.0797175,52.0059847,1.0621,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,6.7535,geocoded,True
1221,110.0,-6.9993402,52.9934345,1.04903,PQ,,0,ATHY,ATHY,1.0,11.0,11.0,IE,-5.5909,geocoded,True
1231,110.0,-6.2495207,52.5378526,1.07199,PQ,,0,BALLYWATER,BALLYWATER,1.0,9.0,9.0,IE,-2.947,geocoded,True
