name,bus,control,p_nom,p_min_pu,p_max_pu,carrier,marginal_cost,p_set_tytfs
boundary Cathaleen's Fall - CORRACLASSY 1,Cathaleen's Fall,PV,210.0,0.03887643212984535,0.03887643212984535,boundary,0.0,8.164050747267524
boundary Corderry - ARIGNA_T 1,Corderry,PV,210.0,0.08509788498544518,0.08509788498544518,boundary,0.0,17.87055584694349
boundary Letterkenny - STRA_PST 1,Letterkenny,PV,93.0,-0.22014970016789814,-0.22014970016789814,boundary,0.0,-20.473922115614528
boundary Moy - BELLACORICK 1,Moy,PV,210.0,0.09758143055203204,0.09758143055203204,boundary,0.0,20.49210041592673
boundary Sligo - FLAGFORD 1,Sligo,PV,121.0,0.20131614338453976,0.20131614338453976,boundary,0.0,24.35925334952931
boundary Srananagh 220 - FLAGFORD 1,Srananagh 220,Slack,513.0,-1.0,1.0,boundary,100.0,92.92796175599005
Moy unknown,Moy,PV,153.6,0.0,1.0,unknown,60.0,0.0
Moy wind,Moy,PV,36.0,0.0,1.0,wind,0.0,0.0
Corderry wind,Corderry,PV,145.253,0.0,1.0,wind,0.0,0.0
Croaghonagh wind,Croaghonagh,PV,139.2,0.0,1.0,wind,0.0,0.0
Clogher wind,Clogher,PV,110.25,0.0,1.0,wind,0.0,0.0
Drumkeen wind,Drumkeen,PV,84.96,0.0,1.0,wind,0.0,0.0
Cathaleen's Fall hydro,Cathaleen's Fall,PV,65.5,0.0,1.0,hydro,1.0,65.0
Cathaleen's Fall wind,Cathaleen's Fall,PV,17.5,0.0,1.0,wind,0.0,0.0
Glenree wind,Glenree,PV,77.3,0.0,1.0,wind,0.0,0.0
Binbane hydro,Binbane,PV,4.3,0.0,1.0,hydro,1.0,4.3
Binbane wind,Binbane,PV,70.8,0.0,1.0,wind,0.0,0.0
Letterkenny wind,Letterkenny,PV,70.77000000000001,0.0,1.0,wind,0.0,0.0
Sorne Hill wind,Sorne Hill,PV,63.24999999999999,0.0,1.0,wind,0.0,0.0
Sligo wind,Sligo,PV,48.449999999999996,0.0,1.0,wind,0.0,0.0
Trillick wind,Trillick,PV,44.69,0.0,1.0,wind,0.0,0.0
Ardnagappary wind,Ardnagappary,PV,22.94,0.0,1.0,wind,0.0,0.0
shed Ardnagappary,Ardnagappary,PQ,14.504999999999999,0.0,1.0,load shedding,10000.0,
shed Binbane,Binbane,PQ,28.065,0.0,1.0,load shedding,10000.0,
shed Cathaleen's Fall,Cathaleen's Fall,PQ,25.56,0.0,1.0,load shedding,10000.0,
shed Letterkenny,Letterkenny,PQ,99.12,0.0,1.0,load shedding,10000.0,
shed Moy,Moy,PQ,40.32,0.0,1.0,load shedding,10000.0,
shed Sligo,Sligo,PQ,81.285,0.0,1.0,load shedding,10000.0,
shed Trillick,Trillick,PQ,30.105,0.0,1.0,load shedding,10000.0,
