name,bus0,bus1,x,r,b,s_nom,length,carrier,sub_network,s_nom_source,psse_ckt
1021-2121-1,1021,2121,7.634010999999999,3.31661,4.9999999999999996e-05,121.0,18.15,AC,0,RATE1,1
1021-2341-1,1021,2341,2.7709,0.5929000000000001,0.0019173553719008267,192.0,21.0,AC,0,RATE1,1
1021-2361-1,1021,2361,13.410187999999998,5.851318,9.900826446280991e-05,121.0,32.32,AC,0,RATE1,1
1021-3541-1,1021,3541,4.476999999999999,0.8591,9.586776859504131e-05,210.0,11.7,AC,0,RATE1,1
1021-10210-1,1021,10210,0.012100000000000001,0.0,0.0,999.0,0.0,AC,0,RATE1,1
1021-10261-1,1021,10261,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
1031-1181-1,1031,1181,20.6668,4.0051,0.00016528925619834712,210.0,52.6,AC,0,RATE1,1
1031-4221-1,1031,4221,20.6668,4.0051,0.00016528925619834712,210.0,52.6,AC,0,RATE1,1
1041-5481-1,1041,5481,1.2947,0.5929000000000001,8.264462809917356e-06,121.0,3.1,AC,0,RATE1,1
1042-1052-1,1042,1052,0.048400000000000006,0.0,0.0,593.0,0.0,AC,0,RATE1,1
1042-1072-1,1042,1072,0.29039999999999994,0.048400000000000006,7.933884297520661e-05,593.0,1.4,AC,0,RATE1,1
1042-3202-1,1042,3202,10.584596000000001,1.4500640000000002,7.121900826446281e-05,468.0,25.6,AC,0,RATE1,1
1042-4722-1,1042,4722,4.407788,0.528528,0.000520206611570248,513.0,14.39,AC,0,RATE1,1
1042-10422-1,1042,10422,0.19360000000000002,0.048400000000000006,5.475206611570248e-05,574.0,0.97,AC,0,RATE1,1
1052-1062-1,1052,1062,0.048400000000000006,0.0,0.0,999.0,0.0,AC,0,RATE1,1
1052-2852-1,1052,2852,0.7260000000000001,0.09680000000000001,0.00021384297520661157,573.0,3.78,AC,0,RATE1,1
1052-3202-2,1052,3202,10.7448,1.4520000000000002,6.921487603305785e-05,468.0,25.6,AC,0,RATE1,2
1061-10619-1,1061,10619,0.09680000000000001,0.048400000000000006,8.264462809917356e-07,123.0,0.21,AC,0,RATE1,1
