,snapshot,objective,stores,generators
0,2030-01-14 06:00:00,1.0,1.0,1.0
1,2030-01-14 07:00:00,1.0,1.0,1.0
2,2030-01-14 08:00:00,1.0,1.0,1.0
3,2030-01-14 09:00:00,1.0,1.0,1.0
4,2030-01-14 10:00:00,1.0,1.0,1.0
5,2030-01-14 11:00:00,1.0,1.0,1.0
6,2030-01-14 12:00:00,1.0,1.0,1.0
7,2030-01-14 13:00:00,1.0,1.0,1.0
8,2030-01-14 14:00:00,1.0,1.0,1.0
9,2030-01-14 15:00:00,1.0,1.0,1.0
10,2030-01-14 16:00:00,1.0,1.0,1.0
11,2030-01-14 17:00:00,1.0,1.0,1.0
12,2030-01-14 18:00:00,1.0,1.0,1.0
13,2030-01-14 19:00:00,1.0,1.0,1.0
14,2030-01-14 20:00:00,1.0,1.0,1.0
15,2030-01-14 21:00:00,1.0,1.0,1.0
16,2030-01-14 22:00:00,1.0,1.0,1.0
17,2030-01-14 23:00:00,1.0,1.0,1.0
18,2030-01-15 00:00:00,1.0,1.0,1.0
19,2030-01-15 01:00:00,1.0,1.0,1.0
20,2030-01-15 02:00:00,1.0,1.0,1.0
21,2030-01-15 03:00:00,1.0,1.0,1.0
22,2030-01-15 04:00:00,1.0,1.0,1.0
23,2030-01-15 05:00:00,1.0,1.0,1.0
24,2030-01-15 06:00:00,1.0,1.0,1.0
25,2030-01-15 07:00:00,1.0,1.0,1.0
26,2030-01-15 08:00:00,1.0,1.0,1.0
27,2030-01-15 09:00:00,1.0,1.0,1.0
28,2030-01-15 10:00:00,1.0,1.0,1.0
29,2030-01-15 11:00:00,1.0,1.0,1.0
30,2030-01-15 12:00:00,1.0,1.0,1.0
31,2030-01-15 13:00:00,1.0,1.0,1.0
32,2030-01-15 14:00:00,1.0,1.0,1.0
33,2030-01-15 15:00:00,1.0,1.0,1.0
34,2030-01-15 16:00:00,1.0,1.0,1.0
35,2030-01-15 17:00:00,1.0,1.0,1.0
36,2030-01-15 18:00:00,1.0,1.0,1.0
37,2030-01-15 19:00:00,1.0,1.0,1.0
38,2030-01-15 20:00:00,1.0,1.0,1.0
39,2030-01-15 21:00:00,1.0,1.0,1.0
40,2030-01-15 22:00:00,1.0,1.0,1.0
41,2030-01-15 23:00:00,1.0,1.0,1.0
42,2030-01-16 00:00:00,1.0,1.0,1.0
43,2030-01-16 01:00:00,1.0,1.0,1.0
44,2030-01-16 02:00:00,1.0,1.0,1.0
45,2030-01-16 03:00:00,1.0,1.0,1.0
46,2030-01-16 04:00:00,1.0,1.0,1.0
47,2030-01-16 05:00:00,1.0,1.0,1.0
48,2030-01-16 06:00:00,1.0,1.0,1.0
49,2030-01-16 07:00:00,1.0,1.0,1.0
50,2030-01-16 08:00:00,1.0,1.0,1.0
51,2030-01-16 09:00:00,1.0,1.0,1.0
52,2030-01-16 10:00:00,1.0,1.0,1.0
53,2030-01-16 11:00:00,1.0,1.0,1.0
54,2030-01-16 12:00:00,1.0,1.0,1.0
55,2030-01-16 13:00:00,1.0,1.0,1.0
56,2030-01-16 14:00:00,1.0,1.0,1.0
57,2030-01-16 15:00:00,1.0,1.0,1.0
58,2030-01-16 16:00:00,1.0,1.0,1.0
59,2030-01-16 17:00:00,1.0,1.0,1.0
60,2030-01-16 18:00:00,1.0,1.0,1.0
61,2030-01-16 19:00:00,1.0,1.0,1.0
62,2030-01-16 20:00:00,1.0,1.0,1.0
63,2030-01-16 21:00:00,1.0,1.0,1.0
64,2030-01-16 22:00:00,1.0,1.0,1.0
65,2030-01-16 23:00:00,1.0,1.0,1.0
66,2030-01-17 00:00:00,1.0,1.0,1.0
67,2030-01-17 01:00:00,1.0,1.0,1.0
68,2030-01-17 02:00:00,1.0,1.0,1.0
69,2030-01-17 03:00:00,1.0,1.0,1.0
70,2030-01-17 04:00:00,1.0,1.0,1.0
71,2030-01-17 05:00:00,1.0,1.0,1.0
72,2030-01-17 06:00:00,1.0,1.0,1.0
73,2030-01-17 07:00:00,1.0,1.0,1.0
74,2030-01-17 08:00:00,1.0,1.0,1.0
75,2030-01-17 09:00:00,1.0,1.0,1.0
76,2030-01-17 10:00:00,1.0,1.0,1.0
77,2030-01-17 11:00:00,1.0,1.0,1.0
78,2030-01-17 12:00:00,1.0,1.0,1.0
79,2030-01-17 13:00:00,1.0,1.0,1.0
80,2030-01-17 14:00:00,1.0,1.0,1.0
81,2030-01-17 15:00:00,1.0,1.0,1.0
82,2030-01-17 16:00:00,1.0,1.0,1.0
83,2030-01-17 17:00:00,1.0,1.0,1.0
84,2030-01-17 18:00:00,1.0,1.0,1.0
85,2030-01-17 19:00:00,1.0,1.0,1.0
86,2030-01-17 20:00:00,1.0,1.0,1.0
87,2030-01-17 21:00:00,1.0,1.0,1.0
88,2030-01-17 22:00:00,1.0,1.0,1.0
89,2030-01-17 23:00:00,1.0,1.0,1.0
90,2030-01-18 00:00:00,1.0,1.0,1.0
91,2030-01-18 01:00:00,1.0,1.0,1.0
92,2030-01-18 02:00:00,1.0,1.0,1.0
93,2030-01-18 03:00:00,1.0,1.0,1.0
94,2030-01-18 04:00:00,1.0,1.0,1.0
95,2030-01-18 05:00:00,1.0,1.0,1.0
96,2030-01-18 06:00:00,1.0,1.0,1.0
97,2030-01-18 07:00:00,1.0,1.0,1.0
98,2030-01-18 08:00:00,1.0,1.0,1.0
99,2030-01-18 09:00:00,1.0,1.0,1.0
100,2030-01-18 10:00:00,1.0,1.0,1.0
101,2030-01-18 11:00:00,1.0,1.0,1.0
102,2030-01-18 12:00:00,1.0,1.0,1.0
103,2030-01-18 13:00:00,1.0,1.0,1.0
104,2030-01-18 14:00:00,1.0,1.0,1.0
105,2030-01-18 15:00:00,1.0,1.0,1.0
106,2030-01-18 16:00:00,1.0,1.0,1.0
107,2030-01-18 17:00:00,1.0,1.0,1.0
108,2030-01-18 18:00:00,1.0,1.0,1.0
109,2030-01-18 19:00:00,1.0,1.0,1.0
110,2030-01-18 20:00:00,1.0,1.0,1.0
111,2030-01-18 21:00:00,1.0,1.0,1.0
112,2030-01-18 22:00:00,1.0,1.0,1.0
113,2030-01-18 23:00:00,1.0,1.0,1.0
114,2030-01-19 00:00:00,1.0,1.0,1.0
115,2030-01-19 01:00:00,1.0,1.0,1.0
116,2030-01-19 02:00:00,1.0,1.0,1.0
117,2030-01-19 03:00:00,1.0,1.0,1.0
118,2030-01-19 04:00:00,1.0,1.0,1.0
119,2030-01-19 05:00:00,1.0,1.0,1.0
120,2030-01-19 06:00:00,1.0,1.0,1.0
121,2030-01-19 07:00:00,1.0,1.0,1.0
122,2030-01-19 08:00:00,1.0,1.0,1.0
123,2030-01-19 09:00:00,1.0,1.0,1.0
124,2030-01-19 10:00:00,1.0,1.0,1.0
125,2030-01-19 11:00:00,1.0,1.0,1.0
126,2030-01-19 12:00:00,1.0,1.0,1.0
127,2030-01-19 13:00:00,1.0,1.0,1.0
128,2030-01-19 14:00:00,1.0,1.0,1.0
129,2030-01-19 15:00:00,1.0,1.0,1.0
130,2030-01-19 16:00:00,1.0,1.0,1.0
131,2030-01-19 17:00:00,1.0,1.0,1.0
132,2030-01-19 18:00:00,1.0,1.0,1.0
133,2030-01-19 19:00:00,1.0,1.0,1.0
134,2030-01-19 20:00:00,1.0,1.0,1.0
135,2030-01-19 21:00:00,1.0,1.0,1.0
136,2030-01-19 22:00:00,1.0,1.0,1.0
137,2030-01-19 23:00:00,1.0,1.0,1.0
138,2030-01-20 00:00:00,1.0,1.0,1.0
139,2030-01-20 01:00:00,1.0,1.0,1.0
140,2030-01-20 02:00:00,1.0,1.0,1.0
141,2030-01-20 03:00:00,1.0,1.0,1.0
